Gene = Hcst
index = 535
Annotated 5SS: [ 151 1236 1767]
Annotated 3SS: [1211 1634 2007]
SMsplice 5SS: [151]
SMsplice 3SS: [1211]
Partition function (log Z): -10.094536448709137

Sorted 5' Splice Sites (High to Low Probability):
Position 151: 0.8307943478970661
Position 1236: 0.2067334161098371
Position 488: 0.09138800241643322
Position 1767: 0.046949528000688245
Position 95: 0.04633155685074822
Position 218: 0.018469464600666924
Position 653: 0.018085010893476607
Position 577: 0.015101622159955632
Position 1351: 0.011146982647411992
Position 250: 0.0033876574625721257
Position 450: 0.0032444988384942373
Position 222: 0.002440876557394855
Position 12: 0.0020572995139376735
Position 318: 0.0015853082598005456
Position 1520: 0.00148602317225867
Position 385: 0.0014618902767768584
Position 1293: 0.0014067515712946805
Position 168: 0.001209557801237968
Position 240: 0.0008415380774289106
Position 1383: 0.0007391639290665007
Position 1528: 0.0005067478854825818
Position 21: 0.0004983341855935507
Position 1264: 0.0004820155390851661
Position 198: 0.00045956682121737607
Position 719: 0.00042923755019251173
Position 303: 0.0003639408962352999
Position 1635: 0.00033180777603644424
Position 611: 0.00024657057801633943
Position 520: 0.0002444849649564657
Position 629: 0.00020203529482049922
Position 1422: 0.00019417866640240977
Position 722: 0.00017945445720152117
Position 160: 0.00017907834925932792
Position 1891: 0.0001744725316453017
Position 230: 0.00017076082274919324
Position 949: 0.00016584544473816583
Position 1407: 0.00016502313397616882
Position 74: 0.00016243201167833075
Position 373: 0.00015202813234042092
Position 280: 0.00014977900619404723
Position 709: 0.0001482752095384704
Position 1718: 0.0001377948800015445
Position 1797: 0.0001254092395331772
Position 1221: 0.00011908324795701916
Position 49: 0.00011904729596882676
Position 1297: 0.00010734557208796914
Position 618: 0.00010556604532570404
Position 1733: 9.643225039731386e-05
Position 1868: 8.167126772004839e-05
Position 1737: 5.9941084851895964e-05
Position 1320: 5.5120548201242716e-05
Position 1946: 5.232494412662704e-05
Position 412: 5.211558923705825e-05
Position 1012: 5.14223510888205e-05
Position 777: 4.900442840099571e-05
Position 522: 4.467317929775785e-05
Position 1424: 4.213456825566981e-05
Position 1700: 3.943846759654444e-05
Position 343: 3.523058581442196e-05
Position 821: 3.522079405715977e-05
Position 415: 3.4807664830398986e-05
Position 1650: 3.479402075366718e-05
Position 363: 2.5209121942465168e-05
Position 425: 2.2473553489287673e-05
Position 131: 2.06142285769726e-05
Position 931: 1.9596655628119137e-05
Position 501: 1.919524176026717e-05
Position 816: 1.8908828843055478e-05
Position 368: 1.879500583619059e-05
Position 1596: 1.7595608173739905e-05
Position 803: 1.711710663239856e-05
Position 1565: 1.6357810108925325e-05
Position 1724: 1.398252622843145e-05
Position 1065: 1.3607461172964514e-05
Position 309: 1.3435129159982476e-05
Position 544: 1.2877254905106938e-05
Position 766: 1.2513837681788788e-05
Position 358: 1.2321708578070934e-05
Position 675: 1.0688304417627779e-05
Position 1589: 9.463736024173862e-06
Position 2014: 9.160330988029135e-06
Position 1159: 7.781657750837177e-06
Position 398: 7.695283548081031e-06
Position 768: 6.174768085788648e-06
Position 1609: 5.65393944027547e-06
Position 712: 5.484114976847856e-06
Position 1933: 5.3770699381517914e-06
Position 1885: 4.7117644251260795e-06
Position 1660: 4.354749394799138e-06
Position 1845: 4.293497336979088e-06
Position 1727: 3.3630713472907953e-06
Position 1801: 3.163982080515979e-06
Position 1685: 2.7200240626244963e-06
Position 1077: 2.6183688157742832e-06
Position 1831: 1.5653733746549223e-06
Position 1171: 1.452009242010351e-06
Position 1729: 1.3548179275881181e-06
Position 1705: 1.3541443186442703e-06
Position 1200: 1.3075300746905815e-06
Position 437: 1.099775441998988e-06
Position 481: 8.388907142834264e-07
Position 1211: 8.2965603578073e-07
Position 1151: 7.717609810860105e-07
Position 1973: 7.118590151317012e-07
Position 1966: 5.928586881993591e-07
Position 1954: 3.0843110086298145e-07
Position 1795: 2.441263018185785e-07
Position 1812: 2.1237155030014726e-07
Position 2019: 2.0997266143653017e-07
Position 1893: 1.6026857540867035e-07
Position 1613: 1.3373738841664564e-07
Position 1963: 1.2003631669134664e-07
Position 1153: 6.033634325222621e-08
Position 1870: 5.42626405020281e-08
