Gene = 2200002D01Rik
index = 27
Annotated 5SS: [110 339 570]
Annotated 3SS: [225 500 731]
SMsplice 5SS: [110 570]
SMsplice 3SS: [500 731]
Partition function (log Z): -2.7574861477587587

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.9617109719994786
Position 570: 0.6974617494486345
Position 339: 0.37998485322792935
Position 792: 0.19004735388924426
Position 659: 0.1669945571652207
Position 1093: 0.08982035776413332
Position 918: 0.03330428258891681
Position 1237: 0.02448926638604669
Position 1259: 0.012769773339315253
Position 1143: 0.007685390956315526
Position 142: 0.007628882984980462
Position 630: 0.007085601648077592
Position 452: 0.0061330511021498715
Position 964: 0.003828035803851127
Position 436: 0.0031372271509604254
Position 950: 0.002787650560999776
Position 1243: 0.002489015926814798
Position 404: 0.0013996982707236846
Position 641: 0.0013084767487704487
Position 592: 0.0011043648534148924
Position 430: 0.0008723640038796161
Position 397: 0.000833140588554125
Position 971: 0.0005209317713156951
Position 580: 0.0005000544530797544
Position 1086: 0.00034562454418181267
Position 365: 0.0003366871242809168
Position 471: 0.0002700873426865365
Position 204: 0.00021807850421722442
Position 1733: 0.00015145632132954672
Position 594: 0.00013653925121761643
Position 20: 0.00010501068729465223
Position 957: 0.00010077094316831213
Position 267: 0.00010068333824566269
Position 1790: 9.740140281516325e-05
Position 925: 8.759696836854341e-05
Position 456: 8.619076645805986e-05
Position 734: 8.301507013019801e-05
Position 1357: 7.540731997228211e-05
Position 636: 6.610317689351736e-05
Position 1701: 5.9755152687630734e-05
Position 129: 5.3736225582159576e-05
Position 1109: 4.1087278806972506e-05
Position 1079: 3.885902133485528e-05
Position 1514: 3.283767189493096e-05
Position 596: 2.9797646003911188e-05
Position 1101: 2.7556999735575837e-05
Position 114: 2.7169106847441295e-05
Position 79: 2.1678294300496796e-05
Position 238: 2.0624331249365337e-05
Position 1248: 1.868469783648233e-05
Position 1574: 1.8579668332235223e-05
Position 1222: 1.7817323663608023e-05
Position 59: 1.5186293915476267e-05
Position 343: 1.2047373789455527e-05
Position 1234: 1.1812370042111028e-05
Position 1032: 1.117257797021479e-05
Position 126: 1.01097275594665e-05
Position 462: 9.013112489416816e-06
Position 1220: 7.676328045237763e-06
Position 966: 7.476043356079839e-06
