Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
Partition function (log Z): -5.2983991539763995

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.990821592640721
Position 371: 0.0875996760658095
Position 367: 0.01762141185253048
Position 442: 0.010200974827730018
Position 1368: 0.00977333550677416
Position 600: 0.009392349057396525
Position 506: 0.009271133495596044
Position 244: 0.006947432880391052
Position 1206: 0.0043773760646911054
Position 297: 0.0024491723485947233
Position 1179: 0.002059151305021514
Position 900: 0.0009496999955697762
Position 1233: 0.0009346632879498691
Position 1373: 0.0008021627077263253
Position 1162: 0.0006086758724356863
Position 1609: 0.0005140934511775778
Position 710: 0.0004664180287480203
Position 444: 0.00042821062414942
Position 150: 0.0004114933225195599
Position 398: 0.00035333257664437747
Position 1208: 0.00030525114520116455
Position 1422: 0.000292669656972894
Position 454: 0.00022222380024358338
Position 1600: 0.0001457826865617539
Position 489: 0.00010741818327599061
Position 1164: 0.00010124065015614351
Position 417: 8.848149900966038e-05
Position 1193: 8.660311988272581e-05
Position 9: 8.535627638668582e-05
Position 1350: 8.43970662295548e-05
Position 60: 3.7016136717858625e-05
Position 1220: 3.4128907591759386e-05
Position 452: 2.4690383715099116e-05
Position 68: 2.428858519953943e-05
Position 392: 2.408865384542789e-05
Position 301: 2.3266030589554633e-05
Position 259: 1.9619963986556537e-05
Position 161: 1.5637595258140555e-05
Position 88: 1.5458872349895245e-05
Position 46: 1.4963487241633657e-05
Position 470: 1.3947346834382175e-05
Position 433: 1.3576790514238465e-05
Position 1508: 1.3131817196269243e-05
Position 74: 1.11297472240561e-05
Position 1532: 1.0151991101328992e-05
Position 621: 1.001656638671182e-05
Position 179: 9.010826854458919e-06
Position 1274: 8.87405600672536e-06
Position 93: 8.575040455705672e-06
Position 1247: 8.143963461879621e-06
Position 912: 6.970154547160312e-06
Position 591: 6.624517670400186e-06
Position 1286: 6.432294299233447e-06
Position 124: 6.130036883056883e-06
Position 1543: 5.7964658368298344e-06
Position 198: 4.8759577010160066e-06
Position 1383: 4.218591972340872e-06
Position 519: 4.132747595199969e-06
Position 725: 4.001795195664954e-06
Position 604: 3.379456962517664e-06
Position 1513: 3.2495926531705286e-06
Position 1134: 3.2262665355045023e-06
Position 164: 3.1563103721016695e-06
Position 1116: 3.113848697635332e-06
Position 575: 3.0180866476535112e-06
Position 327: 2.978617479052805e-06
Position 205: 2.3349624412758152e-06
Position 48: 1.9507921786528848e-06
Position 997: 1.935205923187399e-06
Position 1003: 1.7980460333785168e-06
Position 191: 1.6522694917297845e-06
Position 129: 1.5776490069986345e-06
Position 1585: 1.4032004344484265e-06
Position 96: 1.2613259059120143e-06
Position 1616: 1.0713931978762725e-06
Position 1558: 8.716386325725556e-07
Position 115: 8.514850769093211e-07
Position 117: 8.075623458818702e-07
Position 77: 7.545570803191953e-07
Position 271: 7.113775091672372e-07
Position 1502: 6.627997456052784e-07
Position 1546: 5.848895872359184e-07
Position 941: 5.114743397957844e-07
Position 1592: 4.616354727947303e-07
Position 232: 2.5978778038551674e-07
Position 517: 2.540849518539159e-07
Position 722: 1.7177135673329472e-07
Position 1036: 1.2678770831243814e-07
Position 273: 1.2355752791086986e-07
Position 984: 1.1564905276950927e-07
Position 730: 1.0092143559703997e-07
Position 1081: 7.55424088795912e-08
Position 930: 7.324526421956825e-08
Position 1658: 4.716460162475062e-08
Position 1560: 4.255746752709054e-08
Position 1063: 2.1912023359543475e-08
Position 1643: 2.1085104396434355e-08

