Gene = Lce6a
index = 629
Annotated 5SS: [ 66 530]
Annotated 3SS: [ 239 1140]
SMsplice 5SS: [66]
SMsplice 3SS: [1140]
Partition function (log Z): -6.305435559515157

Sorted 5' Splice Sites (High to Low Probability):
Position 66: 0.7766712208258892
Position 530: 0.4853314658345851
Position 636: 0.11077579881060969
Position 266: 0.0368429984789686
Position 87: 0.029812011116301253
Position 664: 0.006673238397159498
Position 1428: 0.00505646153209076
Position 502: 0.0029380549856821716
Position 776: 0.002549341974407819
Position 339: 0.0017449419574837987
Position 843: 0.001736268387259977
Position 421: 0.0015946827584462327
Position 1370: 0.0009203305964172523
Position 1070: 0.0008925491821151251
Position 1244: 0.0008100574413499169
Position 1250: 0.00048043261900396417
Position 448: 0.00046000990961122374
Position 106: 0.00044460214489569364
Position 817: 0.0004282335543462421
Position 357: 0.00037580601895537423
Position 101: 0.0003698317644105665
Position 1102: 0.0003206655918204286
Position 50: 0.00028442162963630043
Position 876: 0.0002672955155716696
Position 1005: 0.00023938669766679062
Position 1022: 0.0002101466598015167
Position 867: 0.00015356498619575667
Position 886: 0.00014861386575940971
Position 1262: 0.00010249705106208466
Position 591: 9.222122321029912e-05
Position 735: 8.8260908744605e-05
Position 1324: 8.606194983627849e-05
Position 1274: 8.387354350539195e-05
Position 80: 7.807492982782847e-05
Position 833: 6.370054332244867e-05
Position 26: 6.226316371624165e-05
Position 1011: 6.223785331056207e-05
Position 111: 6.212662134432633e-05
Position 70: 5.7269956569024074e-05
Position 252: 2.6759465918712214e-05
Position 546: 2.6683295220315566e-05
Position 993: 2.03583854528168e-05
Position 840: 1.579161593752834e-05
Position 463: 1.5675352906277028e-05
Position 823: 1.2611448557157968e-05
Position 803: 1.2490367260957052e-05
Position 150: 7.400474239840444e-06
Position 890: 7.3695717014989484e-06
Position 973: 6.703336816160769e-06
Position 113: 6.463471038740551e-06
Position 228: 6.319623748107158e-06
Position 509: 6.288148154513293e-06
Position 1286: 5.713449206713765e-06
Position 649: 4.7914140589494515e-06
Position 1373: 4.137446937215073e-06
Position 1401: 2.92019646203321e-06
Position 250: 1.9351863783073955e-06
Position 226: 1.8425216406106825e-06
Position 564: 1.767801959693963e-06
Position 1361: 1.430193340634905e-06
Position 606: 1.271722146157098e-06
Position 1087: 1.1879828168743985e-06
Position 571: 1.1669640388827612e-06
Position 1148: 6.00310467488236e-07
