Gene = 4930451I11Rik
index = 49
Annotated 5SS: [ 86 625 787]
Annotated 3SS: [468 698 877]
SMsplice 5SS: [ 86 625]
SMsplice 3SS: [468 698]
Partition function (log Z): -8.548119634852391

Sorted 5' Splice Sites (High to Low Probability):
Position 625: 0.8443074705277844
Position 86: 0.7611690966388244
Position 787: 0.13294351702927143
Position 344: 0.02213193467325714
Position 611: 0.019746175742430785
Position 731: 0.008326598432072363
Position 30: 0.005599073160756056
Position 109: 0.005001379352571922
Position 417: 0.004070630519494938
Position 34: 0.0040098018379652765
Position 399: 0.002879041886234461
Position 40: 0.0027763455289030034
Position 46: 0.0025322494197528396
Position 98: 0.0022759277166845048
Position 935: 0.0016976432721318914
Position 587: 0.0013842239275704761
Position 138: 0.0011760051210027854
Position 927: 0.000976578709875876
Position 190: 0.0008674976354231749
Position 785: 0.000786794483421701
Position 3: 0.0005663178432404009
Position 13: 0.00039874557035885985
Position 791: 0.00037100679801145515
Position 522: 0.0003366327590519816
Position 615: 0.00021368811757622406
Position 772: 0.00020048341870125227
Position 525: 0.00014504312618172674
Position 150: 0.00013399708356643742
Position 54: 0.00013338937557468038
Position 746: 0.0001165085777663833
Position 743: 0.00011495177301366074
Position 802: 7.983781724757651e-05
Position 796: 4.992199456726764e-05
Position 665: 4.224706146025671e-05
Position 313: 4.069466297052531e-05
Position 48: 3.660696963653135e-05
Position 287: 3.6547194826992546e-05
Position 6: 2.158462100766323e-05
Position 804: 2.1494902131327578e-05
Position 579: 1.6916556002292772e-05
Position 705: 1.5232800563200332e-05
Position 498: 1.4936249098048041e-05
Position 24: 1.2591883088426859e-05
Position 289: 1.206451715144838e-05
Position 794: 1.188861205080559e-05
Position 259: 1.1377166116930326e-05
Position 648: 1.103072267855201e-05
Position 274: 8.136992246762764e-06
Position 461: 2.7946788353703377e-06
Position 680: 2.7707080849155292e-06
Position 683: 2.436247605542965e-06
Position 835: 6.560121500069424e-07
Position 690: 5.113841641551605e-07
Position 844: 8.511511987993721e-08
Position 443: 3.9032250081182346e-08
Position 846: 7.718515916298744e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 698: 0.56254444651198
Position 468: 0.5283119632870222
Position 877: 0.2600952827312165
Position 772: 0.16806315301761007
Position 504: 0.10856505150466615
Position 449: 0.07665934274900264
Position 825: 0.054632001097278685
Position 338: 0.023284306131701505
Position 721: 0.01556652887749906
Position 552: 0.014386306612454654
Position 705: 0.0029252162233485337
Position 887: 0.0028877289894477156
Position 1008: 0.0026215449249524575
Position 300: 0.001563532894635627
Position 475: 0.0010749289839143714
Position 532: 0.0008264470209409921
Position 281: 0.0006539881440392949
Position 624: 0.00044682882214508446
Position 827: 0.0004210661488018199
Position 743: 0.0004169663176998684
Position 313: 0.00024271396133754064
Position 602: 0.00023053931392494833
Position 507: 0.00022712083943331334
Position 1000: 0.00020551770455447645
Position 620: 0.00010623107754536788
Position 157: 9.672769185604673e-05
Position 891: 9.489869307360222e-05
Position 511: 6.45516293711329e-05
Position 558: 6.27073249477677e-05
Position 673: 5.989703449650899e-05
Position 366: 5.726437727972823e-05
Position 478: 5.469810767949816e-05
Position 835: 4.783035430458593e-05
Position 480: 3.853691982446599e-05
Position 791: 3.4391623555259087e-05
Position 911: 3.158585887866324e-05
Position 287: 2.921463771114997e-05
Position 597: 2.543919250994035e-05
Position 915: 2.3921546563440154e-05
Position 390: 2.281346685129182e-05
Position 164: 2.063848519697512e-05
Position 963: 1.8029653363541905e-05
Position 361: 1.4716890434121457e-05
Position 518: 1.222493429803688e-05
Position 160: 9.3552143265604e-06
Position 934: 7.847496026249859e-06
Position 921: 5.821353784695446e-06
Position 183: 4.96061178446051e-06
Position 917: 4.75067546235403e-06
Position 522: 4.571699074752349e-06
Position 568: 4.3689912265426366e-06
Position 643: 4.31181824438547e-06
Position 635: 4.303499944236152e-06
Position 970: 3.635617547764777e-06
Position 167: 3.277932913555895e-06
Position 370: 3.0701787477329934e-06
Position 599: 3.031407730188115e-06
Position 903: 2.2072558662697243e-06
Position 945: 1.5720265288267343e-06
Position 926: 1.1458050824978653e-06
Position 564: 8.167482167490172e-07
Position 190: 7.259175610446985e-07
Position 177: 6.949794914812013e-07
Position 951: 4.2346570815012443e-07
Position 931: 3.985177393653775e-07
Position 943: 3.179629170360314e-07
Position 939: 2.6243126726732497e-07
Position 392: 1.516610665718926e-07
Position 645: 1.1173438011232487e-07
Position 112: 8.873587950247872e-08
Position 103: 6.389664780302765e-08
Position 79: 6.992398141045185e-09
Position 130: 5.717345361770305e-09
Position 85: 5.389627820634497e-09
Position 119: 4.6687293009554805e-09
Position 134: 2.5387195219687867e-09
Position 98: 2.4562133795077753e-09
Position 128: 1.8297991462458354e-09
Position 66: 1.3416510296586528e-09
Position 109: 6.376412007853531e-10
Position 123: 1.4064714339271644e-10
Position 138: 2.075611729187989e-11
