Gene = Defb18
index = 329
Annotated 5SS: [70]
Annotated 3SS: [782]
SMsplice 5SS: [70]
SMsplice 3SS: [782]
Partition function (log Z): -10.638682358013503

Sorted 5' Splice Sites (High to Low Probability):
Position 70: 0.8764161604524554
Position 581: 0.16384381517064847
Position 447: 0.008033087511643215
Position 541: 0.002831306963853652
Position 196: 0.0024552889393998564
Position 180: 0.0017438177652220907
Position 286: 0.0016701903819791107
Position 326: 0.0014764290094587123
Position 39: 0.0007640495475717591
Position 61: 0.0007544632844145113
Position 628: 0.0006871482762777002
Position 51: 0.0006558829331571296
Position 75: 0.0005751559920617402
Position 53: 0.0005390818092327875
Position 232: 0.0005250507104275077
Position 417: 0.00014893060991235857
Position 208: 0.00010317990258242764
Position 836: 8.093882835345117e-05
Position 224: 7.929654738815137e-05
Position 58: 7.916066444134977e-05
Position 294: 5.381750735813339e-05
Position 110: 3.9104541426846394e-05
Position 258: 2.065401809701843e-05
Position 20: 1.8188917400291685e-05
Position 603: 1.769719266007174e-05
Position 175: 1.4730361106109862e-05
Position 381: 1.2867503078157051e-05
Position 407: 1.1203027152461236e-05
Position 354: 1.11519973847848e-05
Position 843: 7.359038907688708e-06
Position 572: 5.995143924377428e-06
Position 806: 5.417177588602834e-06
Position 402: 5.3450010812837176e-06
Position 532: 4.490827006091122e-06
Position 315: 1.4045698189208966e-06
Position 726: 1.0960856355634845e-06
Position 853: 3.112878806428368e-07
Position 828: 1.9381651411314272e-07
Position 861: 1.163651029028532e-07
Position 840: 5.306630314276102e-08
Position 867: 1.4065526499534727e-08
Position 874: 9.390389989682595e-09
Position 771: 5.249806369729437e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 782: 0.6072899825720015
Position 621: 0.12881101478508117
Position 417: 0.05401534933339091
Position 329: 0.053033665168815816
Position 354: 0.04156546341053282
Position 790: 0.03668223908788488
Position 580: 0.028048182786374172
Position 280: 0.023766171279613394
Position 463: 0.023343699663794387
Position 503: 0.01602747261968888
Position 326: 0.01599534506647497
Position 541: 0.0077150427133134605
Position 146: 0.006981750051381845
Position 375: 0.0037072624569560162
Position 901: 0.0033728451693825325
Position 465: 0.0029936945199317802
Position 389: 0.0015347792035938612
Position 626: 0.001468357881437774
Position 396: 0.0014231341671168626
Position 399: 0.001023195878968552
Position 812: 0.0009248678332356551
Position 867: 0.0007356427727778735
Position 853: 0.0005957143588427995
Position 423: 0.0005429456730973695
Position 201: 0.0004083126616124634
Position 220: 0.00038914721396241344
Position 552: 0.0002825564361629284
Position 402: 0.00014450174081000034
Position 560: 0.00013836377314229326
Position 920: 0.00011769037220345139
Position 801: 0.00010336747231162666
Position 432: 9.552285806452106e-05
Position 391: 9.487307888011667e-05
Position 816: 5.740112964066127e-05
Position 555: 4.667877863459195e-05
Position 517: 3.6181995866200205e-05
Position 393: 3.092521774418135e-05
Position 937: 2.8981152179304222e-05
Position 805: 2.436055010592505e-05
Position 159: 2.3158937567133723e-05
Position 196: 2.2049733557634854e-05
Position 208: 1.1586680212145077e-05
Position 930: 1.1401004267415748e-05
Position 874: 1.0087622346957736e-05
Position 232: 9.568936144094588e-06
Position 803: 3.5314570592590923e-06
Position 427: 3.3955182436679983e-06
Position 425: 1.6619286039170366e-06
Position 948: 5.057848504067133e-07
Position 96: 2.0196030805946526e-08
Position 103: 7.851199944946309e-09
Position 101: 2.9165376216456255e-09
