Gene = Ccer2
index = 227
Annotated 5SS: [  84  331  569 1394]
Annotated 3SS: [ 289  480  866 2480]
SMsplice 5SS: [ 84 331 569]
SMsplice 3SS: [ 289  480 2480]
Partition function (log Z): -5.9985592602813655

Sorted 5' Splice Sites (High to Low Probability):
Position 84: 0.8723473709944858
Position 331: 0.7228416861337725
Position 569: 0.6518219312495553
Position 1394: 0.1041057583568873
Position 2321: 0.07293000171484995
Position 187: 0.023179660731395244
Position 218: 0.009074708593779884
Position 924: 0.006011971469617307
Position 1788: 0.004374957536237102
Position 514: 0.003215215185230349
Position 662: 0.0026744328805245296
Position 134: 0.0024033684899830623
Position 961: 0.0014695217642410744
Position 161: 0.0007422227520762658
Position 502: 0.000703850233829731
Position 416: 0.0005803117476521014
Position 1674: 0.00047485452407174876
Position 227: 0.0004618150944390366
Position 1758: 0.00043806334220818
Position 1819: 0.00040903788960698845
Position 2175: 0.0003765930401958477
Position 1136: 0.00034488426250963995
Position 1018: 0.0003248380668414925
Position 2137: 0.0003161843151581958
Position 224: 0.0002779087727066836
Position 1025: 0.0002714736013874772
Position 369: 0.00020084675720383912
Position 123: 0.00019984746196860775
Position 88: 0.0001888186837778858
Position 193: 0.0001816803610452856
Position 146: 0.00016097577837985528
Position 2161: 0.00015853845063419376
Position 2663: 0.0001506767340852029
Position 1982: 0.00014040760998020323
Position 832: 0.00013195141757222902
Position 675: 0.00011524206067823324
Position 804: 0.00010943847312798407
Position 1528: 0.00010594365922851043
Position 237: 0.00010300849162485397
Position 1175: 0.00010202485724270431
Position 894: 9.523031346828027e-05
Position 2168: 9.470749808909808e-05
Position 2361: 9.449028685626925e-05
Position 2455: 8.801841431740713e-05
Position 1470: 7.861238334048823e-05
Position 1703: 7.563560403735241e-05
Position 780: 6.925283086184845e-05
Position 668: 6.377194362303202e-05
Position 2081: 5.934785409661671e-05
Position 2519: 5.2728366779862315e-05
Position 1699: 4.936258034314512e-05
Position 583: 4.833938612401707e-05
Position 463: 4.373209100935303e-05
Position 112: 4.090746958684356e-05
Position 1488: 4.079598337680753e-05
Position 17: 3.653499809376811e-05
Position 790: 3.648820355303254e-05
Position 916: 2.9781637243217946e-05
Position 364: 2.5213748485580523e-05
Position 1474: 2.4329212562114493e-05
Position 1428: 2.4060424679208822e-05
Position 2300: 2.4001633494212104e-05
Position 1876: 2.2958913516203766e-05
Position 1595: 2.2165669900791034e-05
Position 2046: 1.9283734071850088e-05
Position 1825: 1.8978025094681284e-05
Position 1280: 1.8602018427054278e-05
Position 1436: 1.721143047027788e-05
Position 505: 1.7082120346355318e-05
Position 2364: 1.6952321815692384e-05
Position 666: 1.6905281731125633e-05
Position 2452: 1.6409601866789024e-05
Position 640: 1.4367791355710168e-05
Position 2400: 1.3544477230094795e-05
Position 896: 1.2528416036058869e-05
Position 2346: 1.1459423807756464e-05
Position 1210: 1.0946751346911979e-05
Position 1990: 9.57775817330141e-06
Position 1723: 8.396725628461249e-06
Position 1549: 8.117842394444984e-06
Position 1138: 6.2151695785967734e-06
Position 1567: 5.967263339611672e-06
Position 633: 5.809728920835509e-06
Position 946: 5.684315862758873e-06
Position 255: 5.435078913577381e-06
Position 1040: 5.143587048270755e-06
Position 1453: 4.837779767617759e-06
Position 648: 4.830701947334043e-06
Position 898: 4.125049071143744e-06
Position 2490: 3.002567026713874e-06
Position 2298: 2.860745045409849e-06
Position 208: 2.5244252949071426e-06
Position 2284: 2.2147578310178677e-06
Position 1398: 1.9826168303336058e-06
Position 1738: 1.9486887266884773e-06
Position 1761: 1.6731135333012796e-06
Position 491: 1.5581326841810865e-06
Position 1490: 1.5181916351008242e-06
Position 1884: 1.4804783992617914e-06
Position 273: 1.2490994303059242e-06
Position 699: 1.2004221061774448e-06
Position 1791: 1.1379081313395087e-06
Position 1584: 1.117389403141914e-06
Position 1644: 1.0946198911295792e-06
Position 670: 1.0724868160576261e-06
Position 2252: 9.485384082783225e-07
Position 1629: 8.155749377318186e-07
Position 2097: 6.467811261605234e-07
Position 712: 6.431226838458689e-07
Position 672: 6.356742235595826e-07
Position 696: 6.182428556069755e-07
Position 245: 4.869424334400732e-07
Position 1303: 4.3830945859028064e-07
Position 1903: 2.858721830875299e-07
Position 1296: 2.703031724947784e-07
Position 2440: 2.1119925337304602e-07
Position 1680: 1.6008477813496137e-07
Position 2197: 1.534979514522717e-07
Position 2233: 1.253768936817765e-07
Position 1882: 1.2258940768981096e-07
Position 2613: 1.1257058102306162e-07
Position 2214: 8.51494207291604e-08
Position 2419: 8.364484350922392e-08
Position 1261: 6.401027515200997e-08
Position 1642: 3.9844573615807726e-08
Position 1932: 3.4177845933430894e-08
Position 2684: 3.283529412821097e-08
Position 1924: 1.660702950389516e-08
Position 1940: 1.0509362852038056e-08
Position 2212: 6.2048470488986454e-09
Position 15: 1.8524485642972028e-09
Position 1897: 1.1044060791608187e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 289: 0.6687906651251853
Position 480: 0.4738942542132637
Position 2480: 0.40891462942806606
Position 419: 0.23111231082130543
Position 866: 0.16241718241841588
Position 1267: 0.06754430256953506
Position 2212: 0.05805042242616949
Position 687: 0.04887895992498775
Position 2258: 0.0459707990840695
Position 1971: 0.03313902240034153
Position 2006: 0.024848234292737265
Position 1750: 0.016765785916408683
Position 186: 0.012878525571284567
Position 2320: 0.012715673305748269
Position 499: 0.011113703465800618
Position 2440: 0.009878402806498002
Position 1216: 0.00840642116719641
Position 780: 0.007937833940552103
Position 1642: 0.007480720520645209
Position 2387: 0.0074799611082497835
Position 913: 0.007393178657898022
Position 943: 0.007092589479275701
Position 1333: 0.00694445780903056
Position 832: 0.006513014401218876
Position 808: 0.006046320963838848
Position 2623: 0.005771737492266873
Position 1478: 0.005581638978581927
Position 501: 0.005375202563820784
Position 2349: 0.00529582188595569
Position 705: 0.005243861888391092
Position 1950: 0.0050921200610516085
Position 314: 0.004619363678757214
Position 1030: 0.004242386697622482
Position 733: 0.0037487220340301024
Position 2230: 0.00365169427396612
Position 2041: 0.003636913125065215
Position 2608: 0.0035115439467094424
Position 723: 0.003480924503101249
Position 2666: 0.002959083188629663
Position 2097: 0.0028846211472902923
Position 868: 0.0026935826835755624
Position 496: 0.0026831543292439894
Position 1059: 0.0026384441979281424
Position 1293: 0.002531670905904105
Position 2146: 0.002247372513970745
Position 666: 0.0021063058398099956
Position 1940: 0.0020868408947995755
Position 1072: 0.0019262279111882166
Position 2602: 0.0019225529643167555
Position 298: 0.0018211791366731349
Position 1222: 0.001681587688686118
Position 1250: 0.0015359259119761396
Position 568: 0.0015140265847169787
Position 1036: 0.0014412350883662491
