gene,5ss,3ss,PSI,index,prob
AT2G01110,1174,882,100.0,1,0.2654871923930193
AT2G01350,537,402,100.0,3,0.8552153714028506
AT2G01350,1608,1430,100.0,3,0.931478670906949
AT2G01350,1748,1679,100.0,3,0.8368090676119252
AT2G01490,575,452,99.7,5,0.9902139514150574
AT2G01490,715,653,100.0,5,0.923468391794053
AT2G01490,1133,1063,100.0,5,0.5052846632387377
AT2G01490,1331,1211,100.0,5,0.9307070183824508
AT2G01490,1843,1697,100.0,5,0.8941359156455432
AT2G01590,613,475,100.0,6,0.9377296345025399
AT2G01620,713,475,100.0,7,0.30509106433124594
AT2G01690,2799,2732,100.0,9,0.6972596494855964
AT2G01690,3242,3120,100.0,9,0.9813281275020368
AT2G01690,792,725,100.0,9,0.8850060438557521
AT2G01690,3581,3418,100.0,9,0.9753765372103694
AT2G01690,1622,1478,100.0,9,0.9889601810882257
AT2G02560,4688,4546,100.0,23,0.739042301733448
AT2G02560,4860,4766,100.0,23,0.9933881968965506
AT2G02560,6794,6676,100.0,23,0.9912523794994886
AT2G02560,7227,7148,100.0,23,0.9682234734697432
AT2G02560,2696,2537,100.0,23,0.5414394788760245
AT2G03070,644,437,100.0,32,0.5669109680587916
AT2G03070,2863,2811,100.0,32,0.858103248071642
AT2G03070,1696,1639,100.0,32,0.9742651903496066
AT2G03150,3583,3479,100.0,34,0.38338116104694003
AT2G03150,4089,4024,100.0,34,0.9080863175367322
AT2G03150,5610,5534,100.0,34,0.9699484169350888
AT2G03150,5808,5732,100.0,34,0.8093077748222218
AT2G03150,506,424,100.0,34,0.6597249993217325
AT2G03150,2247,1508,39.13,34,0.004029510673180202
AT2G03150,2389,2342,46.15,34,0.07010791167774694
AT2G03800,990,925,100.0,44,0.9549353234703322
AT2G03800,1931,1741,100.0,44,0.7974251287772507
AT2G03830,498,439,100.0,47,0.98774268837971
AT2G04025,413,365,100.0,48,0.019328490417749256
AT2G04270,3517,3391,100.0,51,0.23079776686112935
AT2G04560,664,557,100.0,55,0.8143902125892319
AT2G04560,2079,1851,100.0,55,0.3411980680602392
AT2G04700,673,622,100.0,58,0.6633131739422753
AT2G04700,818,745,100.0,58,0.8860775509068256
AT2G06010,1255,1101,100.0,70,0.8598938961722469
AT2G06010,1507,1330,100.0,70,0.8760575017238397
AT2G06010,1697,1586,100.0,70,0.9720429708615067
AT2G06925,418,374,100.0,75,0.3562645957331772
AT2G06925,639,512,100.0,75,0.8237930544878843
AT2G07340,308,253,99.16,79,0.07564144130750868
AT2G11000,4602,4502,100.0,102,0.65199955507646
AT2G11000,5466,5346,100.0,102,0.05600683748541579
AT2G11000,2219,2132,100.0,102,0.2448113809024473
AT2G11000,3078,2804,100.0,102,0.8649473038314094
AT2G13540,3661,3591,100.0,112,0.8881276684295215
AT2G13540,3871,3751,100.0,112,0.9771626298467224
AT2G13540,5739,5492,100.0,112,0.9183952449335536
AT2G13540,1110,1037,100.0,112,0.07665855494166499
AT2G13540,1281,1217,100.0,112,0.6932815212735601
AT2G13540,1944,1814,100.0,112,0.9789909769273063
AT2G13540,3446,3360,100.0,112,0.07966006232309893
AT2G14680,3525,3467,100.0,122,0.0577313912413368
AT2G14680,1123,1028,100.0,122,0.503041498525367
AT2G14680,4634,4522,100.0,122,0.8836310065349215
AT2G14680,1663,1578,100.0,122,0.9445581098895957
AT2G14680,2154,2050,100.0,122,0.20891974110216419
AT2G14680,2500,2358,100.0,122,0.7459835982823898
AT2G15290,870,611,100.0,129,0.7026669065426338
AT2G15290,1346,1141,100.0,129,0.9639776326054864
AT2G15620,1454,1164,100.0,134,0.9903486483149263
AT2G15890,561,486,99.71,138,0.9885964715341499
AT2G16060,761,643,100.0,141,0.8297079524293148
AT2G16920,3829,3758,100.0,150,0.9756798877436396
AT2G17120,1252,1130,100.0,152,0.3239097373207622
AT2G17250,791,716,100.0,154,0.9140173343626592
AT2G17250,2342,2170,100.0,154,0.9166136047938138
AT2G17250,941,881,100.0,154,0.7433119163618216
AT2G17250,1315,1213,100.0,154,0.931290717288241
AT2G17250,1822,1762,100.0,154,0.7848563177017883
AT2G18290,1652,1546,100.0,165,0.5756844635852716
AT2G18410,750,600,100.0,168,0.0514874959059632
AT2G18410,1027,956,100.0,168,0.9432040611292924
AT2G18410,1699,1622,100.0,168,0.9113728231646252
AT2G18950,620,568,97.4,171,0.005719804589020288
AT2G18950,2131,2034,100.0,171,0.9978931480584025
AT2G18950,2686,2580,100.0,171,0.8895913293898554
AT2G18950,1069,823,100.0,171,0.006315375959625592
AT2G18950,1245,1160,100.0,171,0.5092044805024244
AT2G19080,1346,1268,100.0,173,0.9712590337724244
AT2G19080,1495,1433,100.0,173,0.47833121615601853
AT2G19430,661,583,100.0,179,0.8563030211968845
AT2G19430,2449,2331,100.0,179,0.08688597963033651
AT2G19430,976,914,100.0,179,0.29944503241620657
AT2G19430,1289,1207,100.0,179,0.9446847820725104
AT2G19450,874,792,100.0,180,0.9525735809247786
AT2G19450,1039,964,100.0,180,0.8604187017928127
AT2G19450,2513,2491,100.0,180,0.0563900777916976
AT2G19450,2791,2742,100.0,180,0.22177791931627208
AT2G19450,2977,2913,100.0,180,0.456243908251067
AT2G19450,3109,3057,100.0,180,0.6307934326404661
AT2G19450,1382,1313,98.7,180,0.3394768195860314
AT2G19560,985,847,100.0,181,0.7007423325701907
AT2G19560,2991,2884,100.0,181,0.8357675958159544
AT2G19560,1881,1823,100.0,181,0.46784695616512134
AT2G19560,2043,1980,100.0,181,0.9516557123236129
AT2G20190,3075,2956,100.0,187,0.8570360880468261
AT2G20190,3389,3289,100.0,187,0.9459508516395803
AT2G20190,6254,6148,100.0,187,0.15625643275263149
AT2G20190,6597,6527,100.0,187,0.9565212252697751
AT2G20190,6977,6874,100.0,187,0.7258496586960705
AT2G20190,1945,1782,100.0,187,0.9964505749976142
AT2G20190,2131,2032,100.0,187,0.9483751878530777
AT2G20190,2551,2475,100.0,187,0.9646979300342714
AT2G20490,829,785,100.0,194,0.3232893419254992
AT2G20890,765,496,100.0,205,0.11067251629694545
AT2G20890,1073,855,100.0,205,0.6579729374492589
AT2G20890,1357,1240,100.0,205,0.7877618668159045
AT2G20980,801,725,100.0,208,0.9816040063604757
AT2G20980,1946,1880,100.0,208,0.9298316039451033
AT2G21070,602,395,100.0,209,0.8431191171169765
AT2G21070,1127,702,100.0,209,0.9782620028486497
AT2G21150,745,678,100.0,211,0.8718101786292364
AT2G21150,2314,2259,100.0,211,0.9454557579461238
AT2G21150,1637,1557,100.0,211,0.9369279571251287
AT2G21150,1809,1731,100.0,211,0.8600778603251156
AT2G21870,759,664,99.36,219,0.6155265828456286
AT2G21870,1594,1482,100.0,219,0.9642872770708241
AT2G21870,2000,1852,100.0,219,0.9893356298139669
AT2G22010,3578,3438,100.0,223,0.3110833651458786
AT2G22010,4433,4300,100.0,223,0.9536785970452126
AT2G22260,542,476,100.0,225,0.5822281103668603
AT2G22260,1152,935,100.0,225,0.5039137530635512
AT2G22260,1507,1389,100.0,225,0.5124674129564389
AT2G22370,1003,645,100.0,226,0.001545768622524374
AT2G22540,2289,2223,100.0,230,0.3325560255505764
AT2G22540,2631,2588,100.0,230,0.9046353672445057
AT2G22540,2784,2741,100.0,230,0.4968696011409754
AT2G22540,3297,3254,100.0,230,0.5984248121135639
AT2G25110,1281,1230,100.0,251,0.8797861973826557
AT2G25660,7443,7376,100.0,258,0.9062478022372591
AT2G25660,7736,7603,100.0,258,0.5536030776530168
AT2G25660,10318,10125,100.0,258,0.9906788490607705
AT2G25930,3125,3072,100.0,263,0.17904943167523774
AT2G26170,2050,1953,100.0,265,0.9079086001570237
AT2G26280,669,612,100.0,268,0.20032101440115713
AT2G26280,2321,2249,100.0,268,0.9400964078386721
AT2G26280,2817,2691,100.0,268,0.605047981881398
AT2G26310,874,426,100.0,269,0.20266421089918776
AT2G26310,2433,2387,100.0,269,0.021001432482392373
AT2G26310,2174,2098,100.0,269,0.8319443351932334
AT2G26350,403,370,100.0,271,0.41683696209594145
AT2G26350,745,649,100.0,271,0.41089110030877
AT2G26350,1178,1107,100.0,271,0.9127762595950539
