gene,5ss,3ss,PSI
AT1G01010,975,854,100.0
AT1G01020,1189,1142,100.0
AT1G01020,1567,1480,100.0
AT1G01020,1974,1897,100.0
AT1G01040,5390,5291,100.0
AT1G01040,5665,5473,100.0
AT1G01040,6650,5743,100.0
AT1G01040,2788,2664,100.0
AT1G01040,3597,3445,100.0
AT1G01050,625,500,100.0
AT1G01050,1239,1172,100.0
AT1G01050,1479,1357,96.2
AT1G01060,1248,1185,100.0
AT1G01100,328,246,100.0
AT1G01100,792,578,100.0
AT1G01110,1231,984,100.0
AT1G01140,2516,2407,100.0
AT1G01140,2875,2817,100.0
AT1G01140,791,727,97.94
AT1G01140,1176,1067,100.0
AT1G01140,1364,1282,100.0
AT1G01160,1039,929,100.0
AT1G01340,3101,2705,100.0
AT1G01340,2284,2171,100.0
AT1G01360,770,553,100.0
AT1G01370,739,703,100.0
AT1G01370,1516,1437,100.0
AT1G01370,1719,1642,100.0
AT1G01480,633,500,100.0
AT1G01480,1047,885,100.0
AT1G01510,1270,1138,100.0
AT1G01510,2320,2271,100.0
AT1G01560,1018,879,100.0
AT1G01580,1150,954,100.0
AT1G01580,1625,1389,100.0
AT1G01620,1373,1231,100.0
AT1G01620,1148,851,100.0
AT1G01650,1041,881,100.0
AT1G01650,2708,2544,100.0
AT1G01650,2971,2916,100.0
AT1G01650,3377,3283,100.0
AT1G01650,3656,3512,100.0
AT1G01650,4358,4286,100.0
AT1G01650,1233,1120,100.0
AT1G01650,1477,1356,100.0
AT1G01650,2061,1877,100.0
AT1G01650,2188,2152,100.0
AT1G01670,904,789,100.0
AT1G01690,1508,1454,100.0
AT1G01690,1986,1922,100.0
AT1G01690,2104,2061,100.0
AT1G01780,576,552,100.0
AT1G01790,5037,4886,100.0
AT1G01790,5427,5367,100.0
AT1G01790,5997,5819,100.0
AT1G01790,2931,2870,100.0
AT1G01790,3165,3044,100.0
AT1G01790,3361,3291,100.0
AT1G01790,3505,3438,100.0
AT1G01790,3827,3736,100.0
AT1G01820,803,590,100.0
AT1G01820,1234,1158,100.0
AT1G01820,1553,1471,99.37
AT1G01860,526,375,100.0
AT1G01860,964,867,100.0
AT1G01860,1273,1219,100.0
AT1G01880,1394,1222,100.0
AT1G01940,955,792,100.0
AT1G01940,1531,1371,100.0
AT1G01950,850,726,100.0
AT1G01950,2198,2108,100.0
AT1G01950,2729,2620,100.0
AT1G01950,2944,2808,100.0
AT1G01950,3833,3739,100.0
AT1G01950,4320,4193,100.0
AT1G01950,1706,1551,100.0
AT1G01950,2008,1857,100.0
AT1G01960,1997,1678,100.0
AT1G01960,3014,2590,100.0
AT1G01960,3442,3148,100.0
AT1G01960,4008,3733,100.0
AT1G01960,4784,4283,100.0
AT1G02010,817,737,100.0
AT1G02010,3809,3587,100.0
AT1G02090,583,506,100.0
AT1G02090,759,669,100.0
AT1G02090,1093,1047,100.0
AT1G02090,1541,1401,100.0
AT1G02120,529,477,100.0
AT1G02120,2055,2013,100.0
AT1G02120,2276,2187,100.0
AT1G02120,2838,2770,100.0
AT1G02120,3422,3378,100.0
AT1G02120,3705,3492,100.0
AT1G02120,668,601,100.0
AT1G02120,1175,1103,100.0
AT1G02130,459,410,100.0
AT1G02130,597,548,100.0
AT1G02130,756,683,100.0
AT1G02130,1195,1090,100.0
AT1G02140,686,508,100.0
AT1G02145,354,311,97.67
AT1G02145,2390,2302,100.0
AT1G02145,2548,2479,100.0
AT1G02145,2790,2720,100.0
AT1G02145,717,629,100.0
AT1G02145,1166,1047,100.0
AT1G02145,1352,1292,100.0
AT1G02205,463,238,100.0
AT1G02205,2344,2235,100.0
AT1G02220,870,722,100.0
AT1G02280,1202,936,100.0
AT1G02280,1372,1302,100.0
AT1G02280,1615,1452,100.0
AT1G02310,1329,1148,100.0
AT1G02310,1811,1687,100.0
AT1G02340,1149,1082,100.0
AT1G02400,2263,1919,100.0
AT1G02410,1035,981,100.0
AT1G02430,770,649,100.0
AT1G02560,589,468,100.0
AT1G02560,794,678,100.0
AT1G02560,1550,1514,97.55
