Gene = OS9
index = 1341
Annotated 5SS: [91]
Annotated 3SS: [149]
SMsplice 5SS: [91]
SMsplice 3SS: [149]
Partition function (log Z): -4.967912345150014

Sorted 5' Splice Sites (High to Low Probability):
Position 91: 0.9910113726453671
Position 713: 0.26304303155492403
Position 668: 0.034149021937503715
Position 216: 0.009833499514681918
Position 459: 0.0049286439698083655
Position 489: 0.004489990799698791
Position 612: 0.002450441311731433
Position 555: 0.002356116157020559
Position 590: 0.0018277652863179588
Position 723: 0.0010916992642836026
Position 648: 0.0005398320037521432
Position 586: 0.0005030957275650496
Position 620: 0.0004211483673966308
Position 543: 0.0004045274127206278
Position 258: 0.00040369648374819313
Position 706: 0.00031239903532369247
Position 578: 0.000290359189917371
Position 330: 2.0928734520257358e-05
Position 179: 1.8681894280289238e-05
Position 246: 1.4963315598636672e-05
Position 759: 1.3087856068630984e-05
Position 70: 1.033551537016507e-05
Position 3: 9.569838937446576e-06
Position 192: 9.157891788730005e-06
Position 194: 7.731842252781461e-06
Position 462: 4.21859861981935e-06
Position 465: 1.4049357120109109e-06
Position 24: 1.176133693619669e-06
Position 751: 9.280756062608213e-07
Position 64: 2.6189510658769016e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 149: 0.8871264531964567
Position 775: 0.3212603979640192
Position 426: 0.030867997841555143
Position 156: 0.024857296134374745
Position 222: 0.018831391058168667
Position 179: 0.012680960876057
Position 546: 0.009924145392418402
Position 743: 0.006311235781215426
Position 313: 0.003320718579544972
Position 236: 0.0006127570851691817
Position 299: 0.0004442588078183036
Position 192: 0.0002884236412021027
Position 829: 0.00027459753210664896
Position 805: 0.0002156585201573647
Position 482: 0.00019117087744273775
Position 713: 0.00018431893028578262
Position 379: 0.00016220346057231133
Position 430: 0.00013834832946822763
Position 723: 0.00013796109512186593
Position 802: 9.411940489162496e-05
Position 470: 5.929674601204716e-05
Position 586: 3.7994529424617226e-05
Position 323: 3.5669999237523434e-05
Position 450: 3.0871353972380266e-05
Position 551: 2.6248080059061936e-05
Position 635: 1.2875047594641337e-05
Position 64: 8.862324358755962e-06
Position 751: 6.097083636059201e-06
Position 506: 5.035096340108028e-06
Position 598: 4.4316779431304155e-06
Position 132: 4.242044180696914e-06
Position 435: 2.7630343064304103e-06
Position 371: 2.510330528466919e-06
Position 659: 1.7467840743616481e-06
Position 554: 1.6462304231176628e-06
Position 620: 1.6067663169438016e-06
Position 644: 6.182689941013054e-07
Position 517: 4.630240713744145e-07
Position 812: 4.031874504994506e-07
Position 810: 2.709098169655373e-07
Position 494: 2.5062457060200893e-07
Position 548: 1.3395753021118265e-07
Position 503: 1.1090710426841983e-07
Position 409: 1.1030959263886802e-07
Position 617: 7.290823396537846e-08
Position 398: 6.831131932106779e-08
Position 73: 6.632358398269797e-08
Position 103: 5.341603820317381e-08
Position 269: 4.3251774607417196e-08
Position 317: 2.906854270507127e-08
Position 458: 2.5363358291044655e-08
Position 84: 2.303809698016679e-08
Position 386: 1.681502566839681e-08
Position 656: 1.4359678528902294e-08
Position 668: 9.74410618505492e-10
Position 489: 2.527797232678425e-10
Position 95: 2.2315861515776828e-10
Position 571: 5.755811230153914e-11
Position 560: 1.7103301113805412e-13
