Gene = Cpr62Bc
index = 1093
Annotated 5SS: [ 95 324]
Annotated 3SS: [191 896]
SMsplice 5SS: [ 95 324]
SMsplice 3SS: [191 896]
Partition function (log Z): -2.399188427020253

Sorted 5' Splice Sites (High to Low Probability):
Position 324: 0.9912955846777242
Position 95: 0.9576029776058362
Position 612: 0.011502896666157466
Position 1685: 0.007882999518876577
Position 129: 0.005039553026944225
Position 1359: 0.002454463070277114
Position 328: 0.0012729988189013684
Position 1305: 0.000998611437277685
Position 969: 0.0005362438456809014
Position 364: 0.00045668914545049516
Position 1026: 0.0004510613083700317
Position 1297: 0.0004410571592128911
Position 136: 0.0003468228646770703
Position 578: 0.00031875161566396847
Position 1236: 0.000317822776502677
Position 116: 0.00027596976646446155
Position 99: 0.00022703342005914984
Position 626: 0.00017482361712868843
Position 29: 0.0001255954355709138
Position 1021: 9.38856983816863e-05
Position 1119: 7.329022671763032e-05
Position 1714: 6.997543689336681e-05
Position 745: 5.498991420929388e-05
Position 979: 4.5341013858700054e-05
Position 818: 2.637515333502526e-05
Position 1040: 2.453940312929213e-05
Position 1375: 1.0599142428841732e-05
Position 697: 9.5837276560859e-06
Position 1008: 8.733050128257164e-06
Position 813: 7.435782766781976e-06
Position 951: 6.4506862915219835e-06
Position 1122: 5.416356784546159e-06
Position 475: 4.604080472192722e-06
Position 751: 4.216580598540977e-06
Position 735: 3.3798491664245245e-06
Position 1531: 3.114563780543353e-06
Position 973: 3.086619664834757e-06
Position 1098: 2.7865887688439316e-06
Position 46: 2.5103892851356757e-06
Position 1732: 2.235159538467783e-06
Position 645: 2.087852148890937e-06
Position 1560: 1.976844746117166e-06
Position 250: 1.6857210018409685e-06
Position 1035: 1.6250693239749503e-06
Position 1587: 1.328211307977797e-06
Position 908: 1.3114070133352224e-06
Position 1143: 1.2782269321412321e-06
Position 295: 9.728563146305395e-07
Position 725: 9.369382341829579e-07
Position 1146: 9.072058569170976e-07
Position 1077: 8.621699757829947e-07
Position 1074: 8.567513351099386e-07
Position 1206: 7.324320303273845e-07
Position 956: 6.307358915361929e-07
Position 1525: 5.508740981538638e-07
Position 432: 4.792369318968471e-07
Position 820: 4.64896146277967e-07
Position 987: 4.5061492866120945e-07
Position 1607: 4.379072927842467e-07
Position 1730: 4.277132663090928e-07
Position 486: 4.2104237075780463e-07
Position 1433: 3.3204199021948786e-07
Position 5: 3.2673769428295466e-07
Position 1278: 2.435516314731995e-07
Position 1564: 2.1265492630781875e-07
Position 12: 1.9847224030014914e-07
Position 861: 1.9587871605422205e-07
Position 1463: 1.9142904106412516e-07
Position 1494: 1.4481666074136646e-07
Position 1441: 1.3529691168496798e-07
Position 256: 1.2288644525258952e-07
Position 405: 1.184079416394446e-07
Position 927: 9.808192493386775e-08
Position 1743: 8.49667682828196e-08
Position 984: 3.354199709419336e-08
Position 1188: 2.214469065511565e-08
Position 234: 1.8462437997475925e-08
Position 1446: 6.682644151913452e-09
Position 1455: 2.510960836525126e-09
Position 183: 1.392223612584065e-09
Position 210: 2.2026163819576805e-11
Position 191: 2.493281721398636e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.8655849967469393
Position 191: 0.8275765779002303
Position 153: 0.13478117775609652
Position 455: 0.03247981587226112
Position 856: 0.020421657554134783
Position 528: 0.01919145999389154
Position 853: 0.012541088434246339
Position 697: 0.009580781123288591
Position 395: 0.00941126907066945
Position 1371: 0.008648765430115796
Position 1743: 0.007358988492777946
Position 1433: 0.006472503886164954
Position 768: 0.004680559251575243
Position 785: 0.0043081533244747295
Position 840: 0.0035908250044499198
Position 1787: 0.0030390196325687977
Position 1607: 0.0022169834659369224
Position 908: 0.002135485608652287
Position 1173: 0.0014451329462902831
Position 1416: 0.0012977045546470377
Position 634: 0.0008672408281324356
Position 616: 0.0007231852161288387
Position 1441: 0.0005856111326118108
Position 1235: 0.0005553307591862627
Position 535: 0.0005099616616366679
Position 530: 0.0003541062815100552
Position 794: 0.00028088064451177864
Position 1537: 0.0002479263564987881
Position 1488: 0.00024310470986031973
Position 626: 0.00022816296597994202
Position 992: 0.00017208835852041717
Position 367: 0.00012742863462588024
Position 1085: 0.0001249161222923506
Position 743: 9.385176502475322e-05
Position 1750: 8.00081216487192e-05
Position 486: 5.712473242733071e-05
Position 948: 3.2790852157485265e-05
Position 803: 2.837640221002943e-05
Position 962: 2.5006359999368722e-05
Position 1040: 1.872252896456425e-05
Position 956: 1.5969479616518185e-05
Position 95: 1.2244940477568446e-05
Position 1293: 1.128963787017483e-05
Position 1789: 1.0482527409854839e-05
Position 1611: 1.0412118603278961e-05
Position 1305: 8.484515521644012e-06
Position 234: 7.242943064013756e-06
Position 1328: 4.120623633095471e-06
Position 1645: 3.4919155115047304e-06
Position 1648: 1.893920795234032e-06
Position 1302: 8.100208440842716e-07
Position 106: 6.317823992172431e-07
Position 217: 4.166463222925449e-07
Position 813: 2.921531780318414e-07
Position 927: 2.83706836563268e-07
Position 1669: 1.2863562512568265e-07
Position 1663: 1.0978696072645442e-07
Position 969: 8.994563660390668e-08
Position 1297: 5.4993275320395526e-08
Position 349: 4.669052588756047e-08
Position 122: 4.5058454881523366e-08
Position 99: 3.552166087007172e-08
Position 364: 3.485821065212326e-08
Position 54: 1.6315178181870522e-08
Position 111: 5.765201928922022e-09
Position 1013: 4.938027232498834e-09
Position 129: 4.0549055297325234e-09
Position 336: 2.2381451339100557e-09
Position 328: 1.8799973033577835e-09
Position 377: 1.7928456774749839e-09
Position 308: 7.18388756711979e-14
