Gene = Rpp30
index = 1457
Annotated 5SS: [147 395 518 847]
Annotated 3SS: [206 448 571 908]
SMsplice 5SS: [147 395 518 847]
SMsplice 3SS: [206 448 726 908]
Partition function (log Z): 2.975097790792125

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9819195731183461
Position 395: 0.9816564134521786
Position 847: 0.9100083648550124
Position 518: 0.8061556348308438
Position 638: 0.019221460888972735
Position 151: 0.006548428494454719
Position 659: 0.00619816217885386
Position 665: 0.004287991040897998
Position 798: 0.00058519068729479
Position 1094: 0.00045412376751069537
Position 270: 0.0004048665353395513
Position 836: 0.000270421707046782
Position 140: 0.00025171826240336705
Position 25: 0.00019350020291425868
Position 669: 0.00018236543347771055
Position 532: 0.00018106600137211075
Position 1132: 0.00010151065802638254
Position 1171: 6.11935290735048e-05
Position 425: 4.608435839618615e-05
Position 883: 4.0909328347614984e-05
Position 374: 3.7216391636237686e-05
Position 1176: 3.668702118478696e-05
Position 782: 3.589594427059129e-05
Position 679: 2.9926822585976817e-05
Position 15: 2.753957283127823e-05
Position 368: 2.6103917218257235e-05
Position 522: 2.497316971660427e-05
Position 1213: 1.922987797359134e-05
Position 625: 1.8360814386672252e-05
Position 380: 1.3380112300586288e-05
Position 274: 1.0227628755200742e-05
Position 795: 1.0068414182144842e-05
Position 1034: 9.790457440577885e-06
Position 995: 8.297318942073017e-06
Position 998: 4.032895601161307e-06
Position 1017: 3.813648819488363e-06
Position 772: 3.653927200061538e-06
Position 433: 3.3249737649709925e-06
Position 1256: 2.9301744413386635e-06
Position 445: 2.866111007411505e-06
Position 1221: 2.3647128937024873e-06
Position 892: 1.8696892912157527e-06
Position 1251: 1.8213786098971375e-06
Position 237: 1.8161908547226893e-06
Position 322: 1.5822651874574297e-06
Position 113: 1.2672057172901062e-06
Position 617: 1.0001342638088968e-06
Position 472: 9.532271017347834e-07
Position 115: 7.053891870399642e-07
Position 450: 2.481674861318061e-07
Position 439: 5.673804939348251e-08
Position 221: 4.0066954037376344e-08
Position 1262: 3.5736122792885356e-08
Position 200: 3.445405962926916e-08
Position 1269: 3.2876085080610266e-08
Position 452: 2.917653742588462e-08
Position 952: 2.701732489319978e-08
Position 1282: 1.4449868527626014e-08
Position 283: 1.4213438139772623e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 206: 0.987780884264034
Position 448: 0.9692968958997795
Position 908: 0.9014130930413218
Position 726: 0.6061129347955941
Position 931: 0.07351106705181931
Position 650: 0.07104613690867354
Position 571: 0.05497772411075314
Position 658: 0.0284003307811647
Position 767: 0.004883476863622813
Position 503: 0.0032355926310083305
Position 751: 0.003110872784313793
Position 730: 0.002535148548633292
Position 795: 0.002532024564936819
Position 877: 0.0019196373201771366
Position 1274: 0.0017865873620454258
Position 792: 0.0013042368656885782
Position 472: 0.0007039935294064924
Position 1027: 0.0006619415890916219
Position 984: 0.0005829986163410963
Position 1055: 0.000403355129699745
Position 249: 0.0003940387316722257
Position 933: 0.00034849791676996004
Position 817: 0.00026989409632227705
Position 87: 0.00021957854398479054
Position 450: 0.0001676132571938116
Position 772: 0.0001670457967496975
Position 1200: 0.0001654960428950982
Position 328: 0.00013807484667493843
Position 301: 0.0001328184725081384
Position 221: 0.00012801735996264527
Position 1241: 0.00010312551278612128
Position 742: 9.376150316083667e-05
Position 857: 8.38136336301352e-05
Position 371: 7.45320906617457e-05
Position 235: 7.144556758161804e-05
Position 990: 5.748586626254941e-05
Position 349: 4.795211630603151e-05
Position 778: 3.5610497864591445e-05
Position 1171: 3.447956500073587e-05
Position 1062: 3.3485261835978865e-05
Position 1302: 2.9350380750002363e-05
Position 1221: 1.3214177876954816e-05
Position 1296: 1.3053795290062311e-05
Position 1213: 1.2539305884270141e-05
Position 851: 9.824936997808359e-06
Position 1324: 9.685615910413074e-06
Position 522: 8.956580477154019e-06
Position 883: 8.334605474414817e-06
Position 665: 7.872365818879116e-06
Position 1117: 6.1510067605910105e-06
Position 532: 3.7274038951033676e-06
Position 334: 3.6268654104564166e-06
Position 280: 3.446671229407985e-06
Position 1092: 3.1403337750171203e-06
Position 1132: 2.383846663732568e-06
Position 1179: 2.067368259097208e-06
Position 319: 1.4660483245445304e-06
Position 256: 1.2758440586306227e-06
Position 865: 1.262495754467997e-06
Position 1321: 9.092503736927998e-07
Position 940: 7.510242485902543e-07
Position 1138: 5.700950865066426e-07
Position 322: 3.885808363156245e-07
Position 421: 3.136123983602883e-07
Position 172: 2.4796318508328316e-07
Position 1310: 2.3482389518131937e-07
Position 237: 1.5787783253288135e-07
Position 175: 1.481741883577718e-07
Position 1073: 7.6567839863816e-08
Position 1081: 6.867433476903706e-08
Position 425: 6.702822660790633e-08
Position 103: 6.526529066851397e-08
Position 351: 4.51035039697614e-08
Position 398: 2.7398246823546474e-08
Position 61: 2.719002367201276e-08
Position 307: 2.0736160740211987e-08
Position 69: 1.1210892106192619e-08
Position 822: 1.5775277829517275e-09
Position 147: 1.856588830830599e-10
Position 136: 1.671187478485833e-10
Position 1068: 4.206050506340959e-11
Position 339: 3.271306227668469e-11
Position 824: 2.481159303119516e-11
Position 292: 1.3973119904021748e-11
Position 151: 4.293201155507138e-12
Position 1149: 2.7513710230994447e-12
Position 155: 3.919845538936769e-14
