Gene = cold
index = 1651
Annotated 5SS: [ 65 408 800]
Annotated 3SS: [342 488 852]
SMsplice 5SS: [ 65 408 800]
SMsplice 3SS: [149 488 852]
Partition function (log Z): -0.2604277136896873

Sorted 5' Splice Sites (High to Low Probability):
Position 408: 0.9952027097899477
Position 65: 0.9375598216507741
Position 800: 0.5656776340457326
Position 739: 0.08344656640940237
Position 804: 0.04908590777386547
Position 1076: 0.01759525349633775
Position 781: 0.008776769364959905
Position 1144: 0.0066989498270595355
Position 670: 0.003781547550165274
Position 1114: 0.003363556758016357
Position 278: 0.002631853860399049
Position 986: 0.0008290905420967255
Position 282: 0.0007091067088929335
Position 216: 0.00043700383542294967
Position 811: 0.00033086747444995354
Position 18: 0.00032774298803606486
Position 69: 0.0003225743385309539
Position 639: 0.00030425648138730977
Position 1018: 0.00029348009881688376
Position 270: 0.0002277218499834401
Position 1068: 0.00015493056480694553
Position 721: 0.0001405080072146962
Position 258: 0.00011726933178071466
Position 883: 0.00011640944255850832
Position 794: 0.00011541435668274003
Position 273: 0.00011016551644772039
Position 98: 9.30281942823257e-05
Position 763: 8.346078639449055e-05
Position 1055: 6.07779384811819e-05
Position 625: 5.547294772082024e-05
Position 220: 4.6920165202271464e-05
Position 412: 4.6006737366284635e-05
Position 236: 3.513761096647775e-05
Position 754: 2.321384389604573e-05
Position 249: 2.014047777723996e-05
Position 1155: 1.865628760518374e-05
Position 399: 1.3649040385501654e-05
Position 590: 1.2863432059246708e-05
Position 374: 1.0498826905252984e-05
Position 881: 9.900428126540755e-06
Position 173: 7.820740904152276e-06
Position 688: 7.115574513615729e-06
Position 846: 3.753797408034822e-06
Position 661: 3.105294808647065e-06
Position 550: 2.30806849386251e-06
Position 191: 2.296928687979968e-06
Position 358: 2.2924789238771547e-06
Position 1049: 2.16500511565948e-06
Position 371: 1.6728833149926599e-06
Position 295: 1.211253998963362e-06
Position 854: 1.151735092836434e-06
Position 1171: 8.402367304062778e-07
Position 887: 7.037971351581357e-07
Position 694: 6.523287976004287e-07
Position 659: 6.379390798902411e-07
Position 329: 3.4204556548573986e-07
Position 149: 3.0110029216986676e-07
Position 488: 2.765644715950917e-07
Position 389: 2.734711215388894e-07
Position 504: 2.3761208027663116e-07
Position 397: 2.3464116401057044e-07
Position 222: 1.1515499640850288e-07
Position 1005: 9.306245415791259e-08
Position 196: 6.942129372486957e-08
Position 122: 6.753252365331511e-08
Position 120: 5.626200520387479e-08
Position 380: 3.46534052763194e-08
Position 511: 2.6550765390713308e-08
Position 1189: 2.5650931421904134e-08
Position 1201: 2.5079053980182122e-08
Position 1213: 1.932972689927574e-08
Position 518: 6.570140840107856e-09
Position 497: 1.6780829832311595e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 488: 0.9638247908486627
Position 149: 0.8809847024120904
Position 852: 0.6740552090495774
Position 1201: 0.04190974153229435
Position 342: 0.028619975893740494
Position 807: 0.02103331319887268
Position 160: 0.017710375997030497
Position 532: 0.01646283071800667
Position 459: 0.013216824886454114
Position 172: 0.010227591218507952
Position 1171: 0.003426235542538675
Position 1179: 0.0019347741517219382
Position 196: 0.0011378296139743413
Position 913: 0.0006801019381960463
Position 228: 0.0006766452057921679
Position 164: 0.0006549049905516962
Position 869: 0.00030956126138980306
Position 1301: 0.0002911037206010271
Position 945: 0.0002651399774547069
Position 874: 0.0002628742982016476
Position 1055: 0.00020508077306586795
Position 1412: 0.00020309449027066916
Position 1002: 0.0001933466898135909
Position 368: 6.237699322910767e-05
Position 718: 5.8895462786654936e-05
Position 1068: 5.804123859637597e-05
Position 811: 5.546530642395967e-05
Position 1340: 5.505764504991265e-05
Position 270: 5.357813327269347e-05
Position 649: 4.111666838428468e-05
Position 1013: 3.688571882000014e-05
Position 568: 3.43188269117258e-05
Position 511: 3.0138549214926815e-05
Position 550: 2.0234552860761183e-05
Position 1114: 1.849857619300329e-05
Position 669: 1.8412214174129928e-05
Position 1321: 1.6783740673317768e-05
Position 1231: 1.394308779219475e-05
Position 970: 8.852553913671711e-06
Position 1360: 7.2879920351630246e-06
Position 1315: 6.981037063684554e-06
Position 622: 6.562826354696274e-06
Position 685: 5.902656057503e-06
Position 745: 5.357173593512466e-06
Position 216: 4.710435034156436e-06
Position 206: 3.5314240778346885e-06
Position 688: 2.6972915822250835e-06
Position 1351: 2.5804929189463442e-06
Position 1109: 2.3540815228774187e-06
Position 667: 2.253871250078119e-06
Position 1018: 1.35140499668707e-06
Position 1021: 1.1287552450200872e-06
Position 637: 9.895786376360037e-07
Position 682: 8.820080760478221e-07
Position 407: 5.710054477975583e-07
Position 310: 4.714698543258809e-07
Position 380: 4.1831560142133836e-07
Position 694: 3.8168680938919495e-07
Position 604: 3.7156201575863127e-07
Position 952: 3.587037826029522e-07
Position 854: 2.295477968805415e-07
Position 179: 2.064217622707085e-07
Position 426: 1.3464263659075341e-07
Position 547: 1.3140460526529297e-07
Position 700: 6.41060541267353e-08
Position 1076: 5.835950829570535e-08
Position 706: 3.4958049101275885e-08
Position 1233: 2.8356740685021313e-08
Position 1317: 2.695331854500464e-08
Position 772: 1.6504969811324322e-08
Position 60: 1.5703006726185725e-08
Position 763: 1.318409845748309e-08
Position 702: 9.764651405563196e-09
Position 64: 6.736806318760926e-09
Position 776: 1.898632723462876e-09
Position 412: 1.2781785975062175e-09
Position 364: 4.3687772971666145e-10
Position 954: 6.933419704958139e-12
Position 577: 5.1751446935682364e-14
