Gene = Hsc20
index = 1216
Annotated 5SS: [291 456]
Annotated 3SS: [342 515]
SMsplice 5SS: [456]
SMsplice 3SS: [515]
Partition function (log Z): -5.656639968336493

Sorted 5' Splice Sites (High to Low Probability):
Position 456: 0.6612459764953078
Position 291: 0.5630617269662977
Position 460: 0.14319940814239374
Position 449: 0.09792145428349516
Position 602: 0.018120987449690363
Position 17: 0.0038405434508841023
Position 102: 0.002442884564161261
Position 276: 0.0014088508577401787
Position 73: 0.0008142337314786405
Position 38: 0.0006922524607955033
Position 295: 0.0006683256971366984
Position 62: 0.0006280069108530952
Position 700: 0.0005611411257360676
Position 430: 0.0002989319573471514
Position 250: 0.0001947655704455842
Position 78: 0.0001777730129319117
Position 472: 0.00014132600232001736
Position 97: 0.00012229892231779442
Position 465: 0.00011789802936385259
Position 780: 0.00010869824384291259
Position 36: 0.00010841032447474239
Position 129: 8.144744608180387e-05
Position 50: 4.731144086501297e-05
Position 832: 2.0961923918961772e-05
Position 599: 1.8008074340500913e-05
Position 15: 1.7641179675600552e-05
Position 843: 1.379353364592944e-05
Position 259: 1.3225249418523152e-05
Position 606: 1.0041959031619692e-05
Position 333: 7.984483197994458e-06
Position 339: 7.3802178472891975e-06
Position 407: 6.869585030960085e-06
Position 666: 4.593023822865075e-06
Position 551: 4.5549941989179185e-06
Position 396: 3.6593261825532812e-06
Position 205: 3.620992480325966e-06
Position 417: 3.0721335854944673e-06
Position 930: 1.5173797680255914e-06
Position 887: 1.3890210630401475e-06
Position 186: 5.611492359770258e-07
Position 817: 4.993440970935351e-07
Position 951: 4.87484203534456e-07
Position 387: 2.944304116551367e-07
Position 854: 2.1254348058722914e-07
Position 161: 3.98792449899556e-08
Position 508: 2.9679357663092806e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 515: 0.974357401399298
Position 342: 0.29370469443242914
Position 362: 0.17211328214365149
Position 664: 0.016015278164344664
Position 333: 0.01513619857131809
Position 595: 0.008957700897371185
Position 161: 0.005074276516916706
Position 800: 0.0022472318530053844
Position 396: 0.0018487953706135558
Position 133: 0.0016683441739107664
Position 393: 0.0014143042543739441
Position 423: 0.00092701837962548
Position 65: 0.0005120758356239836
Position 97: 0.00035611575280443636
Position 835: 0.00020991267083492006
Position 186: 0.0001944103057615197
Position 417: 0.00018247460032272132
Position 747: 0.0001764729706473715
Position 544: 0.0001563680542762986
Position 666: 0.0001555871476972929
Position 387: 0.00012722693083959204
Position 141: 0.00010529857196208462
Position 756: 9.41153821802163e-05
Position 899: 6.542005467817306e-05
Position 996: 5.3563257186408856e-05
Position 624: 4.2134915918992194e-05
Position 805: 3.251216185659156e-05
Position 973: 2.9448334499642683e-05
Position 879: 2.1098298933003473e-05
Position 108: 1.9477623957264905e-05
Position 449: 1.9354231390203884e-05
Position 484: 1.4120036166461336e-05
Position 168: 1.3849826151161346e-05
Position 567: 1.243407484007779e-05
Position 488: 9.078619767933335e-06
Position 823: 8.169148455115745e-06
Position 633: 7.586241722671211e-06
Position 876: 7.408919763888209e-06
Position 861: 6.671736223769867e-06
Position 465: 5.917971536915855e-06
Position 650: 5.309502046600075e-06
Position 76: 5.149491882189531e-06
Position 407: 4.749242996979588e-06
Position 866: 4.275375037344918e-06
Position 642: 4.223749619528152e-06
Position 272: 3.893834036902617e-06
Position 221: 3.5675233179262e-06
Position 606: 1.9678379238637445e-06
Position 887: 1.789238939257845e-06
Position 239: 1.7334575571653026e-06
Position 551: 1.08979060092404e-06
Position 472: 8.304561230605363e-07
Position 765: 7.784666397613115e-07
Position 687: 6.699904227261822e-07
Position 236: 5.661630613692259e-07
Position 843: 5.214240787299641e-07
Position 732: 3.2497283285399924e-07
Position 699: 3.2222160749425684e-07
Position 404: 1.428414867240708e-07
Position 456: 8.475685157576041e-08
Position 981: 4.463361225936016e-08
Position 285: 4.462463982622285e-08
Position 78: 4.307397215247472e-08
Position 837: 3.621079168666018e-08
Position 528: 2.1110122222280194e-08
Position 696: 1.975857686649034e-08
Position 705: 1.8380642496391823e-08
Position 291: 1.7288521867019973e-08
Position 780: 1.47734164036609e-08
Position 817: 8.001430221977395e-09
Position 768: 1.2029481195079125e-09
Position 854: 8.523043133015268e-10
Position 295: 3.829293416929185e-10
Position 715: 2.0037644608410776e-10
Position 73: 8.996812124822982e-12
