Gene = ND-13B
index = 1296
Annotated 5SS: [112 403]
Annotated 3SS: [240 601]
SMsplice 5SS: [112 403]
SMsplice 3SS: [247 601]
Partition function (log Z): -0.703833226219861

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.9811133855991707
Position 112: 0.7960469379154078
Position 188: 0.005090125511404774
Position 131: 0.0035123536768414234
Position 788: 0.0018602570609124389
Position 450: 0.0018602474725132124
Position 248: 0.0014822994687019213
Position 198: 0.0012285775986091662
Position 524: 0.0007342731841433886
Position 357: 0.00048470436101811327
Position 45: 0.00019219574659724902
Position 443: 0.00018938399555174025
Position 536: 0.00016697533564921806
Position 517: 0.00014670460415979695
Position 78: 9.385033221672062e-05
Position 48: 5.82487891202577e-05
Position 434: 5.159256958627465e-05
Position 751: 5.118588382771018e-05
Position 373: 5.0034429480708785e-05
Position 300: 4.1283767117491014e-05
Position 805: 3.7676958105410835e-05
Position 210: 1.844026821596106e-05
Position 470: 1.4783721362771209e-05
Position 116: 1.141596632581246e-05
Position 216: 1.0556214971105953e-05
Position 32: 4.1186469996224e-06
Position 724: 3.833331184696707e-06
Position 394: 9.246556411535621e-07
Position 647: 7.689537936468403e-07
Position 488: 6.105517885434923e-07
Position 324: 4.959019485545937e-07
Position 322: 4.321919016131655e-07
Position 240: 1.591704675431531e-07
Position 728: 1.1431024684420103e-07
Position 265: 7.867052783666454e-08
Position 293: 6.928816346105606e-08
Position 636: 6.726450735775139e-08
Position 221: 4.9278576292566534e-08
Position 632: 1.888772404266962e-08
Position 267: 7.394003121836861e-09
Position 642: 2.836535755344374e-09
Position 662: 2.317370989978726e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 601: 0.9984879931499379
Position 247: 0.4932979432472532
Position 240: 0.28971872251022257
Position 293: 0.004040276391675001
Position 309: 0.0037388874117702166
Position 188: 0.0018670681299971684
Position 878: 0.0010385217628687106
Position 607: 0.00048209387617940714
Position 862: 0.00048018844870940133
Position 532: 0.00040586029457752163
Position 866: 0.00037104848260272245
Position 628: 0.00013674672642888559
Position 473: 0.00010965460706000146
Position 339: 8.147374300316156e-05
Position 484: 7.335112843232586e-05
Position 160: 4.495005414815113e-05
Position 162: 4.458842650105021e-05
Position 330: 4.0772197945606936e-05
Position 822: 3.601208301638946e-05
Position 839: 2.0861958988148887e-05
Position 805: 1.1495694887645083e-05
Position 464: 1.1433242986030536e-05
Position 504: 3.2134169243190904e-06
Position 667: 2.737480627836138e-06
Position 99: 2.314301268799904e-06
Position 712: 2.0528010599256564e-06
Position 647: 1.7007186733944854e-06
Position 498: 1.5227553063108223e-06
Position 673: 1.3221078742076569e-06
Position 108: 1.2601956908325064e-06
Position 652: 7.519460828688767e-07
Position 78: 5.211471750102817e-07
Position 347: 5.145014558861962e-07
Position 381: 2.6431173243123225e-07
Position 679: 2.00591842755042e-07
Position 122: 1.9615819254309093e-07
Position 751: 1.665027006679879e-07
Position 443: 1.3772616908399097e-07
Position 116: 6.400051668707415e-08
Position 843: 6.163953301826628e-08
Position 131: 3.5712574662695384e-08
Position 787: 3.4873374470692706e-08
Position 378: 3.4062008675006425e-08
Position 793: 3.361097953747884e-08
Position 357: 3.057017961829747e-08
Position 748: 2.927329067047078e-08
Position 136: 2.813446356896295e-08
Position 767: 1.790994132445835e-08
Position 772: 1.5408773694927293e-08
Position 148: 1.036267475106596e-08
Position 403: 7.561630234098102e-09
Position 407: 5.3796079950569465e-09
Position 724: 5.3388551796243975e-09
Position 366: 4.127805084047528e-09
Position 721: 2.651430477367705e-09
Position 734: 1.73084112980145e-09
Position 894: 1.0669770715869129e-09
Position 841: 1.864337396202999e-10
Position 836: 1.7433294722359267e-10
Position 781: 7.374295081937852e-11
Position 655: 4.573264065450017e-13
