Gene = QIL1
index = 1397
Annotated 5SS: [192]
Annotated 3SS: [253]
SMsplice 5SS: [192]
SMsplice 3SS: [253]
Partition function (log Z): 0.20674495534870785

Sorted 5' Splice Sites (High to Low Probability):
Position 192: 0.9993668378262942
Position 608: 0.0016705313293659898
Position 306: 0.0010833027719528488
Position 586: 0.00023305572073307744
Position 184: 0.00022582056960874535
Position 200: 0.0002214959777110846
Position 660: 0.00019853989568656682
Position 196: 0.00017393192789748858
Position 474: 0.00015181506285216913
Position 411: 9.384701214656285e-05
Position 490: 8.29319079840754e-05
Position 359: 8.184124533799633e-05
Position 537: 5.533132814731766e-05
Position 649: 5.040537454217265e-05
Position 60: 4.214565581908528e-05
Position 598: 2.0911472729690025e-05
Position 116: 1.3986011883058203e-05
Position 344: 8.069453745788996e-06
Position 38: 7.384247866299945e-06
Position 748: 6.588873589729356e-06
Position 647: 3.924284194496214e-06
Position 419: 2.490839415192285e-06
Position 593: 1.076300089348992e-06
Position 29: 8.06491996965196e-07
Position 684: 4.0937098181360106e-07
Position 261: 2.887741539287474e-07
Position 271: 2.7512738287463953e-07
Position 548: 2.470777292029829e-07
Position 223: 2.1265356464681612e-07
Position 147: 1.8360470081094083e-07
Position 276: 1.617566229290857e-07
Position 378: 9.346834974102956e-08
Position 641: 9.129731314939928e-08
Position 288: 5.0071511806337626e-08
Position 681: 3.64266415827061e-08
Position 739: 1.0221150322257908e-08
Position 678: 3.933128820620027e-09
Position 694: 2.8525304636686406e-09
Position 689: 1.9648732555308318e-09
Position 691: 4.769106227863297e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9959580290318562
Position 261: 0.003984935068613189
Position 717: 0.0013996575991857877
Position 519: 0.0005651928408608637
Position 573: 0.0005082620843462524
Position 660: 0.0003046551107006557
Position 664: 0.00017148030933468816
Position 637: 0.00015601166591387345
Position 383: 0.00014099035274557268
Position 806: 0.00014035546052182005
Position 419: 9.774481434921807e-05
Position 653: 9.549807585371815e-05
Position 386: 5.94060378163986e-05
Position 305: 4.248096041999384e-05
Position 783: 3.863469186124664e-05
Position 554: 2.3832928277851835e-05
Position 106: 2.0446506870229e-05
Position 190: 2.0240748589320573e-05
Position 359: 1.817444359727262e-05
Position 133: 1.215813353005746e-05
Position 778: 9.308427379179843e-06
Position 734: 8.375139017488832e-06
Position 523: 8.201127225093943e-06
Position 365: 6.189848588061813e-06
Position 470: 1.667225544212294e-06
Position 455: 1.4946721387409495e-06
Position 332: 1.4140254794400922e-06
Position 479: 1.0008721895256016e-06
Position 814: 8.538711261482243e-07
Position 533: 6.571475477384382e-07
Position 143: 4.1883258946046307e-07
Position 725: 3.5456546052321254e-07
Position 536: 2.2777255070040807e-07
Position 398: 2.1764115445185323e-07
Position 411: 1.6858816729187474e-07
Position 437: 1.4698900641183236e-07
Position 395: 1.0945795950852662e-07
Position 542: 7.830043079183252e-08
Position 341: 2.7641476786938006e-08
Position 598: 1.133051363596612e-08
Position 392: 1.0970028369053877e-08
Position 593: 8.738685152435532e-09
Position 608: 8.308083611116714e-09
Position 72: 1.8812726431882773e-09
Position 227: 2.920044031340936e-10
Position 216: 8.78388863530662e-11
Position 321: 2.903398970647647e-11
Position 196: 1.1399518758896094e-11
