Gene = Pfdn4
index = 1376
Annotated 5SS: [109]
Annotated 3SS: [233]
SMsplice 5SS: [154]
SMsplice 3SS: [233]
Partition function (log Z): -5.886364823643021

Sorted 5' Splice Sites (High to Low Probability):
Position 154: 0.49043215129126855
Position 109: 0.34718056670889497
Position 173: 0.1425553295170178
Position 119: 0.015104193729996268
Position 113: 0.0017541299963068795
Position 12: 0.0011985702011482568
Position 16: 0.001008794181673955
Position 182: 0.0008083086483257308
Position 569: 0.00012694647191687693
Position 76: 8.824244591963771e-05
Position 167: 5.213872951973908e-05
Position 522: 4.389297461659732e-05
Position 383: 2.456100248505953e-05
Position 97: 1.5845846626913027e-05
Position 414: 1.0389786956955193e-05
Position 560: 7.016362475964683e-06
Position 99: 4.703111911040176e-06
Position 483: 4.39148750875855e-06
Position 423: 3.0532015035862763e-06
Position 407: 3.590710023174931e-07
Position 504: 2.669733826156246e-07
Position 425: 9.98253029140852e-09
Position 243: 4.026671714735001e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 233: 0.9994420095405366
Position 269: 0.0003097405073861329
Position 647: 0.0002006933774075374
Position 70: 0.00019744965438019807
Position 266: 0.00011626097507259266
Position 440: 6.84904058971157e-05
Position 318: 2.2877240392485436e-05
Position 76: 2.026309557398564e-05
Position 290: 1.7827385612938628e-05
Position 79: 7.246216411168533e-06
Position 105: 6.314850729489004e-06
Position 476: 6.115712603985942e-06
Position 260: 1.421453812527529e-06
Position 479: 1.2948261034712584e-06
Position 323: 1.260631904962391e-06
Position 482: 9.710552008441003e-07
Position 467: 8.989566150322733e-07
Position 470: 7.650340944566644e-07
Position 455: 4.132185337941826e-07
Position 566: 3.160206791940343e-07
Position 132: 2.5793901816906257e-07
Position 335: 1.7112245513526944e-07
Position 530: 1.5176955404691722e-07
Position 422: 1.0300913124898396e-07
Position 577: 8.461593052784645e-08
Position 649: 8.45025391818459e-08
Position 491: 7.352218765999573e-08
Position 350: 7.197672621534309e-08
Position 515: 6.396078440490828e-08
Position 97: 4.766616216212539e-08
Position 593: 4.508378106718813e-08
Position 521: 2.0212970959888806e-08
Position 494: 1.9949422999245894e-08
Position 137: 1.3156614595373724e-08
Position 359: 1.122803429847382e-08
Position 371: 3.563852659774085e-09
Position 154: 2.493988344399494e-09
Position 398: 2.236113872816399e-09
Position 599: 1.949541555718739e-09
Position 446: 1.6955058101254076e-09
Position 551: 1.4220548695623969e-09
Position 83: 8.331833122689222e-10
Position 509: 7.967684929555532e-10
Position 146: 3.6657552347378716e-10
Position 344: 2.143542926763656e-10
Position 362: 1.0814766657755571e-10
Position 392: 1.0083028107372105e-10
Position 113: 3.927307318472784e-11
Position 352: 2.2969603667658207e-11
Position 545: 1.9469928948541885e-11
Position 374: 8.274075930331214e-12
Position 380: 4.496110986720956e-12
