Gene = DCTN5-p25
index = 1120
Annotated 5SS: [140 528]
Annotated 3SS: [227 584]
SMsplice 5SS: [528]
SMsplice 3SS: [584]
Partition function (log Z): -2.673197078002728

Sorted 5' Splice Sites (High to Low Probability):
Position 528: 0.9967356582867638
Position 243: 0.04788237768461166
Position 235: 0.026731127054286978
Position 144: 0.002515022664232443
Position 31: 0.0017499383568531511
Position 503: 0.001622142266039253
Position 442: 0.000823296245024557
Position 13: 0.0005765614509244094
Position 131: 0.0005416340963612349
Position 780: 0.0004274173843137829
Position 36: 6.761598968848787e-05
Position 361: 5.034551686006568e-05
Position 297: 4.758996656808004e-05
Position 258: 3.904513780329253e-05
Position 363: 2.8943551858772327e-05
Position 69: 2.0047799736530695e-05
Position 501: 1.277876019580413e-05
Position 761: 1.0676660555062569e-05
Position 220: 9.922110849748477e-06
Position 713: 7.208209895468e-06
Position 438: 6.5841758936896814e-06
Position 670: 4.4462999140404835e-06
Position 303: 4.0055413713966675e-06
Position 265: 3.650468743183496e-06
Position 342: 2.61466044665542e-06
Position 395: 2.546102619994428e-06
Position 381: 2.117291430269602e-06
Position 615: 1.8111198055703702e-06
Position 545: 1.3013810651273302e-06
Position 697: 1.1893979413676028e-06
Position 247: 8.802900778736877e-07
Position 471: 5.766432667291659e-07
Position 556: 5.070546380408492e-07
Position 456: 4.808329886331539e-07
Position 268: 4.7556639013281397e-07
Position 474: 2.3449268591458632e-07
Position 595: 1.5496921584623872e-07
Position 597: 1.205376059326054e-07
Position 720: 1.027909166419478e-07
Position 654: 4.4379891044017264e-08
Position 450: 3.888024493170368e-08
Position 589: 2.6865685393919894e-08
Position 613: 6.032429244207213e-09
Position 656: 3.330771830756679e-09
Position 633: 6.16190850539958e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 584: 0.9995807870219275
Position 296: 0.06246894365756924
Position 308: 0.011675159889098643
Position 227: 0.004191803726985662
Position 69: 0.0004512067473997275
Position 837: 0.00044803711563501706
Position 606: 0.000267579772690562
Position 117: 0.00024955395983513456
Position 409: 0.00020463272806000058
Position 181: 0.00019030191895682392
Position 355: 4.0972057865337596e-05
Position 661: 3.930380859070236e-05
Position 645: 2.3063193370435298e-05
Position 413: 1.980456748587094e-05
Position 374: 1.9184053082896793e-05
Position 134: 1.4843039464539186e-05
Position 465: 1.2699223320811542e-05
Position 737: 9.825958325518953e-06
Position 468: 8.96867770854705e-06
Position 122: 3.7558666746059148e-06
Position 247: 3.4149292028592785e-06
Position 243: 3.0363493061372994e-06
Position 471: 2.9633345597150967e-06
Position 515: 1.3429384701665274e-06
Position 761: 7.069922020186259e-07
Position 188: 6.2497282809617e-07
Position 792: 4.125488196883397e-07
Position 784: 1.6696737517422094e-07
Position 623: 5.617475944940562e-08
Position 704: 3.675146540246772e-08
Position 190: 2.7305569066853066e-08
Position 144: 2.530577131315927e-08
Position 695: 5.938178318558854e-09
Position 310: 5.149705519654069e-09
Position 682: 4.282507158960921e-09
Position 773: 3.6753443457174188e-09
Position 743: 2.994233915000766e-09
Position 798: 1.8151823433732376e-09
Position 532: 1.102913123327039e-09
Position 528: 9.890076517252152e-10
Position 136: 6.145493781891136e-10
Position 802: 1.9201235265213232e-10
Position 446: 5.3070913139439465e-11
