Gene = spict
index = 1887
Annotated 5SS: [368]
Annotated 3SS: [865]
SMsplice 5SS: [368]
SMsplice 3SS: [865]
Partition function (log Z): -4.199673041772659

Sorted 5' Splice Sites (High to Low Probability):
Position 368: 0.9463913468936569
Position 793: 0.3803383097530041
Position 115: 0.23873566275669186
Position 541: 0.05023844522164524
Position 109: 0.007472770254816957
Position 133: 0.005390253879212809
Position 348: 0.0020809500365300652
Position 688: 0.0017859269949510798
Position 1204: 0.0015455068373763658
Position 1128: 0.0015076078871597313
Position 291: 0.001314105150624338
Position 1409: 0.0006960628443769162
Position 1414: 0.0006701218066794379
Position 1497: 0.0005817933935976312
Position 432: 0.0004555710226387307
Position 1048: 0.0003517903770224563
Position 492: 0.00032916589046299313
Position 1329: 0.00030511028614435185
Position 1781: 0.00029741220463370456
Position 1201: 0.00029639881299256353
Position 460: 0.0002850184788298534
Position 560: 0.00026117500736295047
Position 80: 0.00025118610352092635
Position 451: 0.00020696393940939696
Position 184: 0.0002069230190479614
Position 372: 0.00020607257479885076
Position 1156: 0.0001962131240596438
Position 1425: 0.00018411311041264478
Position 186: 0.00015886002584734578
Position 1519: 0.00015871195136562446
Position 301: 0.00015761104189530094
Position 636: 0.00013577938253405778
Position 1597: 0.00012260379319172456
Position 1144: 8.931621721277816e-05
Position 29: 8.579212639127838e-05
Position 119: 7.628680666600844e-05
Position 1432: 6.959605290027021e-05
Position 1521: 6.589072342370639e-05
Position 865: 6.237384672956596e-05
Position 465: 6.0667610004492726e-05
Position 436: 5.226249072326706e-05
Position 752: 4.939831392809621e-05
Position 418: 4.16988481118975e-05
Position 1132: 3.8380109549465035e-05
Position 783: 3.8290452328444294e-05
Position 420: 3.3040389610281593e-05
Position 1741: 2.3063097010968475e-05
Position 398: 1.9178493592099907e-05
Position 1158: 1.7304968212730936e-05
Position 1450: 1.2527142543344303e-05
Position 1207: 1.0647417475147644e-05
Position 1246: 1.0102384089564208e-05
Position 1148: 9.691081113552284e-06
Position 961: 9.048051015286007e-06
Position 309: 7.621154370289795e-06
Position 1794: 7.159876703053831e-06
Position 1348: 7.086620069593982e-06
Position 1023: 6.845640140750606e-06
Position 620: 6.821866433457846e-06
Position 1342: 5.629371146543514e-06
