Gene = Ip259
index = 1234
Annotated 5SS: [35]
Annotated 3SS: [386]
SMsplice 5SS: [35]
SMsplice 3SS: [423]
Partition function (log Z): -6.354811680342532

Sorted 5' Splice Sites (High to Low Probability):
Position 35: 0.9397724765366238
Position 270: 0.0899692747867332
Position 360: 0.0167592718952538
Position 188: 0.0051282716181700475
Position 378: 0.0029119026234743616
Position 881: 0.0014244459340992687
Position 537: 0.0009063642243649845
Position 631: 0.0006891917305778483
Position 48: 0.0003898489644385522
Position 781: 0.00035866605537754727
Position 759: 0.00019580399615923158
Position 69: 0.00017313242064089708
Position 909: 0.00014808387838018025
Position 105: 8.693197797550235e-05
Position 74: 6.976917837175686e-05
Position 274: 5.916312151545454e-05
Position 121: 5.301131360603431e-05
Position 814: 5.0662170832141785e-05
Position 352: 3.8027533982993734e-05
Position 1061: 3.752795829043984e-05
Position 245: 3.699143681765813e-05
Position 286: 3.514160825077608e-05
Position 1166: 2.6800194162072112e-05
Position 652: 2.330880442715294e-05
Position 805: 2.1054867412484686e-05
Position 392: 2.037563393923334e-05
Position 1141: 1.8507212082809127e-05
Position 917: 1.6067788126635867e-05
Position 39: 1.549460587625214e-05
Position 1099: 1.194641456323524e-05
Position 1048: 1.1692071253340224e-05
Position 792: 1.1147274524418806e-05
Position 227: 9.34083418815314e-06
Position 712: 8.85550478585043e-06
Position 180: 7.036354340675767e-06
Position 153: 5.528809249654622e-06
Position 135: 4.709934964686166e-06
Position 877: 2.7398516742936846e-06
Position 51: 2.507309000058962e-06
Position 1094: 1.7040223529105461e-06
Position 300: 1.6212278088051344e-06
Position 935: 1.4761198921065916e-06
Position 453: 1.443802434355566e-06
Position 293: 1.1544022191490865e-06
Position 766: 1.1525904627083693e-06
Position 1066: 1.0825375736380174e-06
Position 503: 6.507453042052093e-07
Position 1117: 5.568998808393129e-07
Position 1046: 4.549991844788374e-07
Position 429: 4.469775488437297e-07
Position 1006: 4.4211516253854e-07
Position 108: 3.526347146425932e-07
Position 1075: 3.343629851378824e-07
Position 1168: 1.1316712197637265e-07
Position 1032: 1.0965666235227266e-07
Position 868: 1.0438970331327268e-07
Position 958: 3.891464736620837e-08
Position 859: 2.149657232559088e-08
Position 21: 2.0341000591613593e-08
Position 717: 2.030752954198006e-08
Position 699: 1.4699016079500904e-08
Position 1180: 9.806014268820477e-09
Position 1120: 8.582607458996821e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 423: 0.6673267823255039
Position 386: 0.24734748385737132
Position 108: 0.034608463682523134
Position 269: 0.03282857141953546
Position 105: 0.020453787407063245
Position 450: 0.020275184456838714
Position 180: 0.015505429606282407
Position 313: 0.004645587141831676
Position 399: 0.004501667110001113
Position 293: 0.003226350935837416
Position 689: 0.002674970674531693
Position 325: 0.0014471620485008879
Position 970: 0.001079851146043476
Position 951: 0.0007087837693039316
Position 594: 0.0006806250528321586
Position 948: 0.0003586052937660606
Position 600: 0.00023646514481395054
Position 900: 0.00020356718549966122
Position 1140: 0.00015593528650447745
Position 1222: 0.00015019577608524516
Position 735: 0.00010553499592469808
Position 909: 0.00010488311240966924
Position 843: 6.717590696485643e-05
Position 220: 6.28838314903831e-05
Position 606: 4.825333132226655e-05
Position 837: 4.7395000561182444e-05
Position 868: 4.736519018268413e-05
Position 274: 4.0587061653742925e-05
Position 732: 3.635418012357581e-05
Position 570: 3.564771433558818e-05
Position 1059: 3.340540583343966e-05
Position 1011: 3.280808506243347e-05
Position 1180: 3.178102320113488e-05
Position 603: 2.8252884356807687e-05
Position 781: 2.76283471874627e-05
Position 1014: 2.5546430248612256e-05
Position 492: 2.4891009564247238e-05
Position 135: 2.438448381041761e-05
Position 642: 2.1627748753305453e-05
Position 814: 2.0416587058621895e-05
Position 792: 2.022954306088623e-05
Position 495: 1.6749047684640533e-05
Position 1224: 1.6122300742660893e-05
Position 831: 1.5961575615378474e-05
Position 201: 1.534300057106883e-05
Position 1117: 1.4478004322735525e-05
Position 822: 1.334911201037805e-05
Position 513: 1.1542974695178493e-05
Position 627: 1.12956170825394e-05
Position 573: 9.864008106147487e-06
Position 1156: 9.375310078078773e-06
Position 1075: 9.356744701430852e-06
Position 651: 9.003714505171148e-06
Position 711: 7.491204707949886e-06
Position 885: 7.1248800865008406e-06
Position 979: 6.0839577436546474e-06
Position 691: 5.260427637280609e-06
Position 630: 4.61318229941568e-06
Position 588: 4.395015784762014e-06
Position 612: 4.217930364229429e-06
Position 796: 3.736954797125652e-06
Position 704: 3.553649657244735e-06
Position 738: 2.992837903034955e-06
Position 699: 2.8021569570699845e-06
Position 169: 2.6257389512450166e-06
Position 804: 2.487504201386685e-06
Position 520: 2.4338047754278986e-06
Position 429: 1.5499176030074592e-06
Position 477: 1.3518748798770397e-06
Position 852: 1.2451975806784332e-06
Position 645: 1.13808869649329e-06
Position 639: 1.1206411484691719e-06
Position 552: 7.323692342511048e-07
Position 1022: 6.017864720840871e-07
Position 528: 4.356268926194438e-07
Position 648: 3.75680030165454e-07
Position 622: 3.2913863795242245e-07
Position 1089: 2.5485675409623583e-07
Position 315: 1.6194912671773149e-07
Position 915: 1.098960181646051e-07
Position 537: 8.226233475202574e-08
Position 744: 5.6900030612779987e-08
Position 750: 4.506133108774201e-08
Position 754: 1.233236270938438e-08
Position 747: 8.504875688331715e-09
Position 499: 6.983392010989901e-09
Position 624: 6.950858619062869e-09
Position 657: 8.223225137153034e-10
Position 759: 4.918490117040944e-10
Position 63: 3.203974234307105e-11
Position 664: 7.499843826573404e-12
Position 74: 5.179063076401394e-12
