Gene = Eig71Ee
index = 1149
Annotated 5SS: [52]
Annotated 3SS: [104]
SMsplice 5SS: [52]
SMsplice 3SS: [131]
Partition function (log Z): -7.050847652114032

Sorted 5' Splice Sites (High to Low Probability):
Position 52: 0.9774163592623156
Position 282: 0.18894916887566107
Position 1171: 0.036232774396229316
Position 1194: 0.030308634580081813
Position 1113: 0.014316704985800068
Position 242: 0.010544536754747516
Position 1128: 0.008495182226460712
Position 155: 0.005354787329901136
Position 726: 0.004059603585896453
Position 48: 0.0038262159540252924
Position 366: 0.0024713301634312515
Position 480: 0.0022165617821246083
Position 846: 0.00195054414959233
Position 642: 0.0015358551721826469
Position 395: 0.0012758084088456683
Position 1011: 0.0010148117601581077
Position 195: 0.0008418581631968198
Position 684: 0.0007683723170357331
Position 438: 0.0006641426980622106
Position 522: 0.0005931618018104742
Position 720: 0.0005378839462940214
Position 803: 0.00044639193429822925
Position 516: 0.00039292743974940025
Position 1095: 0.00036557874020512937
Position 1136: 0.00033967053883610776
Position 1047: 0.00029106695862892075
Position 564: 0.0002665607404973176
Position 678: 0.00023046311108538363
Position 39: 0.00021795102793733444
Position 762: 0.000180738908022038
Position 558: 0.00017940715252097103
Position 104: 0.00013794420670746812
Position 474: 0.00011032088663326618
Position 882: 0.0001008387969012163
Position 1175: 9.932014329928482e-05
Position 228: 6.897294065907062e-05
Position 36: 6.738584671486443e-05
Position 599: 5.637162549583303e-05
Position 1180: 4.193061133449557e-05
Position 174: 3.93538015752943e-05
Position 874: 3.009809321420063e-05
Position 16: 3.009209291676525e-05
Position 1209: 2.9405667323435057e-05
Position 359: 2.784017005158076e-05
Position 1014: 2.463047691800472e-05
Position 1476: 1.0549145777012835e-05
Position 1317: 1.0193966866565422e-05
Position 56: 7.517403759719481e-06
Position 1411: 4.411206245109486e-06
Position 1468: 4.36321551992409e-06
Position 1380: 2.3143363797529995e-06
Position 138: 1.9419374497384795e-06
Position 1027: 1.881697086097602e-06
Position 1173: 1.630133718193083e-06
Position 169: 1.5968658187223565e-06
Position 1253: 8.185875656265579e-07
Position 198: 5.182246489559511e-07
Position 1395: 3.6327882131907347e-07
Position 184: 1.5111030114031608e-07
Position 1367: 2.3037394507966045e-08
Position 1435: 2.1464386689397174e-08
Position 1422: 2.3128324382374103e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 131: 0.6930217197528541
Position 1242: 0.12075648736265346
Position 104: 0.10424269731565775
Position 1193: 0.08204515311886627
Position 773: 0.07653909278418913
Position 1112: 0.06223342006467527
Position 983: 0.0358863331770631
Position 569: 0.03313815075634363
Position 108: 0.022385572246694
Position 969: 0.014643025130562528
Position 401: 0.008768459333255924
Position 1271: 0.006813077899795691
Position 138: 0.005636453851608823
Position 194: 0.005291401115990271
Position 1017: 0.002746757683799618
Position 693: 0.002209072006418121
Position 447: 0.0016233202699542692
Position 213: 0.001427708632664136
Position 1317: 0.0014245357215070967
Position 1380: 0.0013201629682916163
Position 706: 0.0012387250305387063
Position 599: 0.0011178950877822709
Position 531: 0.001057437239828589
Position 342: 0.001000763800072422
Position 1301: 0.000849649569834888
Position 809: 0.000846976229023183
Position 651: 0.0007507328492569071
Position 1014: 0.0005612498630226296
Position 460: 0.0005565525261462372
Position 942: 0.0005557819578448352
Position 315: 0.0005520421240606362
Position 376: 0.0004675826613638982
Position 855: 0.00038414452650470843
Position 735: 0.0003839194726390975
Position 544: 0.0003635828494632955
Position 489: 0.00036250391454302055
Position 225: 0.000339969605242648
Position 258: 0.00030098092661714397
Position 868: 0.000290735956515581
Position 1062: 0.0002842459836516438
Position 1081: 0.00024738564585062464
Position 351: 0.00023806011911053112
Position 664: 0.00023579955025038055
Position 874: 0.00021986274112074664
Position 154: 0.00021908456077275978
Position 346: 0.0002094234523580836
Position 605: 0.0002055863440777724
Position 1446: 0.00018026327035535174
Position 255: 0.00016584400836873562
Position 893: 0.00014439916099598973
Position 133: 7.578208406589963e-05
Position 317: 6.834533957794135e-05
Position 919: 6.278545728629785e-05
Position 94: 5.170895317115768e-05
Position 1535: 5.0642677373926075e-05
Position 1456: 4.857064577137734e-05
Position 882: 4.7311603113202495e-05
Position 916: 4.6124914454674677e-05
Position 748: 3.356751548192971e-05
Position 949: 3.225370926819542e-05
Position 502: 3.093488061249977e-05
Position 163: 2.500084262365179e-05
Position 985: 2.42757173664491e-05
Position 1247: 2.397871494053196e-05
Position 167: 1.940270622735659e-05
Position 745: 1.6387507253504077e-05
Position 279: 1.0902504981985218e-05
Position 1503: 1.0162076755286894e-05
Position 1127: 6.846738387661206e-06
Position 77: 6.222951973917244e-06
Position 236: 5.231414311692153e-06
Position 909: 4.98521895451336e-06
Position 86: 4.526560622538074e-06
Position 276: 3.6811714846756637e-06
Position 775: 2.4556212197936502e-06
Position 571: 1.5498590428904405e-06
Position 294: 2.447575000442694e-07
Position 901: 5.080918189130727e-08
Position 1461: 4.614288133973412e-08
Position 324: 3.939557469946882e-08
Position 378: 2.3405512351593187e-08
Position 267: 2.0775145419415715e-08
Position 1463: 1.0009640951926307e-08
Position 1385: 2.000696124166761e-09
Position 286: 6.711655002938636e-10
Position 777: 2.0804056466242415e-10
Position 217: 2.059560310200921e-10
Position 246: 1.300629504011003e-10
Position 573: 3.220855034392839e-11
