Gene = ebd1
index = 1687
Annotated 5SS: [522]
Annotated 3SS: [857]
SMsplice 5SS: [522]
SMsplice 3SS: [857]
Partition function (log Z): -6.371870500515557

Sorted 5' Splice Sites (High to Low Probability):
Position 522: 0.997180666663604
Position 2226: 0.19726316236450395
Position 1038: 0.07247252544813425
Position 1554: 0.011177190236434617
Position 1618: 0.0067441637242019355
Position 1536: 0.004473843158417485
Position 1241: 0.0035612359497448607
Position 588: 0.001451924365883253
Position 1367: 0.0013784263749982127
Position 1265: 0.0012977422005351984
Position 1599: 0.0009350855294443712
Position 984: 0.0009019598707175359
Position 1501: 0.0007861622178961291
Position 276: 0.0007336781766474366
Position 377: 0.0006935563878122697
Position 1376: 0.0006233836664137651
Position 1716: 0.00045705330559236865
Position 824: 0.0004552669099307665
Position 1071: 0.00031034833611749804
Position 550: 0.0002790209986603506
Position 2335: 0.0002306643314558488
Position 781: 0.00021361700470091716
Position 1899: 0.00017070717545181714
Position 56: 0.00016123718496258293
Position 1218: 0.00014207728171956651
Position 2553: 0.00013807882959047393
Position 272: 0.00013194054234888153
Position 1212: 0.0001255874723831532
Position 634: 0.00010791377566385963
Position 1612: 0.00010300269128452989
Position 1226: 0.00010296393808813753
Position 1896: 9.29588584218682e-05
Position 2198: 8.989465974030934e-05
Position 764: 5.6231758701646705e-05
Position 1364: 5.50678850509142e-05
Position 280: 4.2254035145459465e-05
Position 1944: 3.160686362478698e-05
Position 1656: 2.6474753936377706e-05
Position 616: 2.1756545312242877e-05
Position 1449: 2.0029324789653093e-05
Position 1319: 2.0017442997434805e-05
Position 2497: 1.7705849779560335e-05
Position 1157: 1.6826705752630556e-05
Position 306: 1.6779649306776592e-05
Position 535: 1.6281975350682146e-05
Position 176: 1.5627221292167812e-05
Position 640: 1.4636180737140749e-05
Position 1467: 1.2290761317109606e-05
Position 1764: 1.1547684514082096e-05
Position 1083: 9.659593222846322e-06
Position 526: 7.984470347851216e-06
Position 320: 7.68532036515476e-06
Position 873: 7.165905158486525e-06
Position 1578: 7.058415313825552e-06
Position 1481: 6.171813641899776e-06
Position 1418: 6.057073008919607e-06
Position 808: 5.51905855091177e-06
Position 1239: 5.494052035928231e-06
Position 655: 5.2367833741170214e-06
Position 2166: 5.025950792175185e-06
Position 1128: 4.918052199970072e-06
Position 2551: 4.699019942684132e-06
Position 1785: 4.652617420189677e-06
Position 2064: 3.937626522777277e-06
Position 221: 3.7989418172108804e-06
Position 10: 3.36534324430248e-06
Position 685: 2.8046181341791226e-06
Position 694: 2.42500410087146e-06
Position 586: 2.3518274271321547e-06
Position 552: 2.199632967411588e-06
Position 103: 1.791107730163949e-06
Position 608: 1.5422506378205994e-06
Position 2372: 1.5335495484332256e-06
Position 297: 1.492623891319551e-06
Position 748: 1.2564930869162e-06
Position 72: 1.160454416768868e-06
Position 2181: 1.0529208651553203e-06
Position 444: 1.0407801704135466e-06
Position 2451: 9.807580896971826e-07
Position 1017: 7.817410912093917e-07
Position 205: 6.930862818346853e-07
Position 1094: 6.570374001522506e-07
Position 1476: 5.266349307401753e-07
Position 2230: 4.6226623726295183e-07
Position 375: 4.1299665720018724e-07
Position 1605: 3.8022431338076034e-07
Position 2402: 3.658512820677723e-07
Position 725: 3.560291027525251e-07
Position 2052: 2.6883638460215787e-07
Position 274: 1.8382230809579717e-07
Position 2291: 1.7344419660529676e-07
Position 27: 1.1800765892733499e-07
Position 672: 1.1797704032464161e-07
Position 456: 1.1745859416368442e-07
Position 425: 1.1464775750040428e-07
Position 2480: 1.0406740486698457e-07
Position 2244: 8.978775239151599e-08
Position 733: 7.194613817627556e-08
Position 728: 6.903012604010673e-08
Position 2137: 5.120074298245519e-08
Position 2393: 4.832290248082801e-08
Position 22: 4.8145298271944965e-08
Position 16: 3.944799573952659e-08
Position 2346: 3.7757592055498454e-08
Position 2281: 2.540555769601031e-08
Position 2475: 2.385827450913153e-08
Position 853: 1.5113896616949932e-08
Position 850: 1.445876383651998e-08
Position 2146: 1.0163252057332231e-08
Position 19: 9.332128672226002e-09
Position 2339: 8.945488581864883e-09
Position 2344: 5.7495277174425104e-09
Position 2148: 2.6011181126004344e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 857: 0.7708032235754751
Position 2270: 0.18622040860577346
Position 2052: 0.1005385048053461
Position 753: 0.08126417690728334
Position 833: 0.04663043589242386
Position 1877: 0.027390871781749898
Position 1361: 0.017974902635504192
Position 1105: 0.00787664472269459
Position 1836: 0.006797003899442402
Position 2301: 0.0056555777399065685
Position 1749: 0.0046051272111684765
Position 1850: 0.004020348715170734
Position 578: 0.003743899342578031
Position 1177: 0.002370724710229711
Position 2353: 0.002254799464635343
Position 1393: 0.002224092647317557
Position 2497: 0.0019152845827643903
Position 1880: 0.0017728741549777871
Position 1439: 0.0016023177761898925
Position 1797: 0.001494431421835936
Position 2381: 0.0014385004466092573
Position 912: 0.0013354858626962692
Position 2483: 0.001323951383854957
Position 1110: 0.001323330357213596
Position 2411: 0.001317687742652388
Position 1716: 0.0011804927601483566
Position 1454: 0.0011206375924135772
Position 915: 0.001053792798989449
Position 1573: 0.0010263752574418926
Position 1460: 0.0009610005522344617
Position 431: 0.0009548850617518746
Position 717: 0.000946487433981405
Position 1304: 0.0009462725067760937
Position 2614: 0.0008883143529276306
Position 1405: 0.0008773027880578411
Position 1720: 0.0008702361744549345
Position 949: 0.0008199358768280668
Position 605: 0.0008031732637885947
Position 1037: 0.000678234941747832
Position 1414: 0.0005670269738768502
Position 1136: 0.0005641498427135175
Position 2408: 0.0005013771231962315
Position 2146: 0.00045905290241076704
Position 964: 0.0004282522621126591
Position 2291: 0.00040010290244507526
Position 1307: 0.0003040703474005453
Position 1133: 0.00030217969152877106
Position 1917: 0.00028721801430853
Position 1428: 0.00023345416222198868
Position 885: 0.00022468908759159522
Position 332: 0.00022398025643967484
Position 1883: 0.00019594008866413888
Position 2372: 0.00018388829860550694
Position 2513: 0.0001821725739265198
Position 1690: 0.0001681139497795044
Position 2579: 0.00016468697949072856
Position 1282: 0.00015761108117182346
Position 2621: 0.00015327415184523423
Position 2124: 0.00015197800289434697
Position 1584: 0.0001455378472097423
Position 2331: 0.00014256849223027196
Position 1274: 0.0001253688344086033
Position 2393: 0.00011241443057583456
Position 2344: 0.00011181054532656246
Position 2582: 0.00010961729913276675
Position 1862: 0.00010854738080154826
Position 1424: 0.00010592177796707445
Position 624: 0.00010428397847401538
Position 1364: 9.668470175334598e-05
Position 2064: 9.400267047367888e-05
Position 1319: 8.356808876383829e-05
Position 872: 6.98090797526929e-05
Position 1007: 6.91909889794198e-05
Position 1955: 6.63039961184575e-05
Position 1381: 6.504831431639999e-05
Position 2103: 6.336139068253182e-05
Position 2451: 6.107638979046681e-05
Position 205: 5.9021979126346275e-05
Position 983: 4.8241486708913557e-05
Position 1115: 4.477856016599479e-05
Position 1764: 4.4224105124429265e-05
Position 1581: 3.956354259369192e-05
Position 393: 3.937454425261881e-05
Position 1928: 3.917096252437266e-05
Position 755: 3.50393313179626e-05
Position 1982: 3.4714143779620994e-05
Position 1079: 3.1941277286526854e-05
Position 329: 2.736969178397282e-05
Position 1561: 2.6722622460201803e-05
Position 1472: 2.5007153765163687e-05
Position 2210: 2.414158996867498e-05
Position 1489: 2.208862000473259e-05
Position 1166: 2.1142895875007613e-05
Position 2516: 2.0460213522953368e-05
Position 1934: 1.899271445374199e-05
Position 1734: 1.7686457901685478e-05
Position 648: 1.635465581897799e-05
Position 2073: 1.5518019346624633e-05
Position 241: 1.5115851091037337e-05
Position 352: 1.3923076420722608e-05
Position 110: 1.2080013589911798e-05
Position 2442: 1.1750368999214804e-05
Position 2075: 1.0929329455802552e-05
Position 1235: 1.0344104331201923e-05
Position 2244: 1.0281692984052448e-05
Position 640: 9.800771926462901e-06
Position 1808: 9.46476733693646e-06
Position 2109: 8.447027980891337e-06
Position 2023: 8.398233324170751e-06
Position 1325: 8.317767873892352e-06
Position 335: 8.089528779635282e-06
Position 1919: 7.976731001354137e-06
Position 1121: 7.64660154430228e-06
Position 425: 7.205056953271464e-06
Position 263: 6.432258815509415e-06
Position 1624: 5.3728531437131575e-06
Position 1376: 5.199303512164867e-06
Position 1216: 4.949727217834975e-06
Position 1013: 4.768447633012234e-06
Position 2030: 4.6652609509947335e-06
Position 437: 4.498837542920522e-06
Position 1988: 4.4011489190070645e-06
Position 586: 4.336635710616689e-06
Position 1208: 4.214813968855097e-06
Position 473: 3.991944456357516e-06
Position 759: 3.098634150419011e-06
Position 1501: 2.824249131910302e-06
Position 133: 2.8028069727196946e-06
Position 1925: 2.3604595189730376e-06
Position 1523: 1.8827471832697103e-06
Position 2528: 1.7045262445061656e-06
Position 2390: 1.6137878548968856e-06
Position 291: 1.5071534789301277e-06
Position 1700: 1.4384333560650838e-06
Position 2000: 1.409988664535145e-06
Position 2537: 1.269027012724647e-06
Position 1944: 1.2129049518946516e-06
Position 224: 1.2042897475549434e-06
Position 2549: 1.0377935871197346e-06
Position 2335: 9.977402233515999e-07
Position 1202: 6.036037687842267e-07
Position 2219: 5.591601977071309e-07
Position 1672: 5.569976869605912e-07
Position 2081: 5.3220546094588e-07
Position 1549: 4.6735608813917717e-07
Position 55: 4.219136788798482e-07
Position 2225: 3.8592944191532837e-07
Position 2523: 3.806596150166313e-07
Position 452: 3.6435021900498326e-07
Position 1598: 3.3570319748281976e-07
Position 2165: 2.578188055371444e-07
Position 2186: 2.5553584347652113e-07
Position 152: 2.4083832784406187e-07
Position 2192: 2.0926677517549585e-07
Position 164: 1.9591242796932913e-07
Position 1180: 1.91296838938391e-07
Position 61: 1.6702868358771807e-07
Position 1979: 1.4812673389051075e-07
Position 1965: 1.4008612261655366e-07
Position 467: 1.3934838699513794e-07
Position 90: 1.3707949422163377e-07
Position 2003: 1.3558932003754358e-07
Position 1949: 1.1279906104396662e-07
Position 93: 1.0540898215443236e-07
Position 2543: 8.076298724405053e-08
Position 126: 7.737918998056576e-08
Position 1540: 7.420392902963213e-08
Position 1520: 7.152732563195877e-08
Position 1145: 5.899133046717774e-08
Position 173: 5.267169662134235e-08
Position 1631: 5.029124399281932e-08
Position 442: 3.962256189575834e-08
Position 980: 3.727540935623094e-08
Position 114: 3.6372598982757035e-08
Position 168: 3.566918499413145e-08
Position 1852: 3.553818554301958e-08
Position 1193: 3.347087333517362e-08
Position 1184: 3.291951293059279e-08
Position 176: 3.087453299013064e-08
Position 1661: 2.980991463482791e-08
Position 1994: 2.6585800021484835e-08
Position 280: 2.5981074648777994e-08
Position 482: 2.4817457460712307e-08
Position 1890: 2.1871021839825813e-08
Position 1643: 1.0875089360857443e-08
Position 449: 1.0179237982374422e-08
Position 284: 9.101000349793826e-09
Position 141: 8.464164816135814e-09
Position 2207: 8.377962763477576e-09
Position 159: 7.351256585253171e-09
Position 2230: 6.57568066944724e-09
