Gene = nbs
index = 1814
Annotated 5SS: [  90  977 2569]
Annotated 3SS: [ 154 1033 2628]
SMsplice 5SS: [ 977 1583 2321 2569]
SMsplice 3SS: [1033 2110 2368 2628]
Partition function (log Z): -5.289982482417863

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.9908500120687128
Position 2321: 0.564596721015655
Position 1583: 0.37619782415175707
Position 977: 0.35658975018760564
Position 94: 0.22834153446667596
Position 918: 0.1436308810691455
Position 975: 0.11617979900713893
Position 962: 0.11014585696966836
Position 373: 0.08085512345670025
Position 1337: 0.048805490966239685
Position 1612: 0.032333217509710147
Position 448: 0.026005900570121195
Position 103: 0.020333040446497683
Position 2271: 0.020043675472772398
Position 819: 0.014339696442070943
Position 2045: 0.01026270634748364
Position 1283: 0.00905758334988962
Position 2288: 0.008480135420536947
Position 73: 0.008175972607207423
Position 872: 0.007318719943566954
Position 1264: 0.006204326803190253
Position 1168: 0.005283680515210118
Position 1874: 0.005066902182072917
Position 2318: 0.00495991046945025
Position 1261: 0.004366399357088483
Position 904: 0.003551110584569841
Position 2308: 0.0033405723214991532
Position 1954: 0.0032743122869410887
Position 462: 0.003084341447995949
Position 26: 0.00305598993800466
Position 761: 0.00227858514328768
Position 1134: 0.002162305389294692
Position 1558: 0.002129837329477754
Position 1071: 0.0020342974362128046
Position 1164: 0.0018532173567368964
Position 165: 0.0016374092510347677
Position 899: 0.0016136180572980943
Position 1903: 0.0015125044548034317
Position 54: 0.0014698653722935162
Position 1519: 0.00145877461556306
Position 595: 0.0014337661452939936
Position 1008: 0.0012671245443753704
Position 1395: 0.0011562527111259185
Position 1058: 0.0010782911287948852
Position 2223: 0.0010454736086786456
Position 2325: 0.0008239219735932562
Position 60: 0.0007716562430468792
Position 541: 0.0006784782494198067
Position 589: 0.0006750687768904021
Position 466: 0.0006565880232489109
Position 2559: 0.0006195429549830262
Position 2690: 0.0005380003947907388
Position 403: 0.0005006227274211399
Position 190: 0.0004653505928478452
Position 1272: 0.0004394351275746386
Position 2563: 0.00038724209096009036
Position 1838: 0.0003453346073344103
Position 874: 0.00033912024275000396
Position 2695: 0.00030527879062972903
Position 564: 0.0002736513709135839
Position 829: 0.00026318690418662347
Position 242: 0.00025168562192987
Position 1906: 0.00020244216451812373
Position 2239: 0.00018325555820238664
Position 1828: 0.00017250162425245247
Position 601: 0.00016376518428478176
