Gene = eIF3l
index = 1686
Annotated 5SS: [ 142 1326 2353]
Annotated 3SS: [ 846 1379 2411]
SMsplice 5SS: [ 142 1326 2353]
SMsplice 3SS: [ 846 1379 2411]
Partition function (log Z): 0.11517010631975833

Sorted 5' Splice Sites (High to Low Probability):
Position 2353: 0.9891106671770677
Position 1326: 0.9679567701046884
Position 142: 0.6821362923610941
Position 405: 0.22618706954852258
Position 416: 0.025433083459474874
Position 484: 0.020359502118390042
Position 585: 0.016755622078217593
Position 704: 0.013043566165686261
Position 942: 0.01047443173679771
Position 785: 0.010242846300822468
Position 402: 0.009549994879346003
Position 566: 0.007044239040642847
Position 1529: 0.006070041727081676
Position 687: 0.005644255211115085
Position 424: 0.004562089873648618
Position 1075: 0.004448828175498188
Position 793: 0.004136884583516756
Position 2134: 0.004029384981024502
Position 284: 0.0036932784779122084
Position 1290: 0.0028915433678539837
Position 1553: 0.0025997064524869735
Position 631: 0.0024055561837787107
Position 694: 0.0023616798519425545
Position 1657: 0.002352552626720061
Position 987: 0.0020558241292974694
Position 937: 0.002053456647358779
Position 1005: 0.0020433021782209635
Position 717: 0.0019132525311943707
Position 553: 0.001812563380967734
Position 2119: 0.0018040290923809314
Position 782: 0.0017148886612712317
Position 306: 0.0016549509496855857
Position 604: 0.001586466029602167
Position 439: 0.0011877984492488888
Position 1634: 0.0010172762646049247
Position 1422: 0.0010166728639099348
Position 375: 0.0010102415903133703
Position 422: 0.000818827734203414
Position 111: 0.0007774760910792697
Position 897: 0.0007439980279831704
Position 1102: 0.0007312080315209303
Position 1945: 0.0007070177968590484
Position 1278: 0.0006726467185049483
Position 579: 0.0006673891362532264
Position 2044: 0.0006582597550929372
Position 652: 0.0006455912514188391
Position 1282: 0.0005616859915513503
Position 1735: 0.0005172089571773727
Position 2005: 0.00047490333235490444
Position 1296: 0.00045891560155740047
Position 288: 0.00037008750647667593
Position 1087: 0.0003686650552999849
Position 2340: 0.00036276583331030246
Position 2471: 0.0003324798121118556
Position 1330: 0.0003256125042235482
Position 1725: 0.0003201504819472077
Position 1994: 0.00022966795346453781
Position 1803: 0.00022725706241800433
Position 1686: 0.00022182462251932292
Position 2487: 0.00021725690029577907
Position 1320: 0.00021076610240590047
Position 1170: 0.00019444316958030426
Position 1906: 0.00015533310293309655
Position 1728: 0.00015492499900698296
Position 1272: 0.00013535619965226265
Position 1827: 0.00010122649467440605
Position 1128: 0.00010001325439212266
Position 1294: 9.90649346017718e-05
Position 1814: 8.321839404710009e-05
Position 488: 7.669472222072918e-05
Position 2169: 7.206234025399721e-05
Position 290: 6.509945661810155e-05
Position 77: 6.0303139904899306e-05
Position 1125: 5.606498182343775e-05
Position 327: 4.9781891801442355e-05
Position 378: 4.502734896135912e-05
Position 266: 4.438710636576887e-05
Position 146: 3.8288483402232004e-05
Position 116: 3.385457257695651e-05
Position 1443: 3.37315783986884e-05
Position 655: 3.113340855927568e-05
Position 1302: 2.9636636112927837e-05
Position 2181: 2.952127839853047e-05
Position 1160: 2.950981847139732e-05
Position 64: 2.7944291792430057e-05
Position 2065: 2.08624477527902e-05
Position 1881: 1.688184279228434e-05
Position 347: 1.4360454962296396e-05
Position 1531: 1.2829318615497752e-05
Position 1989: 1.0935448540041892e-05
Position 2491: 9.662413018301007e-06
Position 1838: 9.296391710347803e-06
Position 1243: 7.98233630515253e-06
Position 81: 7.930821540016614e-06
Position 2112: 7.843604762882084e-06
Position 1426: 7.484099260986434e-06
Position 40: 6.875880383263443e-06
Position 2460: 6.754673705352253e-06
Position 1546: 6.409653139448033e-06
Position 1618: 5.956990296589821e-06
Position 1977: 4.8119956151867146e-06
Position 469: 4.777912315480275e-06
Position 29: 4.508880503594037e-06
