Gene = IFT46
index = 1219
Annotated 5SS: [473]
Annotated 3SS: [597]
SMsplice 5SS: [473]
SMsplice 3SS: [597]
Partition function (log Z): -2.5348780854979607

Sorted 5' Splice Sites (High to Low Probability):
Position 473: 0.9822627715229794
Position 23: 0.02361222180980278
Position 480: 0.012556009743764763
Position 1108: 0.012303156415467151
Position 496: 0.002558700870573732
Position 1095: 0.0018926490842590639
Position 514: 0.000836873384182136
Position 194: 0.0004427363677121798
Position 1238: 0.000434409811242135
Position 724: 0.00031870228774345783
Position 1404: 0.00023949885490577458
Position 437: 0.00023701129389306467
Position 179: 0.0002321565319625466
Position 737: 0.0002128524352080156
Position 1112: 0.00019598536181306817
Position 150: 0.0001857918215669898
Position 1375: 0.00016714629138372096
Position 1068: 0.00015187459401232425
Position 996: 0.00010265537025056895
Position 477: 0.00010222324022311218
Position 920: 8.016695100228521e-05
Position 742: 7.022862365672719e-05
Position 796: 5.7482262804075806e-05
Position 1036: 4.8191371856507304e-05
Position 537: 4.763205243968648e-05
Position 1269: 4.299014194946114e-05
Position 31: 3.2802952558859565e-05
Position 153: 3.118191684562876e-05
Position 842: 2.888647911452433e-05
Position 926: 2.416734743424339e-05
Position 1653: 2.2205279561013043e-05
Position 465: 2.1838464155477047e-05
Position 1209: 2.1238519568621707e-05
Position 1362: 2.1130465916428762e-05
Position 148: 2.0001333025651815e-05
Position 785: 1.9859776348030636e-05
Position 1384: 1.658713568899346e-05
Position 1099: 1.3773480035032405e-05
Position 1273: 1.2098636360933463e-05
Position 1646: 6.553222259518685e-06
Position 419: 3.961949388557441e-06
Position 390: 3.945130804067327e-06
Position 548: 2.6649640267834873e-06
Position 1135: 2.3923223413368887e-06
Position 1543: 1.8861670950459966e-06
Position 264: 1.690271902555864e-06
Position 974: 1.565962860282993e-06
Position 277: 1.5386451718525088e-06
Position 1117: 1.0955564768596413e-06
Position 12: 8.49142563287456e-07
Position 626: 7.755728360690429e-07
Position 1000: 7.252552084858988e-07
Position 402: 5.388904677926333e-07
Position 1327: 4.299105175316544e-07
Position 1304: 4.160477731227265e-07
Position 405: 4.104749314986584e-07
Position 1531: 3.248360300409814e-07
Position 393: 3.097786502287442e-07
Position 1398: 2.683106099417047e-07
Position 381: 1.563899427882854e-07
Position 1247: 1.5175379400361727e-07
Position 347: 1.0258789302599945e-07
Position 1549: 7.091897744335193e-08
Position 345: 4.785644954365158e-08
Position 1570: 4.4739886265377804e-08
Position 1280: 2.9057329404817367e-08
Position 1411: 1.5680093009072575e-08
Position 1511: 1.5404500783215613e-08
Position 1612: 1.3771015655191558e-08
Position 1587: 4.52862140255096e-09
Position 597: 8.313331809440392e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 597: 0.9808990068384941
Position 636: 0.01740051186579959
Position 93: 0.016350698879279802
Position 1158: 0.016243003077849
Position 273: 0.002414324960446223
Position 377: 0.0013702282323738643
Position 68: 0.001163913421134083
Position 72: 0.0010510253823860507
Position 1497: 0.0005582510428667525
Position 1140: 0.0002807517395773696
Position 212: 0.0002542433348407232
Position 1521: 0.00019453822825417843
Position 371: 0.00019020258827472922
Position 1170: 0.00015351915851873554
Position 1742: 0.0001157767830650246
Position 660: 9.651185434070846e-05
Position 89: 9.360381357304767e-05
Position 334: 7.820446949662034e-05
Position 1617: 7.78757367758417e-05
Position 1398: 7.009704651958516e-05
Position 1286: 6.914158945725449e-05
Position 1416: 6.656943527274178e-05
Position 229: 5.1777506735171316e-05
Position 1421: 4.752764140462227e-05
Position 175: 4.364702270477049e-05
Position 345: 4.347645604531873e-05
Position 974: 3.776388280272858e-05
Position 171: 3.6775079297842015e-05
Position 101: 3.144187791590276e-05
Position 1173: 2.421021832008187e-05
Position 1518: 2.2923546409999255e-05
Position 1135: 1.9893294556135983e-05
Position 1425: 1.848829632953468e-05
Position 1446: 1.5721591668173996e-05
Position 304: 1.567686224236674e-05
Position 1505: 1.4563595081126588e-05
Position 666: 1.2603228143637152e-05
Position 307: 8.131164077665597e-06
Position 1238: 7.924044560371727e-06
Position 1534: 6.787067192601573e-06
Position 1350: 5.506704559663764e-06
Position 785: 4.511579893147309e-06
Position 796: 3.6319051425399866e-06
Position 126: 3.5582459136433923e-06
Position 792: 3.5382966343944246e-06
Position 1593: 3.089229624617204e-06
Position 765: 2.9545270644963733e-06
Position 129: 2.79101015636209e-06
Position 235: 2.5749257637356355e-06
Position 1357: 2.5325750554814513e-06
Position 848: 2.289335149441557e-06
Position 776: 2.1929396715726707e-06
Position 1384: 1.5342015974906697e-06
Position 200: 1.5100703647214754e-06
Position 413: 1.489808219703837e-06
Position 1576: 1.3439506925067674e-06
Position 1432: 1.2891776689401214e-06
Position 1095: 1.2104703903047348e-06
Position 358: 1.1850559770596792e-06
Position 1194: 1.1771758988039998e-06
Position 148: 9.666301785473133e-07
Position 824: 9.210241630654947e-07
Position 689: 8.931242476536362e-07
Position 1646: 8.139641787336163e-07
Position 990: 6.423261147281048e-07
Position 1009: 5.73798319426193e-07
Position 114: 5.092500730076111e-07
Position 897: 4.98670850399164e-07
Position 1700: 4.896146391250969e-07
Position 1570: 4.1714778539881367e-07
Position 699: 4.0159233219902466e-07
Position 926: 3.260358943244691e-07
Position 218: 2.5602518250407666e-07
Position 1017: 2.4037578764399534e-07
Position 1247: 1.9761736980604188e-07
Position 416: 1.9484514640778649e-07
Position 521: 1.6819629236705276e-07
Position 524: 1.3035509863486519e-07
Position 708: 1.1551804296724915e-07
Position 107: 1.0815783904793442e-07
Position 387: 9.710704350351446e-08
Position 419: 7.230053348217126e-08
Position 389: 6.761511322907749e-08
Position 1560: 5.7678834709560496e-08
Position 1362: 5.1749036663625764e-08
Position 920: 4.065334933285713e-08
Position 671: 4.023249589083196e-08
Position 693: 3.9997509599714035e-08
Position 951: 3.686776802057415e-08
Position 186: 3.6533190831076244e-08
Position 831: 3.271284965813838e-08
Position 1650: 2.7559569866889055e-08
Position 914: 2.343664756052914e-08
Position 871: 2.044022468082666e-08
Position 455: 2.0207000484949156e-08
Position 815: 1.9676487663842e-08
Position 675: 1.673846331408235e-08
Position 862: 1.17585161724436e-08
Position 934: 1.0715543879770598e-08
Position 434: 9.797237494197256e-09
Position 1359: 9.75487827868367e-09
Position 179: 6.8341305414642674e-09
Position 1562: 6.330186234049398e-09
Position 1665: 3.5162074817031274e-09
Position 1549: 3.4245402981952966e-09
Position 431: 2.081156383687461e-09
Position 828: 1.859462838137052e-09
Position 449: 1.8297966492217142e-09
Position 220: 1.8148318344653142e-09
Position 1221: 1.616639511070491e-09
Position 459: 1.453347465271322e-09
Position 1587: 1.2338440055740029e-09
Position 1374: 8.225702593151606e-10
Position 882: 6.605744260417771e-10
Position 342: 3.050949310579209e-10
Position 938: 2.647036402457528e-10
Position 485: 1.3259270189180814e-10
Position 869: 8.782563592373378e-11
Position 514: 8.67894681240657e-11
Position 945: 8.063462816915486e-11
Position 1457: 6.169152526585135e-11
Position 444: 5.663001244613875e-11
Position 1280: 2.6751880817550923e-11
Position 428: 2.524141285326932e-11
Position 931: 1.2456989876005132e-11
Position 477: 5.129831234692769e-12
Position 446: 1.328778292016659e-12
Position 865: 1.2997135595968482e-12
Position 1242: 3.9212293756743184e-15
Position 877: 2.622986994978799e-15
Position 237: 1.1752762056190905e-15
