Gene = RPA2
index = 1402
Annotated 5SS: [114 234 884]
Annotated 3SS: [171 296 972]
SMsplice 5SS: [234 884]
SMsplice 3SS: [296 972]
Partition function (log Z): 1.0084088887755092

Sorted 5' Splice Sites (High to Low Probability):
Position 884: 0.9989431341930296
Position 234: 0.5191676459175107
Position 114: 0.4741747377159808
Position 238: 0.2862759125076927
Position 510: 0.09567889590202526
Position 534: 0.02696903039360467
Position 1048: 0.01606969535884031
Position 516: 0.008320856214101122
Position 528: 0.006122534465962208
Position 242: 0.0047730253122977035
Position 562: 0.0023567553100701725
Position 118: 0.0016856752880067365
Position 368: 0.0013411640175099622
Position 253: 0.0006897243990219003
Position 1062: 0.00047577940244251493
Position 551: 0.00029039834986698497
Position 281: 0.0002686593471449948
Position 615: 0.0002574543819125997
Position 384: 0.00011119806082757207
Position 396: 0.00010466045576508139
Position 1088: 0.00010009441432551448
Position 679: 7.7352854182688e-05
Position 52: 7.285611240668863e-05
Position 694: 6.918506661087706e-05
Position 888: 6.869095903797461e-05
Position 405: 6.311610347979458e-05
Position 19: 6.267571908797428e-05
Position 315: 2.6329719360076293e-05
Position 1060: 2.458244641296929e-05
Position 353: 2.161111430217726e-05
Position 258: 2.0508677688592537e-05
Position 382: 1.672057778780344e-05
Position 35: 1.3447237986406019e-05
Position 312: 1.0613220485180518e-05
Position 356: 9.526942517200905e-06
Position 597: 8.586739325895068e-06
Position 878: 6.738204757852756e-06
Position 27: 6.680688051854747e-06
Position 891: 5.403744814264138e-06
Position 636: 4.552967930343818e-06
Position 127: 3.616738651350162e-06
Position 759: 3.3269182956986843e-06
Position 303: 1.1559276947054744e-06
Position 789: 6.265253984610525e-07
Position 763: 6.192395673221908e-07
Position 327: 5.474607766118116e-07
Position 171: 1.4133074439991317e-07
Position 387: 1.0955250034988451e-07
Position 813: 1.0458078374031419e-07
Position 165: 9.172819750635244e-08
Position 617: 7.276065465963924e-08
Position 957: 1.2317591737746187e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 972: 0.9991715615576398
Position 296: 0.5168395685674553
Position 171: 0.4462073827929856
Position 655: 0.37540184964144435
Position 303: 0.03337305005380556
Position 587: 0.025222154558644353
Position 368: 0.011480830459458299
Position 1142: 0.010732321882803035
Position 1108: 0.006308748037541909
Position 323: 0.005285383473335908
Position 746: 0.004448183656411866
Position 717: 0.002636830514305786
Position 614: 0.0019609380949670535
Position 726: 0.0014915837384681793
Position 339: 0.0008792529515406252
Position 396: 0.000841130444013467
Position 161: 0.000637326495414201
Position 320: 0.00036022483956222624
Position 425: 0.00031069270139727647
Position 177: 0.00025246413448399066
Position 671: 0.00024570170080786896
Position 1017: 0.00015133374052121905
Position 533: 0.00014379213468228725
Position 763: 0.00014356714906964906
Position 123: 3.0239737082414028e-05
Position 797: 2.8543339208256875e-05
Position 558: 2.7298051161105624e-05
Position 636: 2.600285053254122e-05
Position 92: 2.4585354277903132e-05
Position 510: 2.2982119879456115e-05
Position 662: 1.0878778424901055e-05
Position 210: 9.095686377958978e-06
Position 1028: 8.43465337918324e-06
Position 748: 7.89394634049037e-06
Position 65: 7.631994083225405e-06
Position 868: 6.541727185842523e-06
Position 443: 5.259594411155146e-06
Position 806: 5.173983601175136e-06
Position 457: 4.752958037168644e-06
Position 130: 3.157028744712729e-06
Position 677: 2.7549127795167134e-06
Position 782: 2.561622485952891e-06
Position 482: 2.361771026742757e-06
Position 451: 2.1133839641526483e-06
Position 1000: 1.8075322570332997e-06
Position 500: 1.8028460277460424e-06
Position 779: 1.690030248089872e-06
Position 839: 1.122453502044277e-06
Position 97: 9.446100419889626e-07
Position 684: 7.142831706951569e-07
Position 118: 7.096171233963037e-07
Position 341: 5.670195409014082e-07
Position 231: 5.443490830138242e-07
Position 821: 3.9685148755017977e-07
Position 410: 3.893165621768517e-07
Position 135: 3.659133750056138e-07
Position 699: 3.2155826505793693e-07
Position 227: 2.0813019830762802e-07
Position 258: 1.9984746042401729e-07
Position 785: 1.533118625838703e-07
Position 673: 1.4908477741986235e-07
Position 690: 1.3079130026717801e-07
Position 849: 7.107012882024613e-08
Position 773: 4.878435061883317e-08
Position 145: 2.9575416192519715e-08
Position 217: 2.1885380843878225e-08
Position 137: 2.1367883364041035e-08
Position 353: 2.1269141912759225e-08
Position 253: 1.7302854868358566e-08
Position 234: 1.4797397748991507e-08
Position 824: 8.9197417580033e-09
Position 808: 6.672740510537948e-09
Position 238: 4.8180519918000094e-09
Position 485: 2.0925314875763834e-09
Position 242: 2.567699603364494e-10
Position 878: 2.1231740463106056e-10
Position 888: 3.842901634459867e-12
Position 246: 2.028220309647976e-12
