Gene = CG32395
index = 541
Annotated 5SS: [969]
Annotated 3SS: [1031]
SMsplice 5SS: [333 969]
SMsplice 3SS: [ 558 1026]
Partition function (log Z): -5.617226916179174

Sorted 5' Splice Sites (High to Low Probability):
Position 969: 0.958362666327994
Position 333: 0.46471475306819365
Position 258: 0.21801596361303932
Position 669: 0.15333715277435747
Position 234: 0.05654650885812321
Position 442: 0.01153498931268688
Position 805: 0.007896689316431088
Position 193: 0.005205542637822869
Position 118: 0.0048662500624569345
Position 432: 0.004770402064747048
Position 735: 0.0029098371412071915
Position 652: 0.0027930954667766844
Position 663: 0.002361163361046643
Position 137: 0.0022412659732989025
Position 649: 0.0015109151852596278
Position 665: 0.001467819418530749
Position 829: 0.0010965317126043535
Position 572: 0.0010506014586552895
Position 996: 0.0008692776359308501
Position 283: 0.0008223225043010854
Position 362: 0.0006301462278794349
Position 92: 0.0006284638608972931
Position 973: 0.0004578982927135034
Position 770: 0.00045159559865184153
Position 9: 0.0004462528775232134
Position 255: 0.0004350686928188252
Position 712: 0.0003872973544218332
Position 60: 0.0003671015406455393
Position 483: 0.00035929136441054446
Position 555: 0.00035128167854660324
Position 241: 0.0002783854319694833
Position 56: 0.0002367073548991372
Position 122: 0.00021095567276796715
Position 772: 0.00019905696151468493
Position 231: 0.00016774088665296417
Position 294: 0.00014012852659357522
Position 720: 0.00011036049758838457
Position 183: 5.2280595896741884e-05
Position 200: 5.0885547509650686e-05
Position 299: 3.195732110111614e-05
Position 153: 2.496924680115846e-05
Position 1000: 2.2906759955327096e-05
Position 1066: 2.2593509044168392e-05
Position 243: 1.5558601715256965e-05
Position 78: 1.3900498896268304e-05
Position 38: 9.961928280928296e-06
Position 90: 9.433728710528893e-06
Position 44: 8.942861536367554e-06
Position 219: 8.546947795417043e-06
Position 54: 8.401867044975177e-06
Position 898: 4.860941544031184e-06
Position 507: 3.373001873460511e-06
Position 919: 1.4972439205221237e-06
Position 558: 1.4790172582468604e-06
Position 639: 8.002402106775104e-07
Position 1026: 6.39972665853186e-07
Position 1074: 2.216799138069213e-07
Position 221: 8.417225625629726e-08
Position 1112: 2.033158170407366e-08
Position 872: 8.029211059139757e-09
Position 1013: 3.3155845011457775e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1026: 0.5191129377731168
Position 558: 0.468557086422127
Position 1031: 0.37564889389004746
Position 872: 0.23235748423676733
Position 481: 0.07115315481803025
Position 530: 0.06616964919162649
Position 1052: 0.054278771624364855
Position 739: 0.04858442170031673
Position 805: 0.03569517824188075
Position 813: 0.013019493989772002
Position 1132: 0.007014725868355531
Position 577: 0.004840794850887091
Position 1074: 0.004061021859409881
Position 907: 0.0017076871051374433
Position 288: 0.001662210436040372
Position 459: 0.0009926493955311182
Position 415: 0.0007595085229232453
Position 819: 0.0006811478278307487
Position 1013: 0.00048017752168305047
Position 237: 0.0002084635133392707
Position 623: 0.00018915453922696755
Position 628: 0.0001616554543724012
Position 290: 0.00015750585840774655
Position 216: 0.0001556474155776341
Position 262: 0.00014844674023113279
Position 68: 0.00011950858932738806
Position 283: 9.962368126699417e-05
Position 349: 8.847907266788749e-05
Position 684: 8.352696644251991e-05
Position 148: 6.634106827640027e-05
Position 432: 4.9009119093312324e-05
Position 999: 4.012133369092972e-05
Position 332: 3.8826488832088066e-05
Position 649: 3.5502370475887334e-05
Position 442: 2.4629177754291823e-05
Position 1163: 2.0357174466366533e-05
Position 319: 1.826106629856622e-05
Position 953: 1.1246033505994571e-05
Position 328: 1.0761182454306852e-05
Position 996: 6.8639986892345016e-06
Position 153: 6.252455939583314e-06
Position 193: 3.460622014001857e-06
Position 122: 1.9387592697067566e-06
Position 104: 1.4924310765871484e-06
Position 964: 3.654611027692907e-07
Position 241: 3.260412555806574e-07
Position 919: 3.4563577364894056e-08
Position 299: 6.703162322004065e-09
Position 517: 4.832525996673171e-09
Position 973: 8.409907027302699e-11
