Gene = LSm-4
index = 1248
Annotated 5SS: [ 375  593 1211 1313 1474]
Annotated 3SS: [ 448  652 1270 1374 1646]
SMsplice 5SS: [ 375  593 1211 1313 1474]
SMsplice 3SS: [ 448  652 1270 1374 1646]
Partition function (log Z): 10.111643890449079

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.9992430978358027
Position 375: 0.9945577636141026
Position 1211: 0.9739154531054286
Position 1474: 0.8962198429069134
Position 1313: 0.7507336241684479
Position 1494: 0.03304104511929112
Position 1417: 0.019852750880922223
Position 27: 0.008003418151498442
Position 750: 0.007072761634142289
Position 245: 0.004767834739094706
Position 1579: 0.0046122263288643365
Position 1231: 0.0035760262572443317
Position 1013: 0.003286092562989353
Position 803: 0.0019168512297862198
Position 15: 0.0017340932441660924
Position 922: 0.0016455720774918709
Position 1549: 0.001565382580511573
Position 1504: 0.0013132404836969677
Position 1032: 0.0006935350743526261
Position 1456: 0.0005878078276343565
Position 103: 0.00046940773755674666
Position 1498: 0.00039955109861852095
Position 597: 0.0003959162878190842
Position 395: 0.0003625059235870875
Position 379: 0.0002991543474276911
Position 58: 0.0002963472009748129
Position 1320: 0.00024847400720238083
Position 168: 0.00023445751460349478
Position 844: 0.00020528671112797945
Position 849: 0.00016688037264922422
Position 1006: 0.0001154213525074636
Position 43: 0.00010202887924689299
Position 1149: 0.00010195118762641469
Position 1023: 0.00010143038843333204
Position 819: 9.146027965884111e-05
Position 1055: 9.099568353716837e-05
Position 208: 8.420081828482342e-05
Position 1184: 8.392962856064974e-05
Position 740: 8.356698961917761e-05
Position 1394: 6.778910977989012e-05
Position 1760: 5.7095889174969895e-05
Position 269: 5.655665191848218e-05
Position 1421: 5.6472776562327135e-05
Position 195: 5.299584739681031e-05
Position 1725: 5.1191212466746736e-05
Position 31: 5.056364637200907e-05
Position 788: 4.668676955662521e-05
Position 1526: 4.286200369637379e-05
Position 1431: 3.892129467071842e-05
Position 141: 3.106969301251685e-05
Position 201: 2.6136735502528858e-05
Position 1515: 2.2094385242230066e-05
Position 826: 2.0758558032726222e-05
Position 734: 1.826352513856859e-05
Position 331: 1.3235033045144645e-05
Position 37: 1.0186465587328711e-05
Position 356: 9.577548410321468e-06
Position 1374: 9.266896637773703e-06
Position 166: 6.107537648138851e-06
Position 557: 5.257702961153639e-06
Position 72: 4.3695556386288905e-06
Position 101: 3.5631675152592993e-06
Position 1073: 3.397435822408208e-06
Position 1737: 3.2477027773725904e-06
Position 1355: 2.8187192931494816e-06
Position 1378: 2.3769986942149935e-06
Position 551: 2.311574306670945e-06
Position 328: 2.28963084220633e-06
Position 1175: 2.112357394368478e-06
Position 1630: 1.975233863941685e-06
Position 681: 1.3561894608385005e-06
Position 78: 1.0049997872402e-06
Position 1340: 9.674184181129194e-07
Position 147: 8.74422285350809e-07
Position 1912: 8.038247055166788e-07
Position 152: 7.684413155032835e-07
Position 543: 7.527842930623065e-07
Position 1120: 5.389088531052485e-07
Position 172: 5.144642701546443e-07
Position 1885: 5.142747198461498e-07
Position 286: 4.92007671422556e-07
Position 154: 4.167628559375445e-07
Position 1658: 4.108854359257861e-07
Position 876: 3.764126541809958e-07
Position 429: 3.2156801087451977e-07
Position 1528: 3.1779182871091047e-07
Position 504: 2.8517198387042434e-07
Position 1678: 2.8205835291136534e-07
Position 1409: 1.6817126578590614e-07
Position 541: 1.5224762574465042e-07
Position 483: 1.503975592159574e-07
Position 1122: 9.537295717846283e-08
Position 69: 7.973943523197007e-08
Position 1936: 7.078254505762309e-08
Position 1262: 5.65682745644541e-08
Position 448: 5.594728295975757e-08
Position 864: 5.594231127897359e-08
Position 1138: 4.556916892294077e-08
Position 657: 4.3452145986454704e-08
Position 1636: 2.8597702457386244e-08
Position 414: 1.7385599844131643e-08
Position 652: 1.6262979220308053e-08
Position 465: 1.3965008317874882e-08
Position 441: 1.1764902946709138e-08
Position 1805: 8.319545565235257e-09
Position 1834: 4.294948264961447e-09
Position 1264: 4.184334999881581e-09
Position 1628: 2.867921215216337e-09
Position 1614: 1.939762733833621e-09
Position 1854: 1.538068993330159e-09
Position 1828: 1.3400049151498278e-09
Position 1634: 4.182598017759149e-10
Position 1864: 6.530410108766909e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 448: 0.9885667505601637
Position 652: 0.973451399095192
Position 1270: 0.9615119665487174
Position 1646: 0.9426680788660837
Position 1374: 0.7495208092073442
Position 1518: 0.018312948949417415
Position 681: 0.016960144384058302
Position 83: 0.009296524082226455
Position 978: 0.008189247877881986
Position 1295: 0.007900085632797083
Position 1586: 0.006673208360145844
Position 314: 0.005770300256390385
Position 456: 0.003675375253266918
Position 788: 0.003131785877996221
Position 1097: 0.002810816021534109
Position 900: 0.0019974593984041994
Position 1080: 0.001760060496307612
Position 695: 0.0014734989158041749
Position 849: 0.001455178339601584
Position 459: 0.0012833749111775638
Position 1149: 0.0010719593564937006
Position 483: 0.0009783645781124954
Position 723: 0.0009649010143523074
Position 166: 0.0003466499179810592
Position 1116: 0.00032704931342954007
Position 1023: 0.00031198188854913614
Position 525: 0.0002791146168137597
Position 984: 0.00027877658866835896
Position 471: 0.0002555565424128641
Position 501: 0.00022260565318674022
Position 910: 0.00021123423248820867
Position 1817: 0.00016960549319400956
Position 98: 0.00016171761319924398
Position 195: 0.00013302252650633715
Position 1300: 0.000119426187017466
Position 1340: 0.00011199539635465031
Position 1725: 8.457123522108739e-05
Position 1776: 7.721710634391993e-05
Position 707: 7.505688127840951e-05
Position 141: 6.670369395898296e-05
Position 1473: 6.0808101139448085e-05
Position 819: 5.3918861810373276e-05
Position 1001: 4.336609458111429e-05
Position 1745: 3.7618272476406914e-05
Position 192: 2.344855061586456e-05
Position 324: 2.189352797647929e-05
Position 1742: 1.4270260059314816e-05
Position 1421: 1.3951354689824121e-05
Position 1608: 1.1865687353213318e-05
Position 101: 1.0741794099231302e-05
Position 799: 9.520462758187347e-06
Position 750: 7.669334262037936e-06
Position 1042: 7.543767305579054e-06
Position 108: 7.541766909950887e-06
Position 557: 3.2707840559939846e-06
Position 1874: 3.266676951183954e-06
Position 1317: 2.9736749716307833e-06
Position 1240: 2.6922267559529074e-06
Position 515: 2.339378679839538e-06
Position 244: 2.0730595609749603e-06
Position 1982: 1.91793596391598e-06
Position 1754: 1.887518030291395e-06
Position 336: 1.3483301273684974e-06
Position 1693: 5.955163094312639e-07
Position 1960: 5.324266145341666e-07
Position 208: 2.9830787466397366e-07
Position 1242: 2.412407525093787e-07
Position 918: 2.3586184099375856e-07
Position 1032: 2.1094464530552587e-07
Position 1215: 1.9779714634831997e-07
Position 1778: 7.197135739874641e-08
Position 1302: 5.131807993172673e-08
Position 1765: 3.053368618619712e-08
Position 593: 2.2677173209855716e-08
Position 1760: 2.265764445475125e-08
Position 1383: 1.213233260928674e-08
Position 375: 1.2012813113207669e-08
Position 58: 9.482549058375249e-09
Position 379: 7.236128721743242e-09
Position 1967: 6.9456684024769534e-09
Position 1610: 6.724415125386884e-09
Position 1884: 3.5139598416178956e-09
Position 568: 2.1150921331059492e-09
Position 597: 8.217008400592513e-10
Position 1006: 4.672411362646299e-10
Position 1929: 1.722298947148927e-10
Position 345: 1.688957727582432e-10
Position 511: 7.483546298192141e-11
