Gene = Kaz1-ORFB
index = 1242
Annotated 5SS: [818]
Annotated 3SS: [865]
SMsplice 5SS: [532]
SMsplice 3SS: [594]
Partition function (log Z): -7.766553304803087

Sorted 5' Splice Sites (High to Low Probability):
Position 532: 0.2609880791550083
Position 257: 0.24487746845891
Position 536: 0.23538749066270626
Position 540: 0.1323661809684454
Position 818: 0.1253569656531059
Position 485: 0.09582408041841745
Position 205: 0.05710109699431699
Position 1151: 0.0377916306257737
Position 442: 0.021464482748706368
Position 498: 0.014571335650242944
Position 370: 0.006336844664107054
Position 760: 0.0035458656443486955
Position 82: 0.0032048101036958048
Position 701: 0.0019041110622319668
Position 252: 0.0012673960783554606
Position 246: 0.0010752657148765828
Position 1198: 0.000810495237921472
Position 261: 0.0005322158459726186
Position 1301: 0.0004085852247024435
Position 194: 0.00034408045184681346
Position 824: 0.0003019817065211441
Position 516: 0.0002330794589416975
Position 326: 0.00022301882697073068
Position 1297: 0.00018307608085221317
Position 1241: 0.00018160319047720312
Position 415: 0.00016423134680032918
Position 329: 0.00016288958335791814
Position 400: 0.0001568992532299208
Position 544: 0.00013592075162915327
Position 321: 8.373693684203087e-05
Position 489: 7.754655787818895e-05
Position 1155: 7.337308093471431e-05
Position 753: 6.486308696774089e-05
Position 1122: 4.7113807310413874e-05
Position 16: 4.6133390195445636e-05
Position 30: 4.557524803707577e-05
Position 378: 3.9143665976577326e-05
Position 827: 3.826836756295638e-05
Position 602: 3.1515702137169165e-05
Position 177: 2.3951499571127665e-05
Position 33: 2.239216972151913e-05
Position 197: 2.1952440599218415e-05
Position 1099: 1.5195531092055082e-05
Position 284: 1.1607932667186038e-05
Position 469: 1.0095897751672773e-05
Position 673: 9.641139896724425e-06
Position 345: 7.943530954931707e-06
Position 734: 7.405115416322982e-06
Position 936: 7.18098333040919e-06
Position 1202: 7.091787892418434e-06
Position 989: 7.017850881504035e-06
Position 1313: 6.160947763497278e-06
Position 1091: 5.652659670624119e-06
Position 692: 5.349555660178423e-06
Position 446: 5.252843513862167e-06
Position 86: 5.181652387967992e-06
Position 1071: 4.1260620232812354e-06
Position 135: 3.876027309851678e-06
Position 564: 3.5750207766884257e-06
Position 300: 3.208657542794536e-06
Position 649: 3.1200979783674616e-06
Position 872: 3.0562375476847626e-06
Position 608: 2.983291416554426e-06
Position 726: 2.6756007786543333e-06
Position 187: 1.3782232174957252e-06
Position 865: 7.639511570557846e-07
Position 587: 7.573553055517304e-07
Position 1168: 4.973251055522792e-07
Position 1267: 4.93847246215047e-07
Position 915: 3.18868859665476e-07
Position 1336: 3.1005602841549275e-07
Position 1257: 2.693846049549064e-07
Position 1287: 1.968969417520174e-07
Position 600: 1.4906028521686507e-07
Position 903: 7.032339740424503e-08
Position 1023: 5.324117501336787e-08
Position 1295: 4.588473316145285e-08
Position 24: 1.7813266327521883e-08
Position 1043: 5.3743460562297554e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 594: 0.9027726234318754
Position 871: 0.14807097522483786
Position 442: 0.07609616874334937
Position 649: 0.021548319713862226
Position 1229: 0.02135057301255762
Position 704: 0.02000178927118054
Position 1399: 0.009887539724050194
Position 284: 0.008279813322404767
Position 1287: 0.006707212887031568
Position 291: 0.003205774596956196
Position 903: 0.002981589727992016
Position 412: 0.0025646411526545577
Position 915: 0.0024112138101359515
Position 135: 0.0022708334546146657
Position 865: 0.0019592626258076334
Position 723: 0.0018625069875557307
Position 497: 0.0015847941863226733
Position 420: 0.0013341039774822756
Position 1261: 0.001254871446844864
Position 1067: 0.0011119519720427299
Position 750: 0.0009547764347379456
Position 527: 0.0009402283553271921
Position 1267: 0.0009258124040392258
Position 1305: 0.0007831498991337598
Position 821: 0.0007782909299037969
Position 446: 0.0006086197171668086
Position 858: 0.000582393257091253
Position 140: 0.0005664618710947636
Position 1023: 0.0005514329479857362
Position 1179: 0.0004578530274815244
Position 1091: 0.0004533979735959237
Position 662: 0.00035026357954972604
Position 989: 0.00033939296587179313
Position 1240: 0.00026208335544658913
Position 489: 0.0002537478322966652
Position 763: 0.00020885189579694462
Position 257: 0.0001754406692790252
Position 424: 0.00016882798202283195
Position 681: 0.00016655607688166547
Position 1272: 0.00016461630126847235
Position 753: 0.00014767368503820966
Position 1354: 0.0001459071718725201
Position 673: 6.590970699076656e-05
Position 1122: 5.7233830933090386e-05
Position 1162: 3.958812861646161e-05
Position 378: 3.938479249264698e-05
Position 923: 3.592484684215208e-05
Position 246: 2.9530894381917594e-05
Position 125: 2.286986313130189e-05
Position 261: 2.2341846105805663e-05
Position 86: 1.8711526094460304e-05
Position 1249: 1.3231773730590849e-05
Position 68: 1.2858390363622357e-05
Position 844: 1.1721226909037978e-05
Position 458: 8.53843726972021e-06
Position 102: 8.218322017934207e-06
Position 769: 7.178903395216445e-06
Position 197: 6.719441497769342e-06
Position 370: 6.333496982324242e-06
Position 1071: 2.7133846920910295e-06
Position 839: 2.406721566971149e-06
Position 1151: 2.0752199624217418e-06
Position 656: 1.1905253450180264e-06
Position 177: 1.0563288348850187e-06
Position 941: 5.661357138282338e-07
Position 774: 5.482382554951976e-07
Position 224: 2.7702304823009424e-07
Position 194: 6.885321523384937e-09
Position 1155: 5.317973430065691e-11
Position 209: 1.4540452939358184e-14
