Gene = mRpS35
index = 1781
Annotated 5SS: [232]
Annotated 3SS: [294]
SMsplice 5SS: [232]
SMsplice 3SS: [294]
Partition function (log Z): -8.834328169270082

Sorted 5' Splice Sites (High to Low Probability):
Position 232: 0.9925159432718397
Position 42: 0.007688201961547502
Position 21: 0.007324860831413166
Position 792: 0.0013490241404890645
Position 84: 0.0010816707749603642
Position 36: 0.0010422099970641306
Position 351: 0.0003753921676198083
Position 178: 0.0002974158853682062
Position 396: 0.0002678423827708922
Position 73: 0.00019651653774627978
Position 433: 0.00014442921295530558
Position 244: 7.439422391356508e-05
Position 509: 3.215831927146399e-05
Position 619: 2.7095365641013575e-05
Position 688: 2.669902921151211e-05
Position 663: 2.354337258784266e-05
Position 25: 1.9975569195925898e-05
Position 755: 1.1113177534286715e-05
Position 976: 6.747246337871689e-06
Position 638: 5.599246545764594e-06
Position 990: 5.529359144417228e-06
Position 451: 5.2960051452423684e-06
Position 571: 3.319767043383324e-06
Position 453: 3.264254642881205e-06
Position 184: 3.0178911908280174e-06
Position 960: 2.7742203566011945e-06
Position 926: 2.598596875488525e-06
Position 881: 2.400493394375317e-06
Position 503: 2.277906856693856e-06
Position 779: 1.8750522349453267e-06
Position 723: 1.7975953081225276e-06
Position 261: 1.6853373047493184e-06
Position 321: 1.3210067314840913e-06
Position 1041: 1.3023658516544877e-06
Position 355: 9.179326384690759e-07
Position 596: 8.326357342152857e-07
Position 1131: 6.168292531648751e-07
Position 1030: 5.517563142384452e-07
Position 186: 4.998608521699717e-07
Position 437: 4.888393829383708e-07
Position 847: 4.594205539088968e-07
Position 121: 4.4029175016993453e-07
Position 1055: 4.39063165132666e-07
Position 1103: 4.1622796451542345e-07
Position 137: 2.868497305322864e-07
Position 968: 1.9895350091016505e-07
Position 417: 7.757945847716114e-08
Position 1071: 6.21959654041624e-08
Position 1044: 4.344120199142879e-08
Position 983: 3.969155517934776e-08
Position 825: 1.926112522021885e-08
Position 1142: 4.733766026929083e-09
Position 116: 2.796026270405942e-09
Position 303: 2.1199293585748606e-09
Position 834: 2.0593716951858177e-09
Position 915: 1.710533369122801e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 294: 0.9059704483270034
Position 310: 0.05138458163710346
Position 303: 0.02748570799116881
Position 121: 0.01319048809708986
Position 854: 0.0023907405639095563
Position 329: 0.0016062354657388118
Position 451: 0.0015123775214782357
Position 164: 0.001425360530121384
Position 740: 0.0012846441716970632
Position 332: 0.0009669402696464692
Position 83: 0.0008433768734223145
Position 755: 0.0006238350833954942
Position 772: 0.0005983796330501311
Position 703: 0.0003622843369849338
Position 200: 0.0003558620528726586
Position 73: 0.00033794212738345994
Position 575: 0.0002470503284280742
Position 92: 0.0002293408165928739
Position 350: 0.00021619889333869582
Position 473: 0.00020436451600956611
Position 983: 0.00014238494213770396
Position 326: 0.00012274487062509737
Position 617: 0.00010457555033318375
Position 1051: 0.00010342370277547531
Position 495: 9.081610571581e-05
Position 522: 8.841591288304098e-05
Position 860: 7.203093491293936e-05
Position 596: 5.378615424518858e-05
Position 662: 5.149739588763577e-05
Position 686: 5.029362314268982e-05
Position 143: 4.793948608606907e-05
Position 857: 4.738082158284092e-05
Position 812: 4.273542723878678e-05
Position 675: 4.133465996877329e-05
Position 426: 4.016960567373274e-05
Position 989: 2.954134401475347e-05
Position 338: 2.329987947287745e-05
Position 718: 1.7433266641459066e-05
Position 923: 1.6487749699720225e-05
Position 1157: 1.6087766699158524e-05
Position 524: 1.4668997995570217e-05
Position 206: 1.0906038345498408e-05
Position 630: 1.0064532487840409e-05
Position 1124: 9.648662042165738e-06
Position 404: 6.693298575588861e-06
Position 1055: 6.216553281364145e-06
Position 688: 5.896068569128081e-06
Position 1187: 5.876691870523983e-06
Position 341: 5.861501435837772e-06
Position 1092: 3.950309606053834e-06
Position 593: 3.54218284086605e-06
Position 959: 3.4009345545803464e-06
Position 1025: 3.3547796643896516e-06
Position 498: 3.0108745108023087e-06
Position 632: 2.582417192961244e-06
Position 1028: 2.3175904083721926e-06
Position 347: 2.171006230254666e-06
Position 779: 2.16945225631617e-06
Position 244: 1.8408931827452419e-06
Position 585: 1.585505332913835e-06
Position 974: 1.4875640702070492e-06
Position 1169: 1.4053646749074591e-06
Position 203: 1.2435816094037422e-06
Position 1041: 1.1266880836021856e-06
Position 533: 9.441979411841741e-07
Position 644: 8.247215490065647e-07
Position 1194: 6.69279485792344e-07
Position 175: 5.961676476400511e-07
Position 638: 5.529515498508228e-07
Position 1127: 5.267747372069457e-07
Position 492: 5.133248644956608e-07
Position 863: 3.99864630078022e-07
Position 509: 3.6771464560506297e-07
Position 626: 1.946217154056274e-07
Position 947: 1.590162409085653e-07
Position 1191: 1.1011269442228771e-07
Position 1103: 7.731053787647356e-08
Position 1136: 6.644677991729594e-08
Position 231: 6.015365436018551e-08
Position 713: 5.4512765799392976e-08
Position 1139: 6.3922578141804645e-09
Position 932: 4.20741774456105e-09
Position 1174: 3.988957519970132e-09
Position 1130: 2.005638507102205e-09
Position 1076: 1.217691073023346e-09
Position 1001: 2.417664582650205e-10
Position 213: 1.2552768003944678e-10
Position 221: 6.95108669394951e-13
