Gene = IntS14
index = 1233
Annotated 5SS: [638]
Annotated 3SS: [695]
SMsplice 5SS: [638]
SMsplice 3SS: [695]
Partition function (log Z): -8.417764892140768

Sorted 5' Splice Sites (High to Low Probability):
Position 638: 0.9921800995192673
Position 919: 0.026664054654707836
Position 1517: 0.012225618787091636
Position 1346: 0.009815550239167659
Position 986: 0.007645824796920144
Position 625: 0.0030024171399524037
Position 1360: 0.0029080843561426774
Position 1340: 0.00252645499472062
Position 851: 0.001792464239619514
Position 307: 0.0008654550461177008
Position 1291: 0.0008407773355955828
Position 418: 0.000583232423805854
Position 1090: 0.0004072280071408959
Position 328: 0.00033368011953836834
Position 668: 0.0003146809523561651
Position 1357: 0.0002927386565320336
Position 800: 0.00015787207712491088
Position 1350: 0.00015448109475537253
Position 1598: 0.00013734838989666674
Position 1439: 0.0001003354010300905
Position 1224: 7.666810550345603e-05
Position 601: 7.129395678717523e-05
Position 843: 7.05104079696744e-05
Position 280: 5.117927177752985e-05
Position 1189: 4.8010811588384425e-05
Position 1399: 3.1332533211518386e-05
Position 373: 2.5003554091752564e-05
Position 1856: 2.4579694992624946e-05
Position 1058: 2.1534665914865755e-05
Position 510: 1.4021990118117259e-05
Position 603: 1.3455058604091751e-05
Position 1801: 1.2370232581530009e-05
Position 1238: 8.808371316955129e-06
Position 931: 8.367479451446204e-06
Position 678: 7.304180357827222e-06
Position 1860: 6.545592406975073e-06
Position 893: 6.3496130824918525e-06
Position 1083: 5.788239457116022e-06
Position 1295: 4.238822733716371e-06
Position 376: 4.1787091635973046e-06
Position 393: 4.068067690343393e-06
Position 241: 4.0484970377415405e-06
Position 1046: 2.6717380602343374e-06
Position 498: 2.5925259003181804e-06
Position 1732: 1.7732325104852446e-06
Position 1556: 1.7180637815864673e-06
Position 988: 1.594050152570663e-06
Position 1247: 1.4811887513319224e-06
Position 1696: 1.1525700273153497e-06
Position 737: 1.0063178276392164e-06
Position 421: 1.0018370754166576e-06
Position 680: 9.61085804001264e-07
Position 819: 7.426551218911697e-07
Position 1553: 7.346218611906343e-07
Position 145: 6.312733672247393e-07
Position 1691: 5.410010847143585e-07
Position 319: 4.808722159006704e-07
Position 378: 4.2236840812724673e-07
Position 688: 3.8361025926492805e-07
Position 1521: 3.403887353182269e-07
Position 1582: 3.3012231347224143e-07
Position 990: 2.145504688566763e-07
Position 337: 1.8188695311054776e-07
Position 1509: 1.589745558754649e-07
Position 1841: 1.1099056803028165e-07
Position 424: 1.0342025831357768e-07
Position 174: 7.872160904247261e-08
Position 1551: 7.300217726235428e-08
Position 1035: 4.781654932242625e-08
Position 1558: 3.529056143977962e-08
Position 1831: 3.06354687780514e-08
