Gene = saturn
index = 1864
Annotated 5SS: [330]
Annotated 3SS: [388]
SMsplice 5SS: [330]
SMsplice 3SS: [388]
Partition function (log Z): -4.361699028242179

Sorted 5' Splice Sites (High to Low Probability):
Position 330: 0.9874763641345294
Position 150: 0.32984930314136673
Position 522: 0.32529014816508184
Position 32: 0.07458047110686987
Position 479: 0.03059207468486861
Position 47: 0.021368538241556014
Position 550: 0.00415796079705948
Position 258: 0.002587377955405595
Position 231: 0.0019128222935582016
Position 719: 0.0011189364922302321
Position 132: 0.00041718508552257306
Position 190: 0.00025182492064344624
Position 99: 0.0002430197311684616
Position 704: 0.0001555908982069954
Position 297: 0.00014302672325708018
Position 840: 0.00010341776575756943
Position 707: 7.979701409669226e-05
Position 430: 7.94294421238453e-05
Position 194: 6.17913511459365e-05
Position 51: 6.0521164527270475e-05
Position 164: 5.670160800394547e-05
Position 334: 5.517912921849636e-05
Position 434: 5.138991513472085e-05
Position 124: 5.010875056629974e-05
Position 815: 4.588164183545953e-05
Position 644: 3.8474162747113405e-05
Position 58: 3.430973695386105e-05
Position 671: 2.679931147216035e-05
Position 847: 1.8797513598318995e-05
Position 425: 1.7865860505788684e-05
Position 282: 1.2225082588539083e-05
Position 113: 1.1922446718715788e-05
Position 627: 5.8394627968748375e-06
Position 353: 5.333791812223559e-06
Position 423: 3.962254802509196e-06
Position 218: 2.417075103071355e-06
Position 389: 2.1780544657344685e-06
Position 358: 1.1906079532422265e-06
Position 273: 4.600837644589783e-07
Position 397: 3.090779208762784e-07
Position 409: 2.3355792586969793e-07
Position 821: 1.8394993986720707e-07
Position 377: 1.4606374653746973e-07
Position 382: 8.04757325940327e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 388: 0.9878262310968955
Position 207: 0.336499924997864
Position 578: 0.18277393060557945
Position 611: 0.17822504732686192
Position 81: 0.07226193428299107
Position 103: 0.007070564536664624
Position 128: 0.0031463138052820415
Position 99: 0.002993030592366137
Position 961: 0.0022805087484238443
Position 307: 0.0016346092901612676
Position 85: 0.0013193842277915066
Position 680: 0.0009723713146901705
Position 548: 0.000706502450302928
Position 932: 0.000534205327519332
Position 737: 0.0004478683200170808
Position 587: 0.00041445967212909153
Position 627: 0.0003778964114737882
Position 782: 0.00031277422850008033
Position 803: 0.00023037091819378249
Position 831: 0.00019215689855042278
Position 796: 0.0001638005561742753
Position 241: 0.00012047495694524872
Position 638: 0.00011363966942401983
Position 717: 9.825238141816362e-05
Position 155: 6.0205277828815005e-05
Position 898: 4.5474441813138055e-05
Position 707: 2.4721379417524613e-05
Position 653: 2.2766029468595185e-05
Position 519: 1.8112155784307948e-05
Position 644: 1.7489455595693775e-05
Position 442: 1.5388239077276082e-05
Position 742: 1.008320237185126e-05
Position 430: 8.108744024344138e-06
Position 490: 7.609164650660129e-06
Position 132: 5.106429398570087e-06
Position 500: 3.2375681626465644e-06
Position 698: 3.0450504437387654e-06
Position 650: 2.7180196721369604e-06
Position 550: 2.097389380884546e-06
Position 522: 1.5624410691640248e-06
Position 375: 1.513063441730925e-06
Position 340: 1.4304032797286068e-06
Position 758: 1.3767492662480984e-06
Position 409: 5.899849224801073e-07
Position 464: 5.09868821835993e-07
Position 769: 4.76891608235937e-07
Position 886: 4.661439137868183e-07
Position 403: 4.2678359278680554e-07
Position 364: 2.4858722329429923e-07
Position 361: 1.6776900079749772e-07
Position 752: 1.6266116064873295e-07
Position 334: 5.6472515265561134e-08
Position 358: 3.072649818010533e-08
Position 763: 2.978793654206584e-08
Position 461: 2.6809429133109507e-08
Position 880: 1.4442036472299129e-08
Position 417: 8.775517972645842e-09
Position 695: 4.768035230042385e-09
Position 667: 3.5437293858014463e-12
