Gene = mRpS31
index = 1780
Annotated 5SS: [135 655]
Annotated 3SS: [198 720]
SMsplice 5SS: [135 655]
SMsplice 3SS: [198 720]
Partition function (log Z): -1.1139407025794312

Sorted 5' Splice Sites (High to Low Probability):
Position 655: 0.9851778617781674
Position 135: 0.953046280552185
Position 659: 0.008078092764999654
Position 1344: 0.006335512215436836
Position 927: 0.00263610943408813
Position 633: 0.0022180524551832902
Position 790: 0.0021584919950241523
Position 10: 0.0010337212752082512
Position 57: 0.0004686756601168057
Position 907: 0.0004472168574240576
Position 106: 0.0004437923089978248
Position 33: 0.0003989055835840493
Position 69: 0.0003530771371258353
Position 990: 0.0003216195552092414
Position 510: 0.00029178809910993236
Position 1073: 0.00010010205689143235
Position 411: 6.708798124072271e-05
Position 355: 4.177165214760971e-05
Position 794: 3.972410493576049e-05
Position 657: 3.355347293685071e-05
Position 36: 3.074615199436206e-05
Position 99: 3.0539805909319856e-05
Position 899: 2.997208350243223e-05
Position 113: 2.9308897296628422e-05
Position 198: 2.2443206164502565e-05
Position 146: 2.135192728048734e-05
Position 770: 1.588271324832279e-05
Position 467: 1.0400419282948029e-05
Position 535: 9.646600855784781e-06
Position 922: 8.320202193194284e-06
Position 211: 7.904309825968731e-06
Position 853: 7.257079654028196e-06
Position 227: 5.181300448358192e-06
Position 1359: 4.1709778561081285e-06
Position 1173: 1.3012112566426976e-06
Position 175: 1.1819954513301821e-06
Position 1049: 9.958285322081192e-07
Position 236: 9.664107018718143e-07
Position 614: 7.949820594568505e-07
Position 1124: 7.923268800603087e-07
Position 1005: 7.698781516186417e-07
Position 1276: 7.543581951000112e-07
Position 1217: 5.67731684733339e-07
Position 897: 5.598366434312912e-07
Position 1171: 5.092028103208195e-07
Position 1281: 3.366520060525797e-07
Position 323: 3.101861822179793e-07
Position 1225: 1.628623585184561e-07
Position 405: 1.5583224807310311e-07
Position 1211: 1.494769090406272e-07
Position 574: 8.340881709694172e-08
Position 753: 7.227184297097104e-08
Position 979: 2.3692144948105502e-08
Position 256: 1.45477061295074e-08
Position 750: 7.839113542874233e-09
Position 731: 6.001907420609527e-09
Position 1054: 5.731102727428604e-09
Position 1075: 1.6682129092881481e-09
Position 720: 3.3054529857105734e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 720: 0.9899159995152013
Position 198: 0.8710610009079525
Position 256: 0.08371673733360958
Position 1403: 0.0066132062711797114
Position 742: 0.004613771854305891
Position 985: 0.0036410006572345577
Position 937: 0.0010315170189888448
Position 69: 0.0008768835186908749
Position 760: 0.0005620034079227401
Position 1294: 0.0003453804945568743
Position 1102: 0.00028770556062599156
Position 757: 0.0002830026630571572
Position 587: 0.00013595516172198468
Position 1252: 0.00011653275271487044
Position 897: 0.00010768206801946966
Position 946: 8.14258157756179e-05
Position 423: 5.9838371845762486e-05
Position 298: 5.488721603253136e-05
Position 168: 5.30344305956586e-05
Position 1179: 4.331856007099014e-05
Position 570: 4.0614151058148847e-05
Position 370: 4.017600894466206e-05
Position 816: 3.755088803739086e-05
Position 584: 3.2041518959796686e-05
Position 859: 2.7049335582830548e-05
Position 1231: 2.4486169079221743e-05
Position 1072: 2.2908421897862144e-05
Position 484: 1.5690737693568517e-05
Position 1042: 1.4516410008893854e-05
Position 850: 1.1430406160188975e-05
Position 310: 8.270229879182613e-06
Position 526: 8.15990802835999e-06
Position 1069: 5.148761735735916e-06
Position 1258: 4.978966076655443e-06
Position 510: 4.400606650102883e-06
Position 495: 3.5581866681240768e-06
Position 84: 3.3546823676714544e-06
Position 313: 3.2693071300051385e-06
Position 307: 2.930469528831093e-06
Position 766: 2.758844267056161e-06
Position 1005: 2.7327980226600226e-06
Position 1165: 2.3605876120853935e-06
Position 529: 2.164364450030341e-06
Position 120: 1.9376853361879306e-06
Position 1255: 1.4597353406415625e-06
Position 382: 1.3637546825036141e-06
Position 113: 1.3571806529601322e-06
Position 1261: 1.173885591397451e-06
Position 861: 1.066215958544506e-06
Position 1207: 8.985966688523506e-07
Position 138: 6.665947401424352e-07
Position 829: 5.718875926696347e-07
Position 1013: 4.2848441849572357e-07
Position 1326: 3.655921842264825e-07
Position 769: 3.544652187938098e-07
Position 514: 3.416992784024095e-07
Position 1183: 2.1936480347918857e-07
Position 1300: 1.8088507915590334e-07
Position 990: 1.688024960915947e-07
Position 1111: 1.4548582806171376e-07
Position 778: 1.4178978570862844e-07
Position 640: 1.3162595458090614e-07
Position 1303: 1.2846972495183185e-07
Position 340: 9.672118074796113e-08
Position 463: 8.46464571746791e-08
Position 316: 7.314877039168667e-08
Position 823: 5.977578447264778e-08
Position 604: 5.510863042077913e-08
Position 427: 3.735889173527768e-08
Position 836: 3.3849195402740906e-08
Position 448: 2.719512929285664e-08
Position 523: 2.08075138057713e-08
Position 1099: 1.790953953354165e-08
Position 533: 7.926603039253177e-09
Position 875: 7.573165412422075e-09
Position 1330: 6.608975494026999e-09
Position 122: 5.660717688532059e-09
Position 1117: 4.505523162647728e-09
Position 442: 2.2244858248898017e-09
Position 1338: 2.0795036739138205e-09
Position 541: 1.2860518849924428e-09
Position 775: 1.1756008168324677e-09
Position 790: 1.0652551209855775e-09
Position 574: 1.0482417123432086e-09
Position 1000: 5.010724670763999e-10
Position 1333: 4.4601398369430146e-10
Position 1344: 2.514026038339978e-10
Position 455: 2.1468707185707175e-10
Position 877: 1.1931621932238928e-10
Position 451: 5.522813277447241e-11
Position 1314: 4.806130543831296e-11
Position 535: 1.4539179605704905e-11
Position 654: 6.65158274706902e-12
Position 432: 1.9106529029116844e-12
Position 994: 1.7211164533062324e-12
Position 596: 1.2704877206635843e-12
Position 436: 6.118167148967372e-13
Position 516: 7.506763281741259e-15
