Gene = Gr33a
index = 1197
Annotated 5SS: [  95  596 1146 2098]
Annotated 3SS: [ 158  737 1631 2156]
SMsplice 5SS: [  95  596 1146 2098]
SMsplice 3SS: [ 158  737 1631 2156]
Partition function (log Z): 3.2557163834066634

Sorted 5' Splice Sites (High to Low Probability):
Position 2098: 0.9944043040983117
Position 596: 0.9177099169762061
Position 95: 0.8374822850319673
Position 1146: 0.7911944955334084
Position 812: 0.37899395817233206
Position 1531: 0.06270830094856153
Position 495: 0.021826088137067153
Position 600: 0.021344526231543613
Position 1196: 0.017797547271231198
Position 50: 0.016913069806728572
Position 489: 0.015952821154586818
Position 1842: 0.014917185235871917
Position 1352: 0.007728951727963741
Position 1559: 0.0027662694497667733
Position 1756: 0.002546969492013296
Position 1725: 0.0025320775874579744
Position 579: 0.0024073908717468897
Position 116: 0.002332980683223566
Position 590: 0.0011548715983027526
Position 504: 0.001110016178167086
Position 1213: 0.0010823205943816055
Position 1846: 0.0007471591697905425
Position 1208: 0.0006360728136336196
Position 1176: 0.0006019021519880322
Position 1789: 0.00045296083109618436
Position 17: 0.00039730475499538356
Position 85: 0.0003388102330602817
Position 1361: 0.0002731095454187327
Position 227: 0.0002571395637131154
Position 1349: 0.0002513614451875276
Position 30: 0.00022667806765133087
Position 1395: 0.00018096295748468264
Position 961: 0.00017504927338855765
Position 514: 0.0001419006445059887
Position 318: 0.00012423853631209254
Position 1801: 0.00011930194282196347
Position 316: 0.00010114817037275894
Position 249: 8.423806845058919e-05
Position 1873: 8.297974129940651e-05
Position 552: 8.245253399006404e-05
Position 1409: 8.111002980073367e-05
Position 234: 6.261603343897189e-05
Position 1020: 6.094154236945215e-05
Position 1609: 4.760083401615676e-05
Position 1512: 4.1020654572525154e-05
Position 1729: 3.36056998344508e-05
Position 2102: 3.35087419250193e-05
Position 1974: 3.295882186491125e-05
Position 1217: 3.116285912766811e-05
Position 1885: 2.876087814325809e-05
Position 921: 2.3628531881167305e-05
Position 43: 2.1127425156609303e-05
Position 2160: 2.0389845719738866e-05
Position 1696: 1.9055625133764147e-05
Position 125: 1.826787054669215e-05
Position 835: 1.7969444649880657e-05
Position 976: 1.6738349697719635e-05
Position 159: 1.4657093185116308e-05
Position 2059: 1.4144063902465835e-05
Position 831: 1.3805552667976732e-05
Position 1713: 1.2636697329431902e-05
Position 919: 1.253136225447428e-05
Position 1220: 1.1936685375855357e-05
Position 2039: 1.1483306143592483e-05
Position 471: 1.0998640215760076e-05
Position 640: 9.271812225800177e-06
Position 386: 8.733898829045814e-06
Position 701: 7.588631171871256e-06
Position 419: 7.1861177235736214e-06
Position 1939: 7.179827845196178e-06
Position 1501: 7.178095839844251e-06
Position 295: 6.242154263127194e-06
Position 1814: 6.1915082145693504e-06
Position 3: 6.144460042392056e-06
Position 1318: 5.909869447929655e-06
Position 407: 5.592699397033567e-06
Position 816: 5.345838603627647e-06
Position 607: 4.3171090431196235e-06
Position 772: 3.880373799398483e-06
Position 1363: 3.610394431136536e-06
Position 2110: 3.308648277122936e-06
Position 1623: 3.0705651153378116e-06
Position 2067: 2.843325599863768e-06
Position 1753: 2.8126590125690102e-06
Position 2007: 2.4171723282755567e-06
Position 1727: 2.089243793036837e-06
Position 450: 1.6951465832781868e-06
Position 1295: 1.3473350581105854e-06
Position 516: 1.1647325270073044e-06
Position 1487: 7.469624560419542e-07
Position 1272: 5.240375933916149e-07
Position 779: 5.018323199563595e-07
Position 765: 3.4440639582921434e-07
Position 2022: 3.221375538233446e-07
Position 829: 2.838433746072021e-07
Position 2246: 2.151119905343861e-07
Position 1293: 1.5659981959362397e-07
Position 774: 1.2363278388587662e-07
Position 2237: 1.0653901626812977e-07
Position 1989: 9.384707351913979e-08
Position 704: 5.286241100472561e-08
Position 2198: 3.135658333795147e-08
Position 2122: 2.8958920809409907e-08
Position 731: 1.3396301131458223e-08
Position 2252: 1.2328022899747196e-08
Position 2164: 1.192843674788871e-08
Position 2145: 2.6789014854727294e-09
Position 726: 5.345353520829683e-10
Position 2187: 1.557950759264808e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2156: 0.9938794514937065
Position 1631: 0.9302827074676804
Position 737: 0.9211242618952665
Position 158: 0.8302056497234698
Position 879: 0.19549784896799596
Position 858: 0.056990646518744865
Position 704: 0.038475746586096926
Position 1668: 0.0169167497202574
Position 2022: 0.01612881779798286
Position 1657: 0.016089252180967264
Position 1279: 0.014831273940240542
Position 1276: 0.01259813361254001
Position 188: 0.012367407787109524
Position 1225: 0.006776439973287016
Position 717: 0.005841768471887593
Position 800: 0.0039656826150544005
Position 165: 0.003579117917017456
Position 989: 0.003256335627333579
Position 450: 0.003032255823491666
Position 1645: 0.0025600502526762587
Position 779: 0.002555247539627554
Position 846: 0.002533201554789876
Position 1587: 0.0022925878410290567
Position 2198: 0.002245066127682528
Position 1959: 0.002240108899125017
Position 277: 0.002210892139661246
Position 876: 0.001639962564128848
Position 933: 0.0016219050711860313
Position 2007: 0.0015931756877668934
Position 1020: 0.001589467933499356
Position 419: 0.0014011941773141362
Position 1788: 0.00137487306620516
Position 1330: 0.0012790136469062882
Position 1318: 0.001278336656853771
Position 1694: 0.0012761554649876247
Position 1782: 0.000978399049415459
Position 316: 0.0008839243543323951
Position 888: 0.0008388984134812445
Position 1885: 0.00083114732197068
Position 1477: 0.0008255054526229116
Position 404: 0.0007207008453096605
Position 939: 0.0004961898020499565
Position 2037: 0.0004945111829737609
Position 1812: 0.0003883381628434708
Position 458: 0.0003812610689451584
Position 1725: 0.00021903192076373147
Position 1947: 0.0002171625297507758
Position 1085: 0.00018336641440736955
Position 326: 0.00018027013929984502
Position 2169: 0.00017620830348012646
Position 1389: 0.000133813942878575
Position 891: 0.00012028923966609232
Position 106: 0.00011934707350850077
Position 1373: 0.00011333580561836473
Position 1530: 0.00010883509882624848
Position 2141: 8.903716216987369e-05
Position 1044: 8.641728536710615e-05
Position 1038: 8.619915537025272e-05
Position 1395: 7.229098222525979e-05
Position 1713: 7.054081414767156e-05
Position 1361: 6.984404105267832e-05
Position 1349: 6.929080646179609e-05
Position 810: 6.840956557119048e-05
Position 855: 5.645644830744336e-05
Position 2282: 5.4107881439700955e-05
Position 583: 5.074758613378919e-05
Position 1856: 4.278781453509467e-05
Position 334: 3.167405415575801e-05
Position 948: 3.12243027812921e-05
Position 514: 2.8565332078213593e-05
Position 1014: 2.814215984963417e-05
Position 416: 1.7361359699203655e-05
Position 1814: 1.644874939902261e-05
Position 1293: 1.1282042570135767e-05
Position 1358: 1.0252951540921773e-05
Position 1059: 1.0035160520972058e-05
Position 2164: 9.079378788495974e-06
Position 957: 8.858042326846374e-06
Position 467: 8.463309312558255e-06
Position 951: 8.422643632763233e-06
Position 623: 3.2605901769897035e-06
Position 2108: 2.6365825485893563e-06
Position 1000: 1.7680226265798897e-06
Position 2246: 1.6495210538803479e-06
Position 2350: 1.1559202572706564e-06
Position 407: 1.122743115260828e-06
Position 630: 7.106525103663145e-07
Position 2122: 5.00820510299388e-07
Position 2102: 3.8948307598364565e-07
Position 331: 2.925241133003713e-07
Position 1047: 2.6332191427846506e-07
Position 816: 2.630810617339273e-07
Position 1979: 2.560513524818233e-07
Position 2307: 2.0906954656197656e-07
Position 2300: 1.745980642741404e-07
Position 1159: 1.5817560278850134e-07
Position 60: 1.1934769340547998e-07
Position 2319: 7.954041403498048e-08
Position 494: 7.090144046766786e-08
Position 2228: 3.0315341529252844e-08
Position 488: 2.909350356384862e-08
Position 1101: 2.9020150189546627e-08
Position 1150: 2.4559908941287564e-08
Position 600: 2.8665540030764946e-09
Position 1340: 2.508690156465266e-09
Position 46: 2.2504070352309567e-09
Position 2143: 1.6411397017564098e-09
Position 2110: 1.46219058006655e-09
Position 430: 8.518060208601536e-10
Position 1095: 7.998523332635844e-10
Position 935: 3.091089856833866e-10
Position 50: 6.287829986154296e-11
Position 1760: 6.467303766909776e-13
