Gene = Kr-h2
index = 1246
Annotated 5SS: [ 198 1687 1994 2184]
Annotated 3SS: [1423 1743 2049 2246]
SMsplice 5SS: [ 198 1687 1994 2184]
SMsplice 3SS: [1423 1743 2049 2246]
Partition function (log Z): 9.5529275709121

Sorted 5' Splice Sites (High to Low Probability):
Position 2184: 0.9992213311331213
Position 1687: 0.9983087955026513
Position 1994: 0.9905549607874145
Position 198: 0.9348054766145406
Position 990: 0.05494369511150749
Position 739: 0.03986720440279994
Position 1136: 0.03294306846123687
Position 2421: 0.02821390061321588
Position 191: 0.023533057319627706
Position 1326: 0.01695796642473788
Position 635: 0.015109411174240214
Position 756: 0.013959018087205021
Position 1280: 0.01289215605627835
Position 2469: 0.011526024630939718
Position 2629: 0.007907876816153864
Position 774: 0.007001643408859584
Position 750: 0.004998507212820516
Position 36: 0.004388963956629067
Position 1069: 0.004334164329986685
Position 494: 0.0037059777150926097
Position 617: 0.003142457988593981
Position 2040: 0.002775822070445081
Position 838: 0.002512336703071767
Position 215: 0.001879086359753676
Position 484: 0.0010474165606271528
Position 40: 0.0009413093735247186
Position 1224: 0.000891600271537559
Position 351: 0.0008263177158028238
Position 656: 0.0008223787920979885
Position 202: 0.0007050450081942061
Position 541: 0.0006573115204813707
Position 489: 0.000656603894314988
Position 1200: 0.0005691168819166755
Position 1063: 0.0005665434237645745
Position 1312: 0.00048605174572472545
Position 1691: 0.0004519734840438556
Position 326: 0.00042396928678442233
Position 2590: 0.0004041219180924274
Position 258: 0.0003882928182119956
Position 996: 0.0003473394967386003
Position 115: 0.00029560600221822345
Position 2573: 0.0002862329203541993
Position 1948: 0.00027346029207492496
Position 2632: 0.0002693263703247833
Position 1769: 0.0002688493659352626
Position 1888: 0.0002436098557880294
Position 23: 0.0002336949388847892
Position 338: 0.00022029266669008126
Position 779: 0.0002180934594369259
Position 886: 0.00020049488021880557
Position 1059: 0.00017703763111067016
Position 8: 0.00016332035471152984
Position 310: 0.00015141289265445146
Position 479: 0.00014833027878509035
Position 1140: 0.0001405239681719997
Position 627: 0.00014047313599659095
Position 1167: 0.0001269263300337146
Position 1574: 0.00012141777436550222
Position 862: 0.0001005231190832343
Position 842: 0.00010036210342381347
Position 2604: 9.326012026096988e-05
Position 381: 8.552702020905666e-05
Position 177: 8.542648389615624e-05
Position 869: 7.87150694438407e-05
Position 940: 7.26558503270035e-05
Position 2581: 6.413378831521507e-05
Position 919: 5.67598234295288e-05
Position 1661: 5.6499680546689466e-05
Position 1928: 5.540280050449093e-05
Position 568: 5.223892045732063e-05
Position 2351: 5.1324026354643435e-05
Position 844: 4.812664995028684e-05
Position 539: 4.790835044717152e-05
Position 2026: 4.7573028981460115e-05
Position 1670: 4.590846557996633e-05
Position 2293: 4.174519291494947e-05
Position 1858: 4.108692278257142e-05
Position 1386: 3.430025126471027e-05
Position 466: 3.304008473967035e-05
Position 1175: 3.210527113199503e-05
Position 418: 3.1858070787022815e-05
Position 1077: 3.0209271859297923e-05
Position 860: 2.8801140702676172e-05
Position 1836: 2.8340025099152628e-05
Position 1129: 2.4994595132760233e-05
Position 2554: 2.424536757333751e-05
Position 84: 1.991762086395921e-05
Position 2425: 1.965349741592535e-05
Position 2538: 1.7063784085215157e-05
Position 2877: 1.5921427052239334e-05
Position 1039: 1.575141556610163e-05
Position 1245: 1.408954550982406e-05
Position 1227: 1.3217802486356955e-05
Position 1232: 1.2987196249196467e-05
Position 2188: 1.195682554764104e-05
Position 819: 9.98067594684761e-06
Position 140: 9.829527502148258e-06
Position 472: 9.798195316425499e-06
Position 1825: 9.704745426953313e-06
Position 2170: 9.21041831804736e-06
Position 2408: 7.45387323612381e-06
Position 1803: 7.359300134335612e-06
Position 312: 6.5954519539731065e-06
Position 44: 4.991865095489027e-06
Position 669: 4.969666184816997e-06
Position 935: 4.654101016317461e-06
Position 1646: 4.498995067659199e-06
Position 1843: 3.821327676009918e-06
Position 1955: 3.6805986940675857e-06
Position 722: 3.6781773396533613e-06
Position 1940: 3.6032333023588806e-06
Position 233: 3.2961450689128945e-06
Position 1875: 3.1482182131409553e-06
Position 152: 3.133502703802785e-06
Position 2881: 3.133288855511655e-06
Position 288: 2.935501929872571e-06
Position 1123: 2.4370297339272303e-06
Position 2773: 2.321493662200056e-06
Position 2272: 1.5535126837834921e-06
Position 34: 1.5397512274125784e-06
Position 1699: 1.5287049345744713e-06
Position 291: 1.2444549489678645e-06
Position 559: 9.826312949488028e-07
Position 901: 9.7081143168642e-07
Position 2070: 7.398433222112815e-07
Position 2647: 6.331906942143773e-07
Position 893: 5.338009403588321e-07
Position 1638: 5.305230050257581e-07
Position 1831: 5.256146512577429e-07
Position 684: 4.0340653087925143e-07
Position 1873: 2.9953495692331373e-07
Position 2902: 2.843335256294883e-07
Position 2815: 2.397617499164188e-07
Position 1025: 2.1204354216388843e-07
Position 2908: 1.7728301255694203e-07
Position 2067: 1.3077163539683597e-07
Position 2098: 1.1767629570360367e-07
Position 828: 9.333421894363008e-08
Position 2912: 6.324547902755386e-08
Position 2075: 6.149202040827828e-08
Position 73: 3.19527867919546e-08
Position 2685: 2.2018008346795027e-08
Position 2081: 1.592366210429056e-08
Position 2834: 8.865662626601873e-09
