Gene = cype
index = 1662
Annotated 5SS: [ 60 450]
Annotated 3SS: [275 516]
SMsplice 5SS: [ 60 450]
SMsplice 3SS: [275 516]
Partition function (log Z): -3.137518960194355

Sorted 5' Splice Sites (High to Low Probability):
Position 450: 0.9858367174598448
Position 60: 0.7980775997822456
Position 124: 0.06869816530144178
Position 76: 0.010908039709533926
Position 227: 0.0048209392211400835
Position 385: 0.00158087356066486
Position 603: 0.0012726320634482502
Position 96: 0.0006532562850475189
Position 64: 0.0005730279726965866
Position 186: 0.0005444493450587178
Position 677: 0.00042502111183462916
Position 25: 0.00036124289591490916
Position 647: 0.00035506838855071823
Position 105: 0.0002797544839276047
Position 409: 0.0002600537293631082
Position 606: 0.00018943953643108942
Position 636: 0.0001843057354625856
Position 196: 0.00013068243044628058
Position 382: 7.266727375744697e-05
Position 612: 3.898009341382327e-05
Position 625: 1.3016877197072206e-05
Position 18: 1.2726880232352219e-05
Position 143: 1.0643687520510876e-05
Position 361: 1.0544199996950912e-05
Position 622: 9.552573888296225e-06
Position 586: 8.205426514417878e-06
Position 520: 7.997813164675025e-06
Position 564: 6.655109820269718e-06
Position 561: 3.676762332724332e-06
Position 256: 6.705408474663802e-07
Position 571: 4.946147642281706e-07
Position 671: 2.0019191943569423e-07
Position 681: 1.1757718655394105e-07
Position 535: 1.0482471969649026e-07
Position 316: 1.1325452471827154e-08
Position 323: 2.9167182716521462e-09
Position 495: 1.1751551141746933e-09
Position 480: 6.343751940596888e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 516: 0.9900719249607507
Position 275: 0.8777790315124523
Position 143: 0.001762327660608394
Position 295: 0.001597473817272167
Position 664: 0.0012976099284476438
Position 207: 0.0007484296780165849
Position 704: 0.0006847743844491412
Position 348: 0.00035150030114071326
Position 729: 0.00027097264752567405
Position 723: 0.00020718942831568442
Position 124: 0.00019676367467042497
Position 671: 8.826718452618008e-05
Position 186: 8.617522030691023e-05
Position 238: 8.057493719833401e-05
Position 102: 7.202437187090289e-05
Position 459: 2.0419482294381812e-05
Position 628: 1.2382490282971517e-05
Position 520: 1.1310827858606247e-05
Position 580: 1.7858347546699382e-06
Position 690: 1.465424159673792e-06
Position 571: 8.263499337377685e-07
Position 423: 6.897593419929862e-07
Position 606: 6.071729046945954e-07
Position 426: 5.931480063808697e-07
Position 176: 5.407460972945571e-07
Position 535: 5.185994292164245e-07
Position 553: 4.422776216923975e-07
Position 603: 4.2093457808226615e-07
Position 75: 3.358718377977832e-07
Position 634: 1.4842222451110293e-07
Position 612: 5.7193423073077715e-09
Position 706: 5.195090567118222e-09
Position 636: 7.253507087007343e-10
Position 544: 5.698032586767677e-10
Position 218: 2.4180065169452005e-10
Position 64: 1.1763748737837168e-11
