Gene = G6P
index = 1173
Annotated 5SS: [ 157  381  954 1123]
Annotated 3SS: [ 215  454 1003 1170]
SMsplice 5SS: [ 381  954 1123]
SMsplice 3SS: [ 454 1003 1170]
Partition function (log Z): 0.670125065785597

Sorted 5' Splice Sites (High to Low Probability):
Position 954: 0.9913102440902045
Position 381: 0.9324441547574086
Position 1123: 0.8158579177171248
Position 157: 0.45969149439103313
Position 1333: 0.18425823102812575
Position 1322: 0.011832899510501019
Position 183: 0.007395720638364768
Position 945: 0.004074225670388183
Position 385: 0.0026883117862804297
Position 941: 0.0023026732673988954
Position 800: 0.0011714725483957665
Position 1225: 0.0006221413334884086
Position 724: 0.0005713477534601585
Position 1307: 0.00032500273312287156
Position 302: 0.00030415627181639484
Position 720: 0.00029672641577921496
Position 1255: 0.0002330984622830073
Position 958: 0.00014372618814438925
Position 1277: 0.000128771111866989
Position 1269: 0.00012816336317892656
Position 1264: 0.0001171608545993412
Position 1127: 0.00010600794528488643
Position 571: 8.910553870489381e-05
Position 1337: 8.18689983615189e-05
Position 1294: 6.925825972246251e-05
Position 695: 6.157072363551389e-05
Position 608: 4.4315788769902677e-05
Position 1046: 3.068670068591923e-05
Position 896: 2.793314662961152e-05
Position 299: 2.3438425838380808e-05
Position 253: 2.300248376684194e-05
Position 606: 1.8334128263406946e-05
Position 1217: 1.6462543503037155e-05
Position 902: 1.6168853297858328e-05
Position 398: 1.2675572915607426e-05
Position 717: 1.0384846557953423e-05
Position 1015: 9.456798837749709e-06
Position 825: 8.322252196942132e-06
Position 784: 6.986005102709673e-06
Position 909: 6.8347135763494994e-06
Position 516: 6.573107619645721e-06
Position 510: 6.289552784945206e-06
Position 1067: 6.027166159535063e-06
Position 42: 5.422546442203441e-06
Position 758: 5.355230003008625e-06
Position 1229: 4.360396852776987e-06
Position 962: 4.265932638318573e-06
Position 311: 4.204843256367229e-06
Position 221: 3.7088231253985674e-06
Position 639: 2.9942580568039636e-06
Position 513: 2.9021925553157617e-06
Position 830: 2.886636439373509e-06
Position 83: 2.575001214768553e-06
Position 482: 2.4567579085658664e-06
Position 612: 2.2634358191417643e-06
Position 103: 1.843104107587465e-06
Position 544: 1.4075506603590412e-06
Position 276: 1.208177969962271e-06
Position 736: 7.973035025518734e-07
Position 497: 6.696151591671883e-07
Position 479: 6.442854012403118e-07
Position 665: 6.260944272344199e-07
Position 629: 5.744300697304573e-07
Position 1050: 5.670357608323471e-07
Position 770: 5.669611356180382e-07
Position 325: 5.460539272105952e-07
Position 76: 4.769939637401765e-07
Position 728: 2.877491456568592e-07
Position 861: 2.5376011326139067e-07
Position 1017: 1.8649376338026236e-07
Position 531: 1.3762211881219564e-07
Position 850: 1.1796420978027677e-07
Position 900: 8.873546397251951e-08
Position 472: 3.600352461324123e-08
Position 1038: 3.537001718026552e-08
Position 836: 4.522122864096029e-09
Position 1376: 3.3278551999824185e-09
Position 870: 1.7574039028820891e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1003: 0.9613501208606746
Position 454: 0.9078384948591184
Position 1170: 0.7607473835329455
Position 215: 0.39196386438812486
Position 1381: 0.2551611476412377
Position 251: 0.06312519683926684
Position 1022: 0.01835740796482729
Position 497: 0.014182130731245723
Position 1071: 0.012066219517480405
Position 221: 0.005303689792159962
Position 311: 0.005255351310224769
Position 521: 0.005179836828537786
Position 867: 0.004775619201924081
Position 1322: 0.001747305751425331
Position 770: 0.001436576143224896
Position 551: 0.0013198176577402482
Position 799: 0.0009703289358425546
Position 1046: 0.0009382984584112686
Position 315: 0.0007827998080543163
Position 1388: 0.0006434381759344677
Position 1264: 0.0006168878422419587
Position 818: 0.0005729419020790974
Position 1261: 0.0005106205611357773
Position 1354: 0.00046433490163639164
Position 356: 0.00046153763120526957
Position 492: 0.0003576378733834081
Position 1359: 7.465546239978702e-05
Position 230: 5.885323724527158e-05
Position 1225: 5.0117235115880556e-05
Position 544: 4.826549533562917e-05
Position 1120: 3.539434752569672e-05
Position 900: 2.949417041377745e-05
Position 830: 2.9216252759965836e-05
Position 914: 2.5626957351834284e-05
Position 1073: 2.552028147569196e-05
Position 467: 2.318401908585583e-05
Position 1418: 2.1501739687682178e-05
Position 885: 1.8645906022160036e-05
Position 784: 1.8486826004938126e-05
Position 1302: 1.769850867304756e-05
Position 1333: 1.590981135259078e-05
Position 264: 4.0948314648502025e-06
Position 388: 2.7634161754609274e-06
Position 556: 1.5945041756635863e-06
Position 1217: 9.79894992191047e-07
Position 1361: 8.979399161690811e-07
Position 736: 5.860428502240221e-07
Position 385: 3.7383153033599954e-07
Position 494: 3.671435427473897e-07
Position 1294: 2.9448027531620557e-07
Position 190: 7.894883515506928e-08
Position 1127: 6.201078421819951e-08
Position 563: 3.8147543937112825e-08
Position 200: 3.608588335360332e-08
Position 758: 3.5008406920925384e-08
Position 951: 2.2041795163386866e-08
Position 393: 1.7654547633534233e-08
Position 151: 1.615637951729804e-08
Position 398: 1.6620193428126074e-09
Position 958: 9.10880929022971e-10
Position 953: 2.6578309203472394e-10
Position 198: 6.943206679073824e-11
Position 127: 3.565922634357196e-12
