Gene = Ccdc56
index = 1056
Annotated 5SS: [457]
Annotated 3SS: [519]
SMsplice 5SS: [457]
SMsplice 3SS: [519]
Partition function (log Z): -3.4197761894174477

Sorted 5' Splice Sites (High to Low Probability):
Position 457: 0.9487059040169524
Position 715: 0.17733088602296798
Position 1183: 0.17655963906658448
Position 380: 0.032033384610341206
Position 398: 0.031585186907344076
Position 1120: 0.01267414963617942
Position 1189: 0.012630250062795013
Position 357: 0.009089335648098017
Position 1164: 0.006510783919075332
Position 1028: 0.004132394941079984
Position 1498: 0.0030466638563561867
Position 394: 0.0021860022286007237
Position 1504: 0.001933288727696687
Position 137: 0.000664406492409238
Position 1342: 0.0006412677791759509
Position 592: 0.0006232570614693958
Position 734: 0.0004254673282811483
Position 1195: 0.00042427941598848157
Position 1004: 0.0003480065477050123
Position 966: 0.0003143914484466828
Position 670: 0.0002522238734504165
Position 1001: 0.00022669556370321343
Position 374: 0.0002191454900983234
Position 1198: 0.0001666102385765237
Position 675: 0.0001388380856116423
Position 1108: 0.00012345402431552515
Position 1078: 0.00011481553812220952
Position 852: 0.00010866607185663893
Position 1465: 0.00010609684308337691
Position 271: 9.45918328096522e-05
Position 945: 7.639911421386765e-05
Position 10: 7.315954572543528e-05
Position 461: 5.593958129519043e-05
Position 1143: 5.339425761765633e-05
Position 1544: 4.871963486372287e-05
Position 1054: 4.8136191452466654e-05
Position 1249: 3.934499667466486e-05
Position 359: 3.8184303576609474e-05
Position 1422: 3.137375212609693e-05
Position 1372: 2.5329447210684243e-05
Position 34: 2.225059468114094e-05
Position 113: 2.1978885821242996e-05
Position 1261: 2.051384368507463e-05
Position 816: 1.9813222402868804e-05
Position 384: 1.9552360067332072e-05
Position 424: 1.676201793079489e-05
Position 774: 1.4451400260301492e-05
Position 1450: 1.0683552340677647e-05
Position 719: 9.659978809692097e-06
Position 441: 9.350549104381014e-06
Position 312: 8.95834432410882e-06
Position 1258: 8.603500948526585e-06
Position 404: 7.912247873801849e-06
Position 755: 6.179270990130474e-06
Position 1239: 6.14640985352364e-06
Position 326: 5.742864674456678e-06
Position 706: 5.426948196695051e-06
Position 444: 5.139179022238424e-06
