Gene = Nf-YA
index = 1316
Annotated 5SS: [144]
Annotated 3SS: [300]
SMsplice 5SS: [144]
SMsplice 3SS: [1977]
Partition function (log Z): -8.372561792381967

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.5542386680860961
Position 220: 0.2707749381733843
Position 300: 0.07211056525831386
Position 38: 0.05286977156995295
Position 186: 0.04062898310160454
Position 215: 0.03582181739561673
Position 181: 0.010513384384677747
Position 759: 0.010301980513505607
Position 1588: 0.008759392411084196
Position 1900: 0.0026736027692356875
Position 17: 0.0018543663347933574
Position 543: 0.00179890256744038
Position 600: 0.0016909537248553056
Position 304: 0.0015393253471686227
Position 990: 0.0015229734054511119
Position 1251: 0.0013153459916839677
Position 1017: 0.0011314707680028654
Position 326: 0.000895236338764924
Position 1896: 0.000817880102322158
Position 306: 0.000717902641463927
Position 308: 0.0005058259842785052
Position 1792: 0.0004658950987561223
Position 900: 0.0003940764748532907
Position 664: 0.0003553130649215008
Position 682: 0.0003412103301106161
Position 1074: 0.00032976473118376894
Position 2069: 0.0003148064409289473
Position 1273: 0.0003088241782715989
Position 212: 0.0002935795849289604
Position 1612: 0.0002781368793615652
Position 541: 0.00022005785635012721
Position 1265: 0.00021951317668172262
Position 1122: 0.00021028586992888858
Position 141: 0.0002031100204002367
Position 1875: 0.00018471322165217503
Position 1131: 0.00016136175940350552
Position 1337: 0.0001488491171098954
Position 4: 0.00012952004002274377
Position 1180: 0.0001289047941733029
Position 1038: 9.237650883571123e-05
Position 1504: 8.437332789760483e-05
Position 966: 8.25845631901621e-05
Position 190: 7.300779601330479e-05
Position 1029: 7.183164090157766e-05
Position 1331: 6.585115981078998e-05
Position 444: 5.8230556047272676e-05
Position 1721: 4.912299573391153e-05
Position 1818: 4.620329028933563e-05
Position 90: 3.956819993188473e-05
Position 237: 3.2664683344617034e-05
Position 6: 2.6220346312556414e-05
Position 1691: 2.442918056840965e-05
Position 1678: 2.130690072453092e-05
Position 2108: 2.1279461086623188e-05
Position 1479: 1.9966708542094064e-05
Position 148: 1.8521963172217735e-05
Position 448: 1.6760357055897915e-05
Position 312: 1.589488827980604e-05
Position 75: 1.5794650910819383e-05
Position 1848: 1.5614966643489096e-05
Position 1957: 1.4258901438243765e-05
Position 1390: 1.3026059901489622e-05
Position 1799: 1.2599256522737667e-05
Position 1492: 9.146375955119e-06
Position 1041: 8.900344421618826e-06
Position 1886: 8.547217445223477e-06
Position 425: 8.243435617142883e-06
Position 1170: 7.346258316884487e-06
Position 260: 5.854771818015957e-06
Position 1755: 5.436245753908398e-06
Position 229: 4.680621147887572e-06
Position 1466: 4.645885669446476e-06
Position 1149: 4.256353004066687e-06
Position 1310: 3.5675487277459595e-06
Position 310: 3.0445582564562973e-06
Position 1615: 2.914505792845244e-06
Position 1471: 2.447233215858126e-06
Position 1623: 2.2393236265782536e-06
Position 1574: 2.078931731029714e-06
Position 1141: 1.7631121725499592e-06
Position 1979: 1.4901576735217376e-06
Position 362: 8.869382306325983e-07
Position 1628: 7.56449530704929e-07
Position 1381: 7.506036399256906e-07
Position 1393: 5.984571023936779e-07
Position 1649: 5.949298837014294e-07
Position 1433: 5.589497814422547e-07
Position 1639: 5.520203855543886e-07
Position 1354: 4.984442428597781e-07
Position 1986: 4.224565422378578e-07
Position 1657: 2.083212249603225e-07
Position 1647: 1.7652410621758356e-07
Position 2081: 6.685302953325677e-08
Position 400: 3.6150299759722084e-08
Position 124: 2.0946275759232277e-08
Position 107: 1.4499381474175784e-08
Position 2024: 1.4740554368239845e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1977: 0.5818752303170305
Position 300: 0.14223736560910555
Position 391: 0.13848214637566542
Position 97: 0.05401671448220538
Position 1986: 0.04558002296463696
Position 1782: 0.03942539008347791
Position 1879: 0.012707131611673634
Position 1935: 0.007384487763779538
Position 400: 0.005586752632305794
Position 1412: 0.0048897925471538635
Position 1743: 0.00421775564649816
Position 656: 0.0034419208090893856
Position 831: 0.003143065737387018
Position 710: 0.00293893216151895
Position 1914: 0.002795264985364867
Position 974: 0.0026864736795495377
Position 325: 0.002154127055267302
Position 797: 0.0021223413042071107
Position 206: 0.0017290366209023313
Position 2041: 0.0017058425319572766
Position 371: 0.0016955818827746754
Position 1292: 0.001678025723754794
Position 304: 0.0014697305997027144
Position 349: 0.001353135785399396
Position 731: 0.001187168946286771
Position 411: 0.0011408975985858752
Position 1061: 0.00111020367701802
Position 1058: 0.0008160016854474566
Position 2101: 0.000762801034827376
Position 345: 0.0007522023803334387
Position 421: 0.0007402800605424886
Position 2186: 0.0005365815756158319
Position 1721: 0.0004287950170983381
Position 662: 0.0003933003976919809
Position 896: 0.00033536968921609323
Position 945: 0.00030084809654540876
Position 237: 0.00027206422989256086
Position 190: 0.0002244714536231936
Position 1957: 0.00021711124420060532
Position 978: 0.00021587533269440184
Position 212: 0.00021160733025915034
Position 1204: 0.0002053813085246158
Position 1265: 0.00017871272691029311
Position 600: 0.00017398666707058006
Position 2024: 0.00015766772073387252
Position 1883: 0.00014965475823002468
Position 956: 0.000144038148837255
Position 2148: 0.00014199030861640076
Position 1085: 0.0001416513826283185
Position 541: 0.00012778933669153674
Position 2189: 0.00012105253251113297
Position 1174: 0.00011511916649949442
Position 2057: 0.00011242937267729568
Position 1097: 9.772621329345234e-05
Position 653: 8.163106076385687e-05
Position 496: 6.99459969024563e-05
Position 2116: 6.973182949955779e-05
