Gene = Mt2
index = 1289
Annotated 5SS: [122]
Annotated 3SS: [170]
SMsplice 5SS: [122]
SMsplice 3SS: [170]
Partition function (log Z): -10.855991856641507

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.8541683212909214
Position 980: 0.11642555000817259
Position 252: 0.009806155580330978
Position 290: 0.0091412402476381
Position 29: 0.009049375700340567
Position 36: 0.006987372004825359
Position 64: 0.004948444781969161
Position 32: 0.004184903590723806
Position 27: 0.003462561190854161
Position 260: 0.0023310105040517974
Position 230: 0.001272120519203852
Position 126: 0.0009606389956608268
Position 3: 0.0006195324860258447
Position 918: 0.00047636500369388723
Position 13: 0.00035514392309386045
Position 612: 0.0001572698255685256
Position 716: 0.00014276225698751582
Position 681: 0.00012928781796948233
Position 795: 0.00012663785017840148
Position 734: 0.00011343157277182776
Position 895: 7.642331813417219e-05
Position 445: 6.626892126185928e-05
Position 520: 5.351924984760669e-05
Position 761: 4.97282531644596e-05
Position 660: 4.389299802699035e-05
Position 73: 4.105626861556713e-05
Position 288: 3.92168394757378e-05
Position 541: 3.886550309935032e-05
Position 464: 2.7286520027779613e-05
Position 471: 2.6817110685575347e-05
Position 767: 2.2246063819763927e-05
Position 194: 1.8941541165890952e-05
Position 412: 1.7754631993772738e-05
Position 342: 1.765883060608534e-05
Position 704: 1.4080470259943664e-05
Position 569: 1.1266468018383385e-05
Position 218: 8.819938864726106e-06
Position 299: 8.502451968971781e-06
Position 805: 7.744133538923011e-06
Position 499: 7.355866892701516e-06
Position 209: 6.648837796549148e-06
Position 1010: 4.154759030093508e-06
Position 633: 4.015704032182501e-06
Position 430: 3.5741974152094984e-06
Position 130: 2.9461085183167677e-06
Position 89: 2.787467501227215e-06
Position 937: 2.7329565885045856e-06
Position 746: 2.2594179195636536e-06
Position 899: 2.116746748937527e-06
Position 1017: 3.5345550666233974e-07
Position 414: 1.0885910765911047e-07
Position 331: 5.545318491313193e-08
Position 970: 3.647469113719761e-08
Position 1026: 2.2998951521893786e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 170: 0.8130946763231547
Position 1055: 0.11561980288536162
Position 194: 0.037184533395154526
Position 346: 0.022533864817268476
Position 79: 0.01366016392304177
Position 428: 0.0033834285504747903
Position 282: 0.0017002895676671557
Position 313: 0.001396729707928982
Position 361: 0.0013754031855566968
Position 817: 0.0013716138539465192
Position 610: 0.0013357355175653322
Position 270: 0.0013259410356307824
Position 1108: 0.0012984091897043021
Position 295: 0.0012554852075556126
Position 89: 0.0012370030382172085
Position 252: 0.00110315150893353
Position 798: 0.0010641344445424773
Position 640: 0.0007449290618868289
Position 668: 0.0006292635136375374
Position 759: 0.0005890228641715089
Position 979: 0.0005368520014266892
Position 307: 0.0005274232832294817
Position 795: 0.0004552072648243079
Position 871: 0.00038472608656545674
Position 299: 0.00031817065901337967
Position 1075: 0.00025883115438153696
Position 469: 0.0002560069284600489
Position 487: 0.00014301790156869646
Position 1095: 0.00013251740439002629
Position 955: 8.792878126962015e-05
Position 617: 7.934634537387103e-05
Position 673: 6.776752276848967e-05
Position 946: 5.475772916117792e-05
Position 925: 4.960947948625665e-05
Position 679: 3.6817359211152004e-05
Position 937: 3.070137028544992e-05
Position 838: 2.979785876499613e-05
Position 904: 2.386937180511708e-05
Position 499: 2.3701096810929582e-05
Position 126: 1.899796724779562e-05
Position 383: 1.8895836327178105e-05
Position 895: 1.549505928971413e-05
Position 436: 9.627315801472532e-06
Position 372: 6.520840445313035e-06
Position 445: 4.447773658233129e-06
Position 650: 2.989318533180514e-06
Position 1036: 2.3250116990844445e-06
Position 517: 1.7858046600973693e-06
Position 478: 1.5662387832687844e-06
Position 1010: 1.2868204608890606e-06
Position 918: 1.0933942166948774e-06
Position 388: 4.888828873296021e-07
Position 700: 4.035448495947252e-07
Position 430: 2.5926754399957336e-07
Position 541: 2.590234076821458e-07
Position 1026: 1.1317416727143506e-07
Position 288: 8.246041249945448e-08
Position 943: 8.217033648157552e-08
Position 761: 3.0102344276429544e-08
Position 709: 2.2347554650713383e-09
Position 984: 5.323078292304315e-10
Position 480: 3.1120628855621073e-12
