Gene = Srp9
index = 1521
Annotated 5SS: [243]
Annotated 3SS: [307]
SMsplice 5SS: [243]
SMsplice 3SS: [307]
Partition function (log Z): -3.7836016689174623

Sorted 5' Splice Sites (High to Low Probability):
Position 243: 0.9995479631334341
Position 526: 0.00963525430729301
Position 111: 0.004823284984851642
Position 11: 0.0026363077035819757
Position 105: 0.0026136965698955786
Position 816: 0.001402268987343141
Position 237: 0.00028507208078302224
Position 46: 0.0001380637125062012
Position 55: 0.00010896473035099787
Position 6: 9.910085702194074e-05
Position 802: 8.37975974858349e-05
Position 374: 7.652894790085973e-05
Position 52: 7.3088239312869e-05
Position 790: 7.190366210625607e-05
Position 502: 5.5258273086352385e-05
Position 538: 4.113094192740219e-05
Position 33: 3.296106604802585e-05
Position 807: 3.294693444945495e-05
Position 769: 2.9693840875497577e-05
Position 89: 2.7549018886429882e-05
Position 536: 2.1380872805230642e-05
Position 778: 1.5918818226610682e-05
Position 58: 1.1500361512214333e-05
Position 152: 8.760222228670557e-06
Position 505: 4.690215239746428e-06
Position 822: 3.2598885498442638e-06
Position 625: 3.232238947506089e-06
Position 388: 2.704960631203856e-06
Position 528: 1.6308265896178262e-06
Position 540: 1.353019301895846e-06
Position 678: 1.3259308882420273e-06
Position 830: 1.226108305294587e-06
Position 530: 1.1938326699625332e-06
Position 41: 9.354129284244137e-07
Position 734: 7.100845672235791e-07
Position 669: 4.622010291504232e-07
Position 508: 3.160557812880271e-07
Position 266: 2.461972895241006e-07
Position 307: 1.411919544965201e-07
Position 737: 1.3168091128714467e-07
Position 569: 1.313114405325185e-07
Position 684: 8.729161515117375e-08
Position 175: 7.781187837175768e-08
Position 542: 7.079143721986652e-08
Position 613: 5.7980142994101696e-08
Position 596: 3.771548911519297e-08
Position 309: 3.768700065515029e-08
Position 141: 1.4397489398976976e-08
Position 316: 1.3200560122367851e-08
Position 311: 2.7501931469239392e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 307: 0.9838271525251443
Position 316: 0.01581534314773144
Position 170: 0.010394140064606427
Position 756: 0.004579826307083645
Position 577: 0.003402024528126255
Position 876: 0.0012480387055023839
Position 860: 0.0009075051514345347
Position 569: 0.0007468776111868327
Position 588: 0.00022542997257515615
Position 641: 0.0001390194226915187
Position 880: 0.00013560377823483363
Position 116: 0.000112290435395018
Position 345: 8.119749905071746e-05
Position 623: 7.267695576944275e-05
Position 358: 5.617244014482018e-05
Position 760: 4.06960867943555e-05
Position 820: 3.7709160859667005e-05
Position 323: 3.149478177106939e-05
Position 448: 1.4014059328077624e-05
Position 628: 9.051517971882716e-06
Position 134: 8.395495687024464e-06
Position 366: 2.4891602258737834e-06
Position 525: 2.3604989837044073e-06
Position 596: 1.8282016239378262e-06
Position 415: 1.1424328948943143e-06
Position 469: 9.809027060646403e-07
Position 328: 8.129388521639092e-07
Position 206: 7.911868385495557e-07
Position 400: 4.63418132030883e-07
Position 394: 3.4640057434430534e-07
Position 625: 2.069927217730735e-07
Position 266: 1.5241360401084075e-07
Position 822: 7.213655263046202e-08
Position 522: 6.123889585244975e-08
Position 355: 4.4760118604256976e-08
Position 462: 3.019554793078192e-08
Position 407: 2.1144203084261748e-08
Position 146: 1.9451031240905415e-08
Position 242: 3.5259924527976635e-09
Position 481: 1.563678856607738e-13
