Gene = Arpc4
index = 27
Annotated 5SS: [624]
Annotated 3SS: [691]
SMsplice 5SS: [624]
SMsplice 3SS: [691]
Partition function (log Z): -5.507122134491156

Sorted 5' Splice Sites (High to Low Probability):
Position 624: 0.9992114627424922
Position 18: 0.0023988921135466874
Position 324: 0.0013641180055626383
Position 330: 0.0011044801926670335
Position 297: 0.0006936201940385095
Position 392: 0.0005246559398210383
Position 617: 0.00046477582871894677
Position 416: 0.0004157063629968542
Position 57: 0.0003689272660117921
Position 52: 0.00012971131297349263
Position 38: 0.00012799098616229934
Position 228: 0.00011909431963164812
Position 201: 0.0001131587657473209
Position 64: 3.8954928702005266e-05
Position 150: 2.0120877374131278e-05
Position 692: 1.4650793946350875e-05
Position 383: 1.3262731174166865e-05
Position 628: 9.237827420779179e-06
Position 494: 8.800005494937823e-06
Position 255: 7.688104897541194e-06
Position 420: 6.492761503506731e-06
Position 630: 5.521087468129814e-06
Position 204: 4.263667045492293e-06
Position 342: 4.16682843117489e-06
Position 705: 3.586974679593751e-06
Position 605: 2.316450849338546e-06
Position 374: 2.007420457026927e-06
Position 176: 1.3854094243538472e-06
Position 413: 1.3362353841540074e-06
Position 573: 9.44352245174526e-07
Position 3: 8.622583702002645e-07
Position 510: 4.8452179902179e-07
Position 270: 4.65536233728961e-07
Position 267: 3.6482350057592194e-07
Position 238: 2.3398358894902805e-07
Position 273: 9.989250549823302e-08
Position 275: 5.984966102016135e-08
Position 311: 4.131859774081284e-08
Position 519: 6.9012225942306335e-09
Position 657: 4.7554974155833e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 691: 0.9987921692114906
Position 85: 0.002287899523671911
Position 526: 0.002129765281644606
Position 391: 0.001428115303109383
Position 697: 0.0007813017828452483
Position 491: 0.0005684523705540547
Position 111: 0.00040523519080551775
Position 750: 0.00023322957181294113
Position 123: 0.0001123154352991341
Position 89: 8.001999629953298e-05
Position 69: 7.064109627378888e-05
Position 383: 6.819044952317752e-05
Position 488: 5.8661660461403226e-05
Position 200: 4.9468447782429735e-05
Position 350: 4.688491661464505e-05
Position 730: 2.2781995044334568e-05
Position 437: 1.0497613381835998e-05
Position 460: 6.187907957305875e-06
Position 583: 5.497373042941772e-06
Position 347: 4.404252137411898e-06
Position 185: 2.9192857719136312e-06
Position 757: 2.9047106110539716e-06
Position 92: 2.332122496404972e-06
Position 536: 2.191257355828887e-06
Position 134: 2.1379216445255387e-06
Position 643: 2.0275315679640077e-06
Position 64: 1.7992273162461766e-06
Position 623: 1.2954500327794458e-06
Position 551: 9.56021628786492e-07
Position 413: 9.165837818759218e-07
Position 705: 7.492378042812738e-07
Position 244: 5.758196007600636e-07
Position 251: 4.21664615403177e-07
Position 548: 1.7121006604516137e-07
Position 248: 1.5771988426310383e-07
Position 221: 1.4546354445763782e-07
Position 556: 1.244577921730901e-07
Position 296: 1.0056247925253393e-07
Position 446: 9.219761379939234e-08
Position 500: 6.624243537058419e-08
Position 293: 6.392836814774228e-08
Position 287: 5.060927116609254e-08
Position 52: 9.902170199622271e-09
Position 602: 8.25655440745442e-09
Position 57: 2.9142534951613328e-09
Position 539: 2.56851032560374e-09
Position 605: 2.5180645604314396e-09
Position 359: 1.8807953855332556e-09
Position 227: 1.5075469195471856e-09
Position 628: 6.862475896009545e-10
Position 365: 6.132238001236591e-10
Position 209: 3.5226724823009645e-10
Position 308: 1.733522052843681e-10
Position 233: 6.889233476473744e-11
Position 657: 5.802689247707651e-13
Position 334: 3.500305142648715e-15
