Gene = jhamt
index = 1735
Annotated 5SS: [668]
Annotated 3SS: [731]
SMsplice 5SS: [668]
SMsplice 3SS: [731]
Partition function (log Z): 0.24596160248743407

Sorted 5' Splice Sites (High to Low Probability):
Position 668: 0.9996634742638515
Position 139: 0.04589137797101109
Position 155: 0.031269058767984546
Position 248: 0.018160662804711677
Position 208: 0.0070330224876257895
Position 425: 0.003690955280842808
Position 52: 0.0036747876760068175
Position 956: 0.0034537362796041764
Position 472: 0.003284254795649302
Position 175: 0.0032245672763528007
Position 840: 0.0027790636263977015
Position 501: 0.0017923483898638188
Position 463: 0.001492804245150468
Position 994: 0.0013533795244433482
Position 286: 0.0009506113991245371
Position 917: 0.0005167027618752835
Position 235: 0.0002999023837749004
Position 143: 0.00026938594674111825
Position 370: 0.0002589586911753753
Position 504: 0.00020496267211003207
Position 160: 0.00019558856517779393
Position 1035: 0.0001028840250387173
Position 684: 9.386612837512821e-05
Position 595: 6.659460937671752e-05
Position 652: 6.350247794490852e-05
Position 737: 3.2245274656921664e-05
Position 926: 2.9572564147123497e-05
Position 1015: 2.7577841423232034e-05
Position 672: 2.575527903681876e-05
Position 862: 2.4641403662856542e-05
Position 790: 2.00345122138434e-05
Position 636: 1.6259327793605415e-05
Position 578: 1.578315416700588e-05
Position 884: 1.3564174913605316e-05
Position 351: 1.3262410197167496e-05
Position 1006: 1.0618679257101137e-05
Position 815: 6.029779376647178e-06
Position 887: 3.8618149229459195e-06
Position 634: 1.6505686020226577e-06
Position 105: 1.403107342993e-06
Position 197: 1.3743101465291826e-06
Position 7: 7.846182209193178e-07
Position 343: 6.837658651533592e-07
Position 599: 4.3352640708748096e-07
Position 1079: 3.0126371363901305e-07
Position 616: 2.937946042631391e-07
Position 1066: 2.6992315706531713e-07
Position 640: 1.971500882190857e-07
Position 523: 1.9040717527831996e-07
Position 10: 1.299533927232085e-07
Position 582: 5.2715873569588916e-08
Position 554: 2.644049972756665e-08
Position 585: 1.7940040150705932e-08
Position 604: 6.7108035200745335e-09
Position 560: 4.895365497146599e-09
Position 750: 1.9895544566193253e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 731: 0.9952462063168914
Position 554: 0.1095604401515757
Position 1013: 0.004836737534165524
Position 519: 0.004732754177444724
Position 776: 0.0036230711706620343
Position 105: 0.0027651225551366294
Position 417: 0.002433449255481739
Position 1066: 0.0017113802235268231
Position 1105: 0.0012485362757198464
Position 835: 0.0008514888272155743
Position 217: 0.0005002932655993147
Position 472: 0.0003566725446726101
Position 501: 0.00034052626015299996
Position 994: 0.00029915663363305387
Position 742: 0.0001805986255311889
Position 261: 0.00015316966615618228
Position 424: 0.00014018852552155536
Position 904: 0.00013005651112402982
Position 385: 0.00010826310195411092
Position 1095: 0.00010631027011006774
Position 560: 0.00010555350450573372
Position 480: 9.79622870786986e-05
Position 231: 9.081098885651605e-05
Position 227: 6.207782628235106e-05
Position 248: 5.094714692772361e-05
Position 252: 4.926171778428004e-05
Position 1130: 4.808255902022782e-05
Position 790: 4.075834182106273e-05
Position 649: 3.0508236885471704e-05
Position 763: 2.8762581490719498e-05
Position 578: 2.2662533502365624e-05
Position 285: 2.0131751996985797e-05
Position 332: 1.0195668403119279e-05
Position 809: 6.38150344644521e-06
Position 265: 5.204435107804694e-06
Position 1121: 4.931705278423508e-06
Position 388: 4.719696385406927e-06
Position 634: 4.372374799557936e-06
Position 528: 4.09571587613579e-06
Position 326: 3.872954687659638e-06
Position 582: 2.6793621436248843e-06
Position 1109: 1.8935706560998443e-06
Position 1112: 1.8718302293051191e-06
Position 148: 1.7666044984977396e-06
Position 1132: 1.7653740906573195e-06
Position 278: 1.762225887377389e-06
Position 180: 1.564254911418841e-06
Position 839: 1.4099007892010984e-06
Position 267: 1.2718790162973265e-06
Position 961: 1.032031508200327e-06
Position 862: 5.518945424504529e-07
Position 318: 5.290765384382189e-08
Position 51: 5.261643965225671e-08
Position 656: 3.065487683476447e-08
Position 321: 1.9206425954119243e-08
Position 1015: 8.967594343239241e-09
Position 123: 8.13610097842709e-09
Position 270: 7.693883855185206e-09
Position 570: 5.478267497154441e-09
Position 306: 4.666336072820891e-09
Position 59: 3.2240304162497355e-09
Position 121: 2.561691814334087e-09
Position 937: 1.8077646265948425e-09
Position 678: 4.178250095401518e-11
Position 853: 1.7554248237604277e-11
Position 667: 9.895529194023546e-12
Position 672: 5.848553405593496e-12
