Gene = Mdh1
index = 1274
Annotated 5SS: [118]
Annotated 3SS: [1387]
SMsplice 5SS: [118]
SMsplice 3SS: [479]
Partition function (log Z): -8.766081382577113

Sorted 5' Splice Sites (High to Low Probability):
Position 118: 0.7907011484421052
Position 265: 0.19711290591208358
Position 616: 0.010540152960297307
Position 962: 0.009267206504662631
Position 675: 0.007342927634498808
Position 154: 0.007148354180930154
Position 1899: 0.004235934302221631
Position 948: 0.0035389150310207946
Position 593: 0.003200787319730204
Position 5: 0.0026685302508035343
Position 955: 0.002550017607954413
Position 370: 0.002303817205758088
Position 608: 0.0022255938596810105
Position 1251: 0.0020791409820480476
Position 1523: 0.001830479545976778
Position 149: 0.0015259042236836207
Position 1760: 0.0011745316600619928
Position 980: 0.0008012298702239848
Position 32: 0.0007795741296644324
Position 1189: 0.0007128621014425257
Position 1982: 0.0006019433257328185
Position 528: 0.0005608818893049131
Position 1140: 0.000539441649799728
Position 2395: 0.00041389276676810383
Position 78: 0.00031565112743828753
Position 93: 0.0002864023367513032
Position 25: 0.00026582631285187677
Position 8: 0.00023768642207479555
Position 269: 0.00021497283973548722
Position 872: 0.0002024941414221896
Position 1022: 0.00019228226967626252
Position 810: 0.00018155944555965373
Position 271: 0.00016061964127774583
Position 670: 0.00014558523462900773
Position 2413: 0.00014068361245111061
Position 1260: 0.0001403858845028827
Position 665: 0.0001400046081225464
Position 253: 0.00013701326373205313
Position 1995: 0.00012188224794656833
Position 1766: 0.00012082091644606346
Position 204: 0.00012074791893191078
Position 538: 9.189156333005604e-05
Position 1586: 8.952705365540802e-05
Position 1149: 6.846903190525124e-05
Position 102: 6.701414873824375e-05
Position 936: 6.247007952863477e-05
Position 459: 5.8026164926733454e-05
Position 547: 5.5505596958711966e-05
Position 39: 5.414883592661303e-05
Position 1738: 4.85475903140866e-05
Position 1916: 4.7085563108886445e-05
Position 1152: 4.6824438697413626e-05
Position 1700: 4.6467259810637584e-05
Position 718: 4.3694999914277644e-05
Position 2005: 4.112403784684071e-05
Position 1799: 4.0059077592057966e-05
Position 557: 3.521102508026402e-05
Position 1769: 3.1855658301208324e-05
Position 751: 2.8432910399452556e-05
Position 251: 2.743964146159735e-05
Position 1527: 2.669787748512794e-05
Position 1589: 2.5944032093350016e-05
Position 2231: 2.4799923235583284e-05
Position 239: 2.465261415294381e-05
Position 2179: 2.3599149695235244e-05
Position 234: 2.0592164202593432e-05
Position 256: 1.8439809430287327e-05
Position 2012: 1.6298079859988087e-05
Position 1643: 1.5476904076381608e-05
Position 2365: 1.3483242434457427e-05
Position 2432: 1.2401085456978669e-05
Position 278: 1.2386522818994623e-05
Position 353: 1.1892818396552413e-05
Position 1037: 9.658314881112061e-06
Position 1469: 9.418554248485693e-06
Position 2155: 8.526046151494979e-06
Position 82: 7.928000589132981e-06
Position 1048: 6.932370782448104e-06
Position 358: 6.920816700320918e-06
Position 2473: 6.8070627127999835e-06
Position 970: 6.445020233925136e-06
Position 1103: 5.929548297388678e-06
Position 65: 5.235384314482443e-06
Position 779: 5.166486825740288e-06
Position 1754: 4.94136488541493e-06
Position 1372: 4.689789733471572e-06
Position 2009: 4.585821806499201e-06
Position 1901: 3.660931102081487e-06
Position 765: 3.387319236806825e-06
Position 1690: 3.054002281033378e-06
Position 1147: 2.7058084508689626e-06
Position 382: 2.55260279029781e-06
Position 1447: 2.3230687888116673e-06
Position 1580: 2.251199374800472e-06
Position 86: 1.91813928126905e-06
Position 1409: 1.8144737658842833e-06
Position 2193: 1.729634096541433e-06
Position 2468: 1.183301954734845e-06
Position 1541: 1.180092397632606e-06
Position 1471: 1.138860298637275e-06
Position 470: 9.530007379560412e-07
Position 2386: 9.157791575384447e-07
Position 2452: 8.94945762983408e-07
Position 1544: 8.889158364189489e-07
Position 684: 6.80645443537673e-07
Position 1610: 6.721304875455047e-07
Position 2317: 6.676932103701027e-07
Position 1493: 5.939092595464651e-07
Position 2242: 5.909915315882504e-07
Position 1360: 5.056612692312974e-07
Position 1529: 4.5826280016566055e-07
Position 2249: 4.414210902303463e-07
Position 1159: 4.2674562715768275e-07
Position 1403: 3.5867578124894343e-07
Position 2000: 3.507459739188424e-07
Position 2384: 3.476550227100057e-07
Position 2073: 2.2451784127017048e-07
Position 2369: 1.9989207120739617e-07
Position 1957: 1.6388749368207368e-07
Position 2116: 1.4425057172166002e-07
Position 2195: 1.3803723983126752e-07
Position 2435: 1.1695294327262848e-07
