Gene = REPTOR-BP
index = 1399
Annotated 5SS: [140 509 761]
Annotated 3SS: [423 638 821]
SMsplice 5SS: [509 765]
SMsplice 3SS: [638 821]
Partition function (log Z): 5.901251758479232

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.9931224314070584
Position 765: 0.9118864966377469
Position 961: 0.1308995446280925
Position 969: 0.06418392977590091
Position 761: 0.04774667942234893
Position 140: 0.04092422544468226
Position 744: 0.029574754455113126
Position 224: 0.011821248262211863
Position 210: 0.007500839777071831
Position 551: 0.00480879963277877
Position 731: 0.003786600349316333
Position 137: 0.0027048348926930633
Position 258: 0.001382248451998856
Position 169: 0.0005458286458117276
Position 734: 0.000350119369223084
Position 228: 0.00033041461735786986
Position 266: 0.00022149733120710284
Position 878: 0.00021720346322686123
Position 278: 0.00014582049900822464
Position 566: 0.00010178018742084264
Position 324: 9.720288315193131e-05
Position 58: 9.296215143131075e-05
Position 115: 6.053251456969828e-05
Position 177: 5.588369239711171e-05
Position 166: 4.788996881905308e-05
Position 1010: 4.257041763173082e-05
Position 64: 3.4434528769188004e-05
Position 197: 3.354782288309858e-05
Position 376: 2.9341902533086006e-05
Position 710: 2.1488677729396697e-05
Position 574: 2.1450039756060748e-05
Position 77: 2.12146457698208e-05
Position 20: 1.4796100619255805e-05
Position 264: 1.1460265235115547e-05
Position 842: 1.0562155762550483e-05
Position 222: 6.439139002875101e-06
Position 688: 5.061049477542798e-06
Position 786: 4.306421427845481e-06
Position 50: 4.174144411309914e-06
Position 256: 3.2190778224572123e-06
Position 61: 3.170867538683034e-06
Position 10: 2.597804502981893e-06
Position 3: 1.903563433181158e-06
Position 474: 7.437168698267907e-07
Position 821: 6.881725217346542e-07
Position 594: 6.158514335196125e-07
Position 694: 4.999777607358947e-07
Position 1045: 4.7153274808894e-07
Position 390: 1.7490782964824083e-07
Position 1054: 1.351454636203376e-07
Position 440: 1.2781741979220646e-07
Position 654: 1.172774590989454e-08
Position 621: 1.7299832463117646e-11
Position 623: 1.6397073849510563e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 638: 0.9996514669950413
Position 821: 0.9872754372662237
Position 1035: 0.17948391724758295
Position 426: 0.04614773945755288
Position 1059: 0.015898352444228974
Position 423: 0.009931054331543515
Position 842: 0.005560939496914915
Position 210: 0.004855028058414703
Position 298: 0.0017209913389745664
Position 324: 0.0005091815669511392
Position 358: 0.0004656740609590406
Position 316: 0.00039218738099340664
Position 566: 0.00022141413424765755
Position 1098: 0.0001693243288986951
Position 1068: 0.0001662628875049554
Position 933: 0.00012203125432556011
Position 645: 7.182806036745377e-05
Position 1079: 6.336458336739779e-05
Position 246: 4.3047583069825044e-05
Position 369: 3.462531452674916e-05
Position 463: 2.1238182338209034e-05
Position 214: 1.3457238999517802e-05
Position 648: 1.2774423581190678e-05
Position 435: 1.0770283013858482e-05
Position 887: 1.0648190008239696e-05
Position 1001: 8.888924583136237e-06
Position 878: 7.100661560231231e-06
Position 449: 5.126030658876704e-06
Position 853: 2.796104678763143e-06
Position 574: 2.752174289566555e-06
Position 75: 1.2969119464708393e-06
Position 163: 1.2287578850009603e-06
Position 939: 7.29905807748336e-07
Position 103: 6.236444195201336e-07
Position 467: 5.006291209815293e-07
Position 682: 4.548338344419942e-07
Position 909: 2.0296998782925325e-07
Position 499: 1.340243240977926e-07
Position 654: 7.032663687135213e-08
Position 660: 6.443249651710343e-08
Position 105: 6.165176886181332e-08
Position 137: 3.7334732301847024e-08
Position 58: 3.723054257230345e-08
Position 471: 2.9882325046888816e-08
Position 679: 2.7131059790552333e-08
Position 97: 2.388198055009028e-08
Position 77: 1.764729088993662e-08
Position 127: 5.457332106973192e-09
Position 48: 3.368068088348984e-09
Position 694: 3.223096414826386e-09
Position 508: 1.6899171069819143e-09
Position 757: 4.551558541047121e-10
Position 847: 3.5444483435853524e-10
Position 727: 6.75199475759054e-11
Position 703: 6.739297887048684e-11
Position 513: 5.1406974233842536e-11
Position 724: 2.821867475069072e-11
Position 50: 3.6287911124048607e-12
Position 734: 6.887038437919466e-13
