Gene = Irbp18
index = 1237
Annotated 5SS: [187]
Annotated 3SS: [313]
SMsplice 5SS: [187]
SMsplice 3SS: [313]
Partition function (log Z): -7.499933683920245

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.9583943864673763
Position 360: 0.08827559157237445
Position 407: 0.02955535658805537
Position 465: 0.00958391602556981
Position 208: 0.0007797524764241088
Position 264: 0.00038913962332053694
Position 604: 0.00019485046850602008
Position 156: 0.00012251957412089793
Position 134: 9.604999070558625e-05
Position 423: 3.342757307365766e-05
Position 199: 2.2382120624144615e-05
Position 191: 1.5998338966783717e-05
Position 237: 1.4457862315710201e-05
Position 59: 7.201615383338921e-06
Position 251: 5.6973308320712275e-06
Position 618: 4.525235379356326e-06
Position 22: 3.849414723906337e-06
Position 616: 1.3504155785827208e-06
Position 243: 1.0921164004857788e-06
Position 607: 9.984160079875902e-07
Position 4: 8.360091121430283e-07
Position 102: 6.246119151052192e-07
Position 317: 3.7658818922896704e-07
Position 646: 1.9030778646445332e-07
Position 629: 1.875015352838595e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 313: 0.8154243803246604
Position 463: 0.12132962629208228
Position 447: 0.07170544243841273
Position 629: 0.04513793251676392
Position 412: 0.014487025433773391
Position 499: 0.0038830301705693802
Position 261: 0.0030727322595157213
Position 406: 0.002769548842298657
Position 591: 0.0018834385395772168
Position 322: 0.0015628097227985873
Position 277: 0.0013455332546387947
Position 518: 0.0011241880712872698
Position 673: 0.0008665438102637391
Position 384: 0.0006642697463260757
Position 337: 0.0006375182897071721
Position 689: 0.0005265811366091705
Position 418: 0.00030276569153471646
Position 264: 0.00030232886062945495
Position 532: 0.00014523376897545496
Position 678: 0.00010267529928049148
Position 364: 0.00010180260039466447
Position 343: 6.311318306393683e-05
Position 502: 1.981450036454869e-05
Position 699: 1.4384205658093918e-05
Position 388: 1.271647578137605e-05
Position 215: 9.810844109643604e-06
Position 478: 4.152988300205606e-06
Position 469: 1.6352340272172304e-06
Position 449: 8.563999068742859e-07
Position 59: 7.349119065030617e-07
Position 197: 5.216353257610768e-07
Position 134: 4.482391058529917e-07
Position 224: 2.2756460041686509e-07
Position 90: 2.1652102720859603e-07
Position 110: 1.5997965274477896e-07
Position 199: 1.3372164495749554e-07
Position 548: 9.660541726347473e-08
Position 92: 8.926389192923039e-08
Position 119: 6.974490899811194e-08
Position 145: 6.471973154119581e-08
Position 72: 6.111090410248096e-08
Position 191: 2.0957040377019133e-08
Position 186: 1.516890220577545e-08
Position 551: 1.8230116429408156e-09
Position 217: 1.7401195091950084e-09
Position 154: 1.6410211532120864e-09
Position 174: 8.131360899756856e-10
Position 355: 6.297677836099679e-10
Position 170: 2.1221567774725547e-10
Position 694: 1.2433123963898968e-10
Position 163: 1.2176916111636478e-10
Position 423: 5.316904720421355e-11
Position 219: 4.036424626689039e-11
