Gene = Atac2
index = 33
Annotated 5SS: [ 481  693  923 2221]
Annotated 3SS: [ 540  747  988 2286]
SMsplice 5SS: [ 481  693  923 2221]
SMsplice 3SS: [ 540  747  988 2286]
Partition function (log Z): 9.627287052126853

Sorted 5' Splice Sites (High to Low Probability):
Position 693: 0.9975220066330023
Position 923: 0.9965330588638173
Position 481: 0.9920792619866796
Position 2221: 0.9801689088514891
Position 1240: 0.1454032544873234
Position 247: 0.09829744731398901
Position 1410: 0.08478891322326236
Position 1198: 0.05803937260197277
Position 1297: 0.054774510204886724
Position 256: 0.0218170295911364
Position 1168: 0.018397471969907576
Position 2473: 0.01356734876078131
Position 1470: 0.011415841491605008
Position 2409: 0.008156069839922245
Position 2373: 0.006269184865860291
Position 176: 0.0020019036605793176
Position 1093: 0.0017954461010063812
Position 1134: 0.0015922290382982959
Position 1193: 0.0014024276410686302
Position 2197: 0.0013304991648528362
Position 1464: 0.0013202215042371981
Position 491: 0.0009618246822702453
Position 323: 0.0006965142789119406
Position 2154: 0.0006143467238338343
Position 910: 0.0005712831811769676
Position 2225: 0.000531833687609464
Position 471: 0.00046534927606937157
Position 485: 0.00045555145407809723
Position 317: 0.0004063181189284396
Position 230: 0.00036402187177933613
Position 479: 0.00032539067037506297
Position 2178: 0.0002885547160361519
Position 258: 0.0002531863850335071
Position 2109: 0.00023387069806634058
Position 1779: 0.00022187989846156873
Position 34: 0.00019469902315408377
Position 1548: 0.000154511523110296
Position 2377: 0.00010764251810681259
Position 27: 0.00010048298005319854
Position 284: 9.47481772993177e-05
Position 241: 8.847566142775279e-05
Position 2492: 8.367301832733795e-05
Position 1712: 7.215665609672597e-05
Position 2319: 6.656220293791009e-05
Position 1631: 4.234163034662155e-05
Position 260: 2.911890043682811e-05
Position 680: 2.657761896966318e-05
Position 643: 2.439770827273435e-05
Position 251: 2.286430301956988e-05
Position 2090: 2.2714636153330707e-05
Position 1897: 2.210283273676412e-05
Position 120: 2.2082339554003492e-05
Position 2417: 2.1817531816358317e-05
Position 1268: 2.1568634118749772e-05
Position 697: 1.9609392418309288e-05
Position 67: 1.7139604561300167e-05
Position 154: 1.6815517555652487e-05
Position 1715: 1.6303460307334712e-05
Position 615: 1.5316843332045277e-05
Position 2450: 1.4788625513080632e-05
Position 438: 9.018604032215754e-06
Position 52: 8.717702310045814e-06
Position 2327: 8.381969163213476e-06
Position 895: 7.917598339413342e-06
Position 2582: 7.581807707305441e-06
Position 2499: 6.8943070255810135e-06
Position 708: 6.342986322649397e-06
Position 1003: 5.709894697789178e-06
Position 2031: 5.5628105763133435e-06
Position 84: 5.136477111421653e-06
Position 2350: 4.728315653016975e-06
Position 350: 4.034045907988981e-06
Position 131: 3.393634364143901e-06
Position 1594: 3.2272661257940598e-06
Position 2149: 2.810978535143869e-06
Position 1934: 2.553094523473193e-06
Position 1602: 2.400070917519231e-06
Position 954: 2.061619752248347e-06
Position 1754: 1.763917636465996e-06
Position 443: 1.6927641834356779e-06
Position 2477: 1.3762718522229658e-06
Position 2317: 1.247388442362059e-06
Position 2528: 1.1904883434184396e-06
Position 2431: 1.1721611999828178e-06
Position 2525: 1.034713929026258e-06
Position 57: 8.954455845808755e-07
Position 1931: 7.341130666058942e-07
Position 2330: 7.063007315719612e-07
Position 569: 5.869429314331477e-07
Position 546: 5.848715238292005e-07
Position 610: 5.490696656243016e-07
Position 623: 4.795605725892962e-07
Position 2256: 4.546958488952383e-07
Position 2266: 4.03731450871094e-07
Position 601: 3.740723224737508e-07
Position 837: 3.347281648170841e-07
Position 2364: 3.222219085602509e-07
Position 2286: 2.8434546100570945e-07
Position 820: 2.2214907110433602e-07
Position 594: 2.2021540068614948e-07
Position 733: 1.3856239160224306e-07
Position 2296: 1.3221523461363797e-07
Position 2322: 9.993430769015911e-08
Position 2343: 9.405652894403251e-08
Position 764: 8.972842173004103e-08
Position 564: 5.526324858641322e-08
Position 781: 2.34889028121039e-08
Position 988: 2.3467921681567725e-08
Position 794: 2.2982104233934016e-08
Position 2520: 9.706782215086504e-09
Position 376: 9.637065024269902e-09
Position 2294: 4.4854238538361365e-09
Position 583: 3.543883238142061e-09
Position 736: 3.0287798870932845e-09
Position 1037: 2.1945815630819538e-09
Position 535: 1.5543599591981843e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9975326901948082
Position 2286: 0.9888103107121069
Position 747: 0.9580568287572424
Position 988: 0.8787574960136906
Position 1365: 0.10946872696234511
Position 1043: 0.10722394279775359
Position 1578: 0.0771227048934244
Position 296: 0.06857657377158372
Position 1296: 0.03859984058376149
Position 1368: 0.03700567196224487
Position 1469: 0.03539299284349099
Position 1924: 0.0274796472771114
Position 791: 0.026564547179201408
Position 391: 0.024223613084739096
Position 1606: 0.02388374526344895
Position 2468: 0.012861785384465425
Position 2549: 0.011539499189783338
Position 313: 0.011330679552561146
Position 302: 0.009444206152874876
Position 333: 0.006819612544344703
