Gene = tomb
index = 1914
Annotated 5SS: [201]
Annotated 3SS: [262]
SMsplice 5SS: [201]
SMsplice 3SS: [262]
Partition function (log Z): -3.8148016483630784

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9653506443113361
Position 471: 0.45348239230137877
Position 197: 0.03141586014164084
Position 418: 0.015241513368741655
Position 481: 0.002533430306301239
Position 184: 0.0009092407077138268
Position 804: 0.0004918775963686142
Position 438: 0.00013689687281974818
Position 506: 8.186030908674175e-05
Position 280: 3.8189240012539774e-05
Position 104: 2.864796124638265e-05
Position 739: 2.8190655092593865e-05
Position 133: 2.4541641840713188e-05
Position 189: 2.1325178638449085e-05
Position 619: 1.3583399716981187e-05
Position 717: 6.0086954678399445e-06
Position 288: 5.641486876856431e-06
Position 127: 4.834233383876987e-06
Position 87: 3.5453419123963633e-06
Position 254: 3.4254697914717184e-06
Position 751: 3.270578693583248e-06
Position 601: 2.979192332919158e-06
Position 762: 2.846477963667001e-06
Position 571: 2.6931956096486417e-06
Position 163: 1.9487711456038347e-06
Position 328: 1.9098281622894835e-06
Position 397: 1.2764751568906707e-06
Position 664: 1.0861317371567448e-06
Position 54: 5.30550966783963e-07
Position 292: 3.0007924249522906e-07
Position 741: 2.3969418319056736e-07
Position 655: 1.359796158672144e-07
Position 684: 9.841206928791075e-08
Position 509: 7.900381786328113e-08
Position 56: 4.8321604733998446e-08
Position 5: 3.851001979434904e-08
Position 307: 8.018936599220035e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.9929168537090343
Position 544: 0.47048230761395077
Position 660: 0.0021781711206927423
Position 562: 0.0018760072730462857
Position 566: 0.0007779594728219817
Position 855: 0.0005089664393832499
Position 269: 0.00045130080970424535
Position 315: 0.0002567232681598883
Position 323: 0.0001168479710845602
Position 638: 6.332859029677042e-05
Position 699: 5.825766370161236e-05
Position 862: 5.654944902981215e-05
Position 868: 1.894206350083023e-05
Position 481: 1.7451011248372425e-05
Position 335: 1.5556326279075062e-05
Position 509: 1.2890965743687093e-05
Position 471: 8.933191932151586e-06
Position 339: 5.362790782273636e-06
Position 684: 5.3373673902469165e-06
Position 277: 2.4352191662546247e-06
Position 506: 2.1732761354334547e-06
Position 571: 2.0010644214031604e-06
Position 163: 1.3783615495105758e-06
Position 717: 1.196856367852465e-06
Position 809: 8.172160121000405e-07
Position 402: 8.12071826852088e-07
Position 288: 7.896171749379747e-07
Position 780: 5.034764754547205e-07
Position 221: 3.848994576812542e-07
Position 576: 1.3018753927067215e-07
Position 813: 1.0746458158275922e-07
Position 408: 1.0316104295656423e-07
Position 342: 9.25257150351421e-08
Position 747: 7.643397236001793e-08
Position 417: 6.02229620211087e-08
Position 184: 5.481969615908207e-08
Position 450: 4.861466327378182e-08
Position 804: 4.390851799928989e-08
Position 363: 3.665661042156809e-08
Position 792: 1.876803432666722e-08
Position 739: 1.8292258127632303e-08
Position 376: 1.6691875326615648e-08
Position 370: 1.4746640287301301e-08
Position 65: 1.2612666675058685e-08
Position 367: 1.0054203344333738e-08
Position 760: 7.291818350753329e-09
Position 732: 7.216078508834109e-09
Position 709: 7.121401650434314e-09
Position 79: 6.590703012211528e-09
Position 133: 5.710000247993962e-09
Position 51: 5.5035761745652895e-09
Position 279: 4.639071144130503e-09
Position 142: 2.9587040140946148e-09
Position 54: 2.8320712020874197e-09
Position 762: 2.4669795707661314e-09
Position 124: 4.705176367063526e-10
Position 76: 4.563842830486993e-10
Position 98: 3.1840360869689457e-10
Position 109: 2.9734511947155193e-10
Position 384: 1.3931634607202956e-10
Position 356: 7.259115301345626e-11
Position 85: 2.41367443720983e-11
Position 95: 1.0633624464005504e-11
Position 92: 3.543438193214482e-12
