Gene = Cdk5alpha
index = 1063
Annotated 5SS: [ 413 1585 2144 2409]
Annotated 3SS: [ 646 2005 2202 2480]
SMsplice 5SS: [ 413 1585 2144 2409]
SMsplice 3SS: [ 646 2005 2202 2480]
Partition function (log Z): -6.293132123607501

Sorted 5' Splice Sites (High to Low Probability):
Position 2409: 0.8987565442425832
Position 1585: 0.8067583981277103
Position 413: 0.788771502679086
Position 2144: 0.4895585927440574
Position 1403: 0.1132610447673107
Position 884: 0.052276874695935095
Position 394: 0.036572487126923486
Position 526: 0.023701003132822817
Position 865: 0.011056095288028636
Position 1623: 0.010347956955605206
Position 241: 0.008496209495698095
Position 1607: 0.006552686714503351
Position 1363: 0.005022026351057056
Position 169: 0.004703850381008426
Position 1825: 0.003708120877177584
Position 429: 0.003091536078623467
Position 188: 0.002425231549995632
Position 299: 0.0019072023180774344
Position 150: 0.001719989160484364
Position 479: 0.0014307018488749022
Position 2149: 0.0013025479612167592
Position 134: 0.0009132110124115683
Position 1444: 0.0008307736311198698
Position 2315: 0.0008109887629147234
Position 2319: 0.0007236364513695164
Position 444: 0.0006618375219806557
Position 289: 0.0005540709496622601
Position 1394: 0.00048547659277176466
Position 234: 0.00047638430661083324
Position 81: 0.00046742993282205864
Position 75: 0.0003076605558691212
Position 2334: 0.00028912636551698464
Position 1594: 0.0002714400403740438
Position 2425: 0.00027055627648629754
Position 600: 0.00024381026542209932
Position 10: 0.0002157824514029526
Position 837: 0.00021171337611687534
Position 481: 0.00020923476411496307
Position 543: 0.000206831242227788
Position 1137: 0.00020598585904078656
Position 2703: 0.00019412970686605302
Position 2708: 0.00017396444114746126
Position 661: 0.00014161500888929432
Position 1837: 0.00014041251170332245
Position 881: 0.00011691569663934856
Position 2397: 0.00011616243018301217
Position 1589: 9.032777075744454e-05
Position 2325: 7.703220534839724e-05
Position 274: 7.126892194764905e-05
Position 2263: 4.683485951624843e-05
Position 1522: 4.394549289966264e-05
Position 1727: 4.228547336305434e-05
Position 186: 4.222644264921052e-05
Position 297: 3.852873971740967e-05
Position 2377: 3.641959348943121e-05
Position 888: 3.577505277177474e-05
Position 1101: 3.421601820800868e-05
Position 2413: 3.1428634043322224e-05
Position 663: 2.8080852349038536e-05
Position 1012: 2.623650245449329e-05
Position 2481: 2.4925709994529006e-05
Position 1384: 2.3923187083552674e-05
Position 2554: 2.152000270986232e-05
Position 2305: 2.1290347499975238e-05
Position 1932: 2.1108864643782125e-05
Position 2507: 2.088308737788552e-05
Position 1576: 2.0023144819444276e-05
Position 1035: 1.8973615702304617e-05
Position 985: 1.8869928592229127e-05
Position 1649: 1.7221176429052662e-05
Position 2494: 1.6882763163287382e-05
Position 1963: 1.6744298320997063e-05
Position 2111: 1.5803246501129714e-05
Position 1918: 1.2865829531991037e-05
Position 898: 1.226800932801207e-05
Position 1182: 1.1094709703251646e-05
Position 1758: 1.0294309672792785e-05
Position 612: 7.595965983444723e-06
Position 220: 6.3714605315101315e-06
Position 207: 6.064626569612125e-06
Position 2167: 5.466961768425716e-06
Position 64: 5.032819694783825e-06
Position 2370: 4.950768672803081e-06
Position 1869: 4.63702051847782e-06
Position 313: 4.577929267034298e-06
Position 1627: 4.488284476320044e-06
Position 251: 4.355691316701731e-06
Position 2470: 4.168716360286072e-06
Position 890: 3.9368209728135264e-06
Position 56: 3.868052648664889e-06
Position 1188: 3.835881190870026e-06
Position 470: 3.7595811191562155e-06
Position 1666: 3.400920378144327e-06
Position 2354: 2.7743380607862264e-06
Position 2661: 2.6746822414710946e-06
Position 2647: 2.300023115486882e-06
Position 1083: 1.9186079450236293e-06
Position 1464: 1.8333207249080973e-06
Position 2233: 1.7431371383148643e-06
Position 2235: 1.672018609415784e-06
Position 2230: 1.6270323026466418e-06
Position 1664: 1.6173190961028584e-06
Position 1197: 1.025916749685643e-06
Position 1533: 1.0062631785033922e-06
Position 1772: 9.945888868110805e-07
Position 2579: 9.37001487941698e-07
Position 2098: 8.731952916277912e-07
Position 702: 8.679495897864238e-07
Position 1760: 7.388886498137543e-07
Position 606: 7.10877458275714e-07
Position 1438: 5.733508029541153e-07
Position 2251: 2.4724493945297205e-07
Position 2058: 2.3885372346808073e-07
Position 2093: 1.745959552306074e-07
Position 2029: 1.7106638774223846e-07
Position 2206: 1.6434099692156048e-07
Position 2609: 1.5485449321192956e-07
Position 2488: 1.419278755267652e-07
Position 2211: 9.10695233303877e-08
Position 2041: 8.646275721364658e-08
Position 2576: 4.789346151393904e-08
Position 2052: 2.936354406290258e-08
Position 2239: 2.7875373152936334e-08
Position 2055: 2.0754446134654368e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2480: 0.9044785321421316
Position 646: 0.8136894668740242
Position 2202: 0.40158880392568297
Position 2005: 0.36799939169704826
Position 1973: 0.2561587529163014
Position 2062: 0.1047883049895866
Position 2224: 0.07646073628192374
Position 2251: 0.055671493739773883
Position 1479: 0.034292526275373936
Position 1649: 0.029697521784122122
Position 1772: 0.026528726899060724
Position 1953: 0.025545010767291286
Position 1938: 0.017723722206414907
Position 804: 0.014688087800583014
Position 1900: 0.0124140714638063
Position 2554: 0.0102367910833836
Position 1425: 0.009931712473418158
Position 915: 0.008510029583130308
Position 1874: 0.007638629177902551
Position 1296: 0.007381875129012557
Position 589: 0.0070414602323477645
Position 465: 0.005879868500009995
Position 1508: 0.005863963554320808
Position 1837: 0.005669837139508056
Position 1669: 0.004400681105154061
Position 1700: 0.004374451827718849
Position 2029: 0.003937962577243979
Position 1494: 0.003924858645301723
Position 1413: 0.0036961568866097283
Position 1924: 0.003678480805248103
Position 292: 0.0035184774033231404
Position 708: 0.0031847502089986765
Position 2383: 0.003026680900064438
Position 526: 0.002973716675916083
Position 1455: 0.002431624674140857
Position 1167: 0.0023437707188918595
Position 1928: 0.0022478256327507144
Position 927: 0.0021695401051392525
Position 1542: 0.002164808260914115
Position 1842: 0.0017532542331408446
Position 1748: 0.0014340112635929934
Position 2614: 0.0013912247886563856
Position 772: 0.0013232532782176277
Position 969: 0.0013167680201826883
Position 1862: 0.0009971148249898003
Position 1560: 0.0009655947457706702
Position 1684: 0.0009343576330971017
Position 2502: 0.0009157394969108415
Position 1619: 0.0008793638866697748
Position 1488: 0.0007794868743974159
Position 1443: 0.0007446086242914807
Position 310: 0.0006468541820051207
Position 1113: 0.0006445925259605482
Position 2183: 0.0006152683485591511
Position 1224: 0.0006123219234993743
Position 1020: 0.0005850459262687175
Position 1727: 0.0005668811443043576
Position 2788: 0.0004759172625853113
Position 1089: 0.00046753519485479564
Position 1092: 0.00046063118263728033
Position 2135: 0.0004212289526557315
Position 1889: 0.00036281474331250783
Position 2106: 0.00033878577989840885
Position 2143: 0.00030424863434368025
Position 2298: 0.00026168837078075294
Position 2740: 0.0002543877398006919
Position 1302: 0.00021990206729638465
Position 2507: 0.00017871846278875357
Position 1260: 0.0001567465957122975
Position 2408: 0.0001466415997825789
Position 377: 0.00012207211671178185
Position 234: 0.00011934884422430622
Position 612: 0.00011596477572789699
Position 2793: 0.00010934303434918879
Position 2676: 0.00010007119032081489
Position 203: 9.93737244073162e-05
Position 1634: 9.748550404315607e-05
Position 2354: 9.091109937327325e-05
Position 1368: 9.061037109085543e-05
Position 1209: 8.97511432031543e-05
Position 444: 8.305936072307671e-05
Position 182: 8.15108181511689e-05
Position 2267: 7.466588690058763e-05
Position 2064: 6.91218638643201e-05
Position 536: 6.720882009012605e-05
Position 1116: 6.649781115869789e-05
Position 2111: 6.521185951810122e-05
Position 1044: 6.462589272939317e-05
Position 1518: 6.456212649239391e-05
Position 1314: 5.704510643256658e-05
Position 1362: 5.687605965482703e-05
Position 1173: 5.5353019896379605e-05
Position 450: 4.7349004552140556e-05
Position 1432: 4.419397068315611e-05
Position 470: 3.789459366826006e-05
Position 1320: 3.256767049514283e-05
Position 758: 2.950576315443585e-05
Position 2121: 2.8348478560073507e-05
Position 68: 2.740593076806009e-05
Position 1308: 2.6791388012255374e-05
Position 1350: 2.6307843800902303e-05
Position 1257: 2.628196871907914e-05
Position 1119: 2.5612053285714157e-05
Position 1527: 2.4605745690018972e-05
Position 861: 2.0877190043621285e-05
Position 2108: 2.0862886578513476e-05
Position 1356: 1.9319900070361026e-05
Position 834: 1.856971782172382e-05
Position 801: 1.7616538088390372e-05
Position 1056: 1.707376186857164e-05
Position 1029: 1.661733938438314e-05
Position 819: 1.6275783355048017e-05
Position 1584: 1.4550079507862226e-05
Position 297: 1.4414985125679946e-05
Position 1137: 1.2594774081813453e-05
Position 876: 1.2260250685288513e-05
Position 240: 1.2142268673187912e-05
Position 2149: 1.1452758883370307e-05
Position 2391: 1.0940101637531038e-05
Position 217: 1.056522519356936e-05
Position 1380: 1.0158994016966631e-05
Position 2397: 9.347951148413127e-06
Position 2259: 9.115958275050713e-06
Position 1623: 8.557176446152141e-06
Position 1272: 8.445210805995667e-06
Position 2152: 8.426613556100957e-06
Position 1739: 8.4043087539073e-06
Position 2275: 7.760491404657187e-06
Position 1344: 7.225257983898876e-06
Position 251: 4.92921742361111e-06
Position 1131: 4.7826437597748435e-06
Position 1053: 4.7775492766681625e-06
Position 2425: 4.432667058603268e-06
Position 1326: 4.172813151379596e-06
Position 1791: 3.926492384875673e-06
Position 1627: 3.2600282211760527e-06
Position 1522: 2.901854669424966e-06
Position 750: 2.8074361740455595e-06
Position 598: 2.7897703721423228e-06
Position 543: 2.4989515828233584e-06
Position 1572: 2.1717390543182086e-06
Position 1332: 2.168345243615527e-06
Position 2535: 2.1138022076862848e-06
Position 828: 2.0796023278268905e-06
Position 114: 1.938376921576613e-06
Position 1125: 1.7488210809759307e-06
Position 1005: 1.5335385428368635e-06
Position 134: 1.4626352462151783e-06
Position 2305: 1.3077570476540527e-06
Position 1338: 7.860357263556585e-07
Position 75: 7.345104027541547e-07
Position 1182: 7.085638084024929e-07
Position 932: 5.155319429239072e-07
Position 837: 5.088731509541385e-07
Position 347: 3.7337147032238265e-07
Position 2283: 3.6058882024414087e-07
Position 412: 3.2727179362382996e-07
Position 888: 2.848924879212859e-07
Position 81: 2.6530272376192885e-07
Position 1026: 2.520049423350784e-07
Position 2640: 2.1248747473255723e-07
