Gene = CIAPIN1
index = 1043
Annotated 5SS: [ 222  808 2287]
Annotated 3SS: [ 310  875 2340]
SMsplice 5SS: [222 808]
SMsplice 3SS: [310 875]
Partition function (log Z): -3.959409792301311

Sorted 5' Splice Sites (High to Low Probability):
Position 808: 0.9745408584254349
Position 222: 0.5612907349243444
Position 1005: 0.20982427572672852
Position 241: 0.20969479126809348
Position 1766: 0.1973682387220174
Position 2287: 0.06552674056768472
Position 1466: 0.03322259852798714
Position 1706: 0.02949777181613268
Position 269: 0.02946816570774424
Position 245: 0.02736485692456095
Position 943: 0.024429862872736494
Position 1074: 0.020428804816852036
Position 829: 0.019706165369854436
Position 951: 0.011946253477562596
Position 243: 0.0076866987001876575
Position 236: 0.005820970017790091
Position 2060: 0.0055647299773080505
Position 1033: 0.0022087274694840052
Position 1745: 0.0019285911617274753
Position 1796: 0.00180894828082016
Position 1343: 0.0015129441509807923
Position 247: 0.0013062430050729892
Position 2242: 0.0012253967449885805
Position 1478: 0.0007283306649897289
Position 226: 0.0006486438234393223
Position 1691: 0.0005385413125661823
Position 1434: 0.0003634394957252498
Position 249: 0.0003108585577985155
Position 1457: 0.00030446659452381216
Position 1929: 0.0003023370931241879
Position 231: 0.0003011386061082728
Position 2245: 0.0002864834192431969
Position 1220: 0.0002330665264725958
Position 21: 0.00023114717308772638
Position 1916: 0.00016468053613848935
Position 203: 0.00015953782219761475
Position 1302: 0.00015623662398657183
Position 1934: 0.00015197095171653923
Position 47: 0.0001447806027420885
Position 1304: 0.00014048871740679665
Position 792: 0.00011419600152459279
Position 1682: 0.00010813113165143032
Position 1548: 0.00010696769815762954
Position 1526: 9.880120276568067e-05
Position 1502: 8.705296253586637e-05
Position 1418: 8.607046108403477e-05
Position 376: 8.473694072128651e-05
Position 1111: 8.256187102715451e-05
Position 1504: 8.03831398672956e-05
Position 552: 7.696288764627674e-05
Position 2250: 6.79485666903838e-05
Position 1260: 6.6367777899072e-05
Position 2448: 5.294557935888382e-05
Position 1392: 5.129396473069373e-05
Position 37: 4.847398115051132e-05
Position 1410: 4.5484220529351094e-05
Position 2072: 4.42739915115506e-05
Position 1730: 3.9699690500844125e-05
Position 1640: 3.085230894324125e-05
Position 371: 3.0640953890000664e-05
Position 434: 2.9375030342273916e-05
Position 1694: 2.9325122644203225e-05
Position 1898: 2.8337075112935067e-05
Position 1213: 2.366828905446689e-05
Position 1129: 2.201569186823139e-05
Position 2383: 2.2015376686478157e-05
Position 273: 2.0211182189125877e-05
Position 2236: 1.9460980142549683e-05
Position 1973: 1.8210562250951082e-05
Position 1271: 1.6443815187350926e-05
Position 2139: 1.5224270755504638e-05
Position 1147: 1.5159868831889958e-05
Position 254: 1.4304068756382187e-05
Position 2225: 1.3410607978879074e-05
Position 1341: 1.3300447249980357e-05
Position 1193: 1.2498277244113175e-05
Position 1834: 1.1697200884294376e-05
Position 1948: 1.0200095808044365e-05
Position 685: 1.0124320560461728e-05
Position 102: 9.44440912633721e-06
Position 1241: 9.003475343434412e-06
Position 1497: 8.206967700849415e-06
Position 833: 7.861349530196229e-06
Position 1230: 7.415874346669807e-06
Position 1332: 7.288831010068805e-06
Position 155: 7.25904131573925e-06
Position 2407: 7.080865631980499e-06
Position 812: 6.756554534312331e-06
Position 188: 6.235281604296651e-06
