Gene = Mis12
index = 1280
Annotated 5SS: [184 540]
Annotated 3SS: [246 651]
SMsplice 5SS: [184 540]
SMsplice 3SS: [246 651]
Partition function (log Z): 3.2419657649009954

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.9910324059219731
Position 540: 0.9451091935794427
Position 20: 0.04143918440897816
Position 509: 0.04070691708332816
Position 570: 0.01178470221765489
Position 74: 0.007711545254680661
Position 547: 0.0010591055308447853
Position 802: 0.0005422627262965401
Position 6: 0.00028244488728088475
Position 55: 0.0002224891685469427
Position 458: 0.0002070582385496422
Position 853: 9.957846247779262e-05
Position 66: 8.615441222148605e-05
Position 188: 7.254351181110905e-05
Position 49: 3.9536978763507934e-05
Position 473: 2.9501517371428764e-05
Position 280: 2.6971083559595966e-05
Position 170: 1.4003334911728194e-05
Position 907: 1.3201354357306898e-05
Position 417: 1.1597523149050045e-05
Position 286: 1.084025630174378e-05
Position 893: 1.0719444469592364e-05
Position 358: 9.565763296957831e-06
Position 361: 8.064827485081908e-06
Position 693: 7.017186640287483e-06
Position 745: 6.265702337074045e-06
Position 98: 6.096905650113306e-06
Position 173: 6.091954234748489e-06
Position 217: 4.4946364729014034e-06
Position 351: 3.333302522709699e-06
Position 258: 2.8722726364259215e-06
Position 438: 2.7695442407731203e-06
Position 419: 2.2161074315887834e-06
Position 462: 2.154130990095112e-06
Position 426: 1.4739723005205035e-06
Position 101: 2.212776926940821e-07
Position 146: 1.9999087906135826e-07
Position 108: 2.709543285970883e-08
Position 620: 8.55277725871229e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 651: 0.9982578891871258
Position 246: 0.960848969075221
Position 66: 0.024565229824672793
Position 127: 0.018348728144446165
Position 263: 0.015488698261979484
Position 290: 0.012008358516786074
Position 132: 0.003331511942509164
Position 162: 0.0019533261896770107
Position 368: 0.0015674356464020524
Position 321: 0.0015104234209963852
Position 678: 0.0011085044758841946
Position 893: 0.0004346713013346648
Position 143: 0.0002912713027106593
Position 970: 0.0002822363435423256
Position 604: 0.0001443886637823521
Position 278: 9.54712056879746e-05
Position 275: 8.598615607359078e-05
Position 146: 7.550509469686313e-05
Position 302: 5.7622982355989345e-05
Position 308: 2.339626602716469e-05
Position 344: 1.1505104325165185e-05
Position 170: 1.0849317231845125e-05
Position 400: 1.0788693891812784e-05
Position 720: 8.56060854337184e-06
Position 853: 7.546800038328073e-06
Position 473: 6.099851784490361e-06
Position 347: 5.648114676066303e-06
Position 383: 5.263834284736862e-06
Position 750: 4.450051960924755e-06
Position 336: 3.2934682627703686e-06
Position 925: 2.539734881686322e-06
Position 693: 2.3608826408326667e-06
Position 813: 2.3474027669043998e-06
Position 180: 2.1833118889172675e-06
Position 723: 1.94543339617172e-06
Position 412: 1.629249012487425e-06
Position 738: 1.3153004584342426e-06
Position 690: 1.1153305445285072e-06
Position 393: 9.524530231980942e-07
Position 907: 9.269141916481809e-07
Position 215: 9.091989800413022e-07
Position 452: 7.50216198361268e-07
Position 684: 6.259506755710379e-07
Position 486: 3.882203355516054e-07
Position 726: 3.1677909788758234e-07
Position 708: 1.38078382585311e-07
Position 780: 1.3373599698224996e-07
Position 687: 1.2315655132888305e-07
Position 341: 1.1554141778344248e-07
Position 417: 1.035811695948009e-07
Position 494: 5.3255064550364895e-08
Position 802: 4.844077228646048e-08
Position 481: 4.209189660880409e-08
Position 755: 3.843148318634587e-08
Position 491: 2.8221054649109878e-08
Position 488: 1.9711068546480927e-08
Position 497: 1.303076714183782e-08
Position 550: 8.690532455745326e-09
Position 535: 7.4259058506028744e-09
Position 188: 3.662185221215027e-09
Position 819: 2.59585411603582e-09
Position 467: 1.803002190341795e-09
Position 500: 1.3035975928203285e-09
Position 515: 1.0946953215236154e-09
Position 822: 5.961113729106652e-10
Position 524: 5.769154183595359e-10
Position 786: 3.93103238936663e-10
Position 825: 3.579882951102132e-10
Position 356: 2.4724704550510783e-10
Position 508: 1.459191862980757e-10
Position 504: 2.0959562953734642e-11
Position 182: 7.420671501524438e-12
Position 518: 2.826387753016259e-13
Position 537: 1.0482914180277505e-13
Position 539: 3.830186256874106e-14
