Gene = holn1
index = 1730
Annotated 5SS: [195 447]
Annotated 3SS: [253 511]
SMsplice 5SS: [195 447]
SMsplice 3SS: [253 511]
Partition function (log Z): 2.251056267229163

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.9987048608953545
Position 447: 0.9841966780327117
Position 681: 0.13288271669593138
Position 22: 0.024407075665552436
Position 422: 0.00629118032987847
Position 441: 0.0048552037341460215
Position 832: 0.002362892836277935
Position 1114: 0.0021200035087210883
Position 324: 0.0015135776949757491
Position 1106: 0.0005557150685113966
Position 629: 0.000493540065333782
Position 907: 0.00037956059534960596
Position 995: 0.00017718561498081777
Position 887: 0.00017386097784673375
Position 587: 0.00013944227500445815
Position 634: 8.211183074002037e-05
Position 1171: 8.185500484450413e-05
Position 1100: 2.2483756230190466e-05
Position 656: 1.388999677144111e-05
Position 740: 1.1539620882698754e-05
Position 1191: 1.0251513068344882e-05
Position 1165: 8.06426742014803e-06
Position 209: 7.319100626792064e-06
Position 1006: 6.586223965136956e-06
Position 127: 6.374215353293611e-06
Position 318: 4.125173272088265e-06
Position 1205: 4.049852438679244e-06
Position 1181: 3.5554354328382806e-06
Position 695: 2.5407271395359228e-06
Position 471: 2.4518999207980007e-06
Position 955: 2.1990172173644784e-06
Position 675: 2.004210604834134e-06
Position 960: 1.6926544429127693e-06
Position 379: 1.5938542196868249e-06
Position 1063: 1.5911725392742548e-06
Position 607: 7.589344968201658e-07
Position 306: 6.09221578395493e-07
Position 1015: 5.914763028702094e-07
Position 297: 3.1363184710135036e-07
Position 67: 1.2281682507439637e-07
Position 38: 5.5339909850429376e-08
Position 1215: 4.086058495043489e-08
Position 1072: 3.796647343596952e-08
Position 225: 1.055980271237803e-08
Position 1233: 7.984604628431455e-09
Position 72: 7.317192349115881e-09
Position 79: 7.078933470761738e-09
Position 246: 1.4870056414098657e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9980723072830999
Position 511: 0.9806591496468379
Position 914: 0.057788848448590495
Position 67: 0.022891745225572118
Position 757: 0.02239541892415867
Position 751: 0.015421863039157251
Position 523: 0.012843940616123858
Position 1174: 0.009788729568686826
Position 826: 0.006322795429230878
Position 769: 0.006195833329858971
Position 992: 0.006054481516352153
Position 730: 0.004365063489739319
Position 802: 0.004169405523820616
Position 932: 0.0018025056251801874
Position 712: 0.001429290547774358
Position 494: 0.0012968009111559394
Position 1266: 0.0009305055472810482
Position 104: 0.0007378317006185979
Position 869: 0.0006557078196494152
Position 1277: 0.0006116559836973252
Position 966: 0.0005673988648909148
Position 1078: 0.0005189425723478343
Position 890: 0.0004704091064902977
Position 724: 0.00043805969783378054
Position 344: 0.00043438572080396336
Position 271: 0.00039885575368449864
Position 79: 0.00032407421460486116
Position 1021: 0.0002993830985702371
Position 526: 0.0002876982214546311
Position 778: 0.00018936190022289547
Position 1264: 0.00016021982938299104
Position 1039: 0.00013306410561919046
Position 949: 0.00011884014433243837
Position 401: 0.00010216017009144939
Position 108: 7.147001062748162e-05
Position 123: 7.067684177416724e-05
Position 548: 5.973489264624395e-05
Position 1154: 4.875449818457531e-05
Position 147: 3.6203619090443866e-05
Position 398: 3.172530684880165e-05
Position 840: 3.1530830334349236e-05
Position 574: 2.7963665832153854e-05
Position 673: 2.7545363517630797e-05
Position 1181: 2.5291546515769677e-05
Position 688: 2.425938442721595e-05
Position 1081: 2.2685524289263663e-05
Position 281: 2.0372756303871564e-05
Position 940: 2.0266500765720122e-05
Position 1143: 2.004364866538442e-05
Position 571: 1.3247664652545961e-05
Position 375: 1.279462874849855e-05
Position 323: 1.2450735872867328e-05
Position 994: 1.2264138823929049e-05
Position 577: 1.0896631238163914e-05
Position 1057: 6.6115992275854296e-06
Position 847: 6.299327254155664e-06
Position 1027: 6.136334038560787e-06
Position 887: 5.7059294859450795e-06
Position 853: 5.269915849060219e-06
Position 115: 4.499432338236165e-06
Position 790: 4.3772194140096855e-06
Position 127: 2.629699310714557e-06
Position 685: 1.9181384656550004e-06
Position 554: 1.8373013263614198e-06
Position 348: 1.203416662028154e-06
Position 876: 1.1538207796594922e-06
Position 1006: 1.0347231347087032e-06
Position 435: 9.491675592196541e-07
Position 1114: 9.39976133040927e-07
Position 714: 9.259680189273392e-07
Position 595: 6.651222929523743e-07
Position 290: 6.591926121056726e-07
Position 172: 5.701649859556552e-07
Position 135: 5.623515836502805e-07
Position 293: 3.401485196243233e-07
Position 634: 2.7927540374991866e-07
Position 356: 1.7393527101757178e-07
Position 960: 1.6762272698833393e-07
Position 413: 1.4262097636561103e-07
Position 174: 9.910511059631543e-08
Position 133: 8.230313066457603e-08
Position 721: 5.5703319710913355e-08
Position 661: 5.311613618959555e-08
Position 98: 2.2509232449285328e-08
Position 194: 2.110406483589347e-08
Position 451: 9.410185162100837e-09
Position 447: 8.667511215140848e-09
Position 312: 7.48271024488895e-09
Position 306: 6.749310210610837e-09
Position 650: 6.034329817032807e-09
Position 408: 1.6927760335383686e-09
Position 1100: 1.445914348192013e-10
Position 652: 1.4110713521398863e-12
Position 359: 5.494707517100308e-16
