Gene = nesd
index = 1816
Annotated 5SS: [ 382 1968]
Annotated 3SS: [ 466 2030]
SMsplice 5SS: [  10  382 1968]
SMsplice 3SS: [  78  466 2030]
Partition function (log Z): -3.586217282929713

Sorted 5' Splice Sites (High to Low Probability):
Position 382: 0.9728534598907347
Position 1968: 0.8983456013652652
Position 10: 0.6275301882927956
Position 29: 0.022918710061322737
Position 14: 0.01318001303940529
Position 580: 0.01036097519170728
Position 1679: 0.010208638542070285
Position 629: 0.009473689608811607
Position 333: 0.005665735056006911
Position 2054: 0.005098084992362384
Position 556: 0.002407330282326203
Position 1216: 0.0015057767620649458
Position 1243: 0.0008979475089176611
Position 979: 0.0008547118460528939
Position 1840: 0.00073224759996008
Position 1741: 0.0006713058425787655
Position 822: 0.000504604804066899
Position 589: 0.00043135448936366944
Position 1321: 0.0003709753469473988
Position 1507: 0.0003148733991336517
Position 1540: 0.0002974495055606148
Position 809: 0.00029283495823923493
Position 1361: 0.00023536086273056559
Position 2188: 0.00023536082274694777
Position 161: 0.00022764489003505796
Position 1982: 0.00020756562092065874
Position 851: 0.00015883081680761172
Position 637: 0.00013892047395298583
Position 1853: 0.0001298272853862353
Position 820: 0.00012022593025137691
Position 1718: 0.00010626896990685708
Position 691: 9.967875059557616e-05
Position 787: 9.591059665723685e-05
Position 1705: 8.337228475647861e-05
Position 1985: 6.890883331575951e-05
Position 1939: 6.67058939676172e-05
Position 646: 6.282747059544064e-05
Position 1933: 5.773385678076768e-05
Position 1240: 5.260172046051109e-05
Position 742: 4.5112695527380256e-05
Position 1101: 4.0732017383004706e-05
Position 586: 3.697009912081702e-05
Position 726: 3.504895800332276e-05
Position 855: 3.007208237874584e-05
Position 357: 2.867910773336795e-05
Position 1051: 2.848548973311928e-05
Position 1152: 2.5764364826187034e-05
Position 128: 2.339677208011055e-05
Position 1303: 2.3111680264993783e-05
Position 1860: 2.1504350072015487e-05
Position 1818: 2.0849771330863076e-05
Position 1684: 1.9694082030577265e-05
Position 79: 1.4429994900981925e-05
Position 664: 1.4404791662233191e-05
Position 100: 1.3665740362927329e-05
Position 1504: 1.3214362777166657e-05
Position 1595: 1.2926183975080919e-05
Position 935: 1.2226057280438191e-05
