Gene = Sfp78E
index = 1495
Annotated 5SS: [378]
Annotated 3SS: [439]
SMsplice 5SS: [362]
SMsplice 3SS: [439]
Partition function (log Z): -6.453178629874408

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.6300251296145691
Position 24: 0.336212556882266
Position 266: 0.26714153197891805
Position 378: 0.17247454783063848
Position 272: 0.09130293179103338
Position 711: 0.023374769472336066
Position 604: 0.017380928044391345
Position 763: 0.015961209624587518
Position 41: 0.013581018135914835
Position 192: 0.013172675925857923
Position 496: 0.007972556674651418
Position 227: 0.006140158121538293
Position 376: 0.006132544853828489
Position 683: 0.005598831811476981
Position 263: 0.002944454658649034
Position 491: 0.0023068940939971485
Position 699: 0.0016394272373165667
Position 779: 0.0014467394663816226
Position 57: 0.0006629059853831996
Position 86: 0.0004627205644080311
Position 55: 0.0003825649099217742
Position 460: 0.0002033694495882077
Position 399: 0.00016379872655420397
Position 31: 0.0001516203228170464
Position 664: 0.00011323083229523826
Position 443: 0.00010601314501825095
Position 505: 8.463468662472236e-05
Position 477: 7.538138903375115e-05
Position 165: 6.0896077997351986e-05
Position 301: 5.745400462152209e-05
Position 88: 5.0747508745177754e-05
Position 855: 3.899547599887229e-05
Position 872: 3.70442239962667e-05
Position 151: 3.396714420321978e-05
Position 289: 3.235766947229391e-05
Position 578: 3.152515400747789e-05
Position 576: 3.0311399888898045e-05
Position 280: 2.5191334436971548e-05
Position 720: 2.232704996481292e-05
Position 465: 1.9904090384942506e-05
Position 549: 1.8848134239794607e-05
Position 827: 1.822842978287232e-05
Position 402: 1.3148473192819884e-05
Position 77: 1.2743811430269349e-05
Position 625: 1.073419815557219e-05
Position 616: 7.290302852261834e-06
Position 840: 5.50091473152338e-06
Position 747: 5.3252880997815884e-06
Position 418: 4.934080072770087e-06
Position 230: 4.921555794152894e-06
Position 96: 4.884788129168225e-06
Position 101: 2.8065478009610905e-06
Position 452: 2.6650217893929505e-06
Position 876: 1.4633915307836722e-06
Position 860: 6.422938488884886e-07
Position 889: 4.0935512671365295e-07
Position 811: 4.27062443154088e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 439: 0.8823786888748258
Position 316: 0.2641231618221044
Position 83: 0.14651711313066026
Position 77: 0.09291891753247326
Position 320: 0.0679558557744798
Position 843: 0.054782178623363494
Position 125: 0.04999819640500878
Position 146: 0.011817150498030525
Position 660: 0.01165126216768213
Position 230: 0.008247297312727775
Position 165: 0.006979206835630355
Position 762: 0.005463654392851343
Position 601: 0.004235092697773802
Position 528: 0.0035944565519614867
Position 883: 0.0011065715724840172
Position 901: 0.0007821800838182188
Position 495: 0.0007458837032775135
Position 698: 0.000633364568721352
Position 923: 0.0006266846181386993
Position 171: 0.00046934415798196595
Position 570: 0.00039331423111617976
Position 872: 0.0003658416295857559
Position 860: 0.00035739767657284795
Position 143: 0.00035185534704083854
Position 612: 0.0002454321301301825
Position 664: 0.00023227231128836648
Position 504: 0.00014223605472417532
Position 675: 0.00014218369488182796
Position 326: 0.00012298268198655487
Position 939: 0.00011856825396660013
Position 477: 8.746898660778703e-05
Position 187: 7.107813721768487e-05
Position 513: 3.880696513815532e-05
Position 356: 2.8803415917800928e-05
Position 270: 2.0210348436309375e-05
Position 289: 8.26025195818952e-06
Position 173: 4.67746657322623e-06
Position 191: 3.980413425349791e-06
Position 616: 3.105633951837632e-06
Position 367: 2.9156790405000252e-06
Position 402: 1.4180115827911789e-06
Position 370: 7.622851935763124e-07
Position 711: 3.9694521055820446e-07
Position 376: 1.6122156936505342e-07
Position 343: 5.454089128407835e-08
Position 399: 9.229841751791072e-09
Position 537: 1.721270116260423e-09
Position 197: 6.742111127013765e-11
