Gene = Arpc1
index = 25
Annotated 5SS: [ 32 396]
Annotated 3SS: [ 97 464]
SMsplice 5SS: [396]
SMsplice 3SS: [464]
Partition function (log Z): -5.1162854108189455

Sorted 5' Splice Sites (High to Low Probability):
Position 396: 0.998229030088614
Position 796: 0.007707231625176985
Position 32: 0.004574564883162095
Position 740: 0.003586419056364485
Position 602: 0.0032089469262721994
Position 152: 0.0021747869918118173
Position 400: 0.001610099855956525
Position 899: 0.0009691974200470661
Position 1056: 0.0007226334626368949
Position 621: 0.0006180638374406825
Position 733: 0.00022521527730715165
Position 744: 0.00014139469296799373
Position 1172: 0.00014039626715871395
Position 1073: 0.0001322704146627796
Position 1091: 0.000105761848597283
Position 269: 9.20832005476753e-05
Position 1064: 8.111418347249254e-05
Position 712: 7.412294052403319e-05
Position 1037: 6.725787312661452e-05
Position 1597: 6.53871655899318e-05
Position 1572: 4.2552669394493654e-05
Position 670: 3.6767283055536226e-05
Position 1250: 3.6508719268910115e-05
Position 430: 2.445662258464779e-05
Position 266: 1.90037405835529e-05
Position 1124: 1.7616535749054185e-05
Position 428: 1.6254276589000862e-05
Position 1405: 1.5683164787376018e-05
Position 632: 1.5199486308973322e-05
Position 1560: 1.4940389310282605e-05
Position 1564: 1.466001766425537e-05
Position 955: 1.3916653145174842e-05
Position 44: 1.084723254953264e-05
Position 1273: 1.0710409678724375e-05
Position 658: 1.0691855881409385e-05
Position 767: 8.57494628032864e-06
Position 264: 8.520820533561915e-06
Position 1361: 8.37470373437016e-06
Position 1183: 7.95053227268939e-06
Position 13: 6.605876206874008e-06
Position 136: 5.61283041143036e-06
Position 1646: 5.3561387706394405e-06
Position 1552: 4.565932197626051e-06
Position 707: 3.5396109344452526e-06
Position 674: 3.4841770428135027e-06
Position 836: 2.8967230014474516e-06
Position 1525: 2.7124862470770263e-06
Position 1641: 2.666922275193534e-06
Position 715: 2.3796244228016196e-06
Position 563: 2.3490055742462075e-06
Position 539: 2.32594670408232e-06
Position 800: 2.256290282289865e-06
Position 1554: 1.9377488855946814e-06
Position 1193: 1.9261531324538467e-06
Position 994: 1.8795184351180317e-06
Position 1017: 1.5782254663853905e-06
Position 1190: 1.5706618560931482e-06
Position 769: 1.507622064994424e-06
Position 1684: 1.4694822446972666e-06
Position 1209: 1.350335785120069e-06
Position 1466: 1.2803977521047385e-06
Position 1227: 1.2474342520871238e-06
Position 781: 1.1764944842210157e-06
Position 1547: 1.1297480218345328e-06
Position 802: 1.0453132409972455e-06
Position 1436: 8.79860433170736e-07
Position 1364: 8.537484687686486e-07
Position 609: 8.472920486161368e-07
Position 1321: 6.191901694889344e-07
Position 1397: 5.690756168127634e-07
Position 1611: 5.289526352981175e-07
Position 866: 5.250471182683081e-07
Position 1636: 4.850159442572707e-07
Position 138: 4.3199579373670324e-07
Position 64: 4.200597211913918e-07
Position 1187: 4.0947893184756777e-07
Position 1574: 3.501688137074068e-07
Position 1478: 2.2812694118284804e-07
Position 1288: 2.2483359467985527e-07
Position 1723: 1.7353475213684873e-07
Position 905: 1.3796255821347704e-07
Position 1159: 1.3025537470233868e-07
Position 1576: 1.1394995920405928e-07
Position 1211: 1.0086879411840011e-07
Position 1451: 4.0399003393264144e-08
Position 634: 2.9471822389303695e-08
Position 1438: 6.948502383400531e-09

