Gene = Nle
index = 1323
Annotated 5SS: [1033 1442 1624]
Annotated 3SS: [1090 1496 1682]
SMsplice 5SS: [1033 1442 1624]
SMsplice 3SS: [1090 1496 1682]
Partition function (log Z): 5.428036123629464

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9978160799901385
Position 1033: 0.9910849497973306
Position 1442: 0.9801800448473822
Position 1212: 0.04011987331080952
Position 369: 0.006406613675101681
Position 483: 0.00478072042218057
Position 1305: 0.004117026920772404
Position 311: 0.0033006821944909052
Position 825: 0.0030320474412819124
Position 542: 0.002928262866922703
Position 1334: 0.0024748793249693038
Position 205: 0.0017188380078051932
Position 581: 0.001357530297693505
Position 1273: 0.0013211235552155695
Position 1309: 0.0013114850102370838
Position 1613: 0.001306941447846539
Position 939: 0.0012371613976993657
Position 551: 0.0011415245323290748
Position 1024: 0.0009878193333395034
Position 330: 0.0006206650026791196
Position 491: 0.0004766689173605571
Position 1450: 0.0004589310770724866
Position 634: 0.00041862862453202743
Position 768: 0.00041133329852394737
Position 448: 0.00037072304817850464
Position 469: 0.00030905798249046947
Position 532: 0.00029111421967487674
Position 20: 0.00028608652035130107
Position 344: 0.00023838792490453675
Position 658: 0.0001887007072866657
Position 1389: 0.00018219977228322315
Position 698: 0.00018152003248200427
Position 996: 0.00017406645657403337
Position 1628: 0.0001546037035531521
Position 1243: 0.00011776833642327982
Position 378: 0.00011352903687283937
Position 360: 0.00010973142241155511
Position 816: 0.00010691634861734607
Position 420: 0.00010255542780621376
Position 1147: 7.749621534085472e-05
Position 1634: 7.734127871982172e-05
Position 1255: 7.312682925640724e-05
Position 1246: 6.764682732021881e-05
Position 342: 6.386764185042667e-05
Position 1381: 5.9325923618515855e-05
Position 463: 5.110999095051572e-05
Position 299: 4.369171071109922e-05
Position 555: 3.87130417975974e-05
Position 716: 2.7237910548906325e-05
Position 782: 2.1975203342130764e-05
Position 1166: 2.195072090627545e-05
Position 261: 1.6971587347436946e-05
Position 423: 1.4966218817772015e-05
Position 739: 1.4699866126542902e-05
Position 1216: 1.4226835173744526e-05
Position 1599: 1.4152948760306261e-05
Position 835: 1.3175480549481333e-05
Position 1363: 1.1436273896748798e-05
Position 30: 1.0945835231435146e-05
Position 1411: 1.0916319263523752e-05
Position 1338: 1.0677521161958478e-05
Position 1313: 1.0499979953838547e-05
Position 592: 1.0237316635830377e-05
Position 59: 9.298150485378099e-06
Position 546: 9.030901590305323e-06
Position 315: 5.153915942500254e-06
Position 1453: 4.871017243326569e-06
Position 394: 3.4659841464518593e-06
Position 1287: 2.9454713017656153e-06
Position 982: 2.0345836925276123e-06
Position 254: 1.8903355633987739e-06
Position 876: 1.7466142211371937e-06
Position 1063: 1.7338169997479995e-06
Position 1159: 1.1372491829785837e-06
Position 1589: 9.107421227188275e-07
Position 42: 5.64512990790108e-07
Position 1191: 5.507499328554393e-07
Position 1358: 4.794051091978571e-07
Position 1372: 3.975350140951857e-07
Position 1132: 3.5046548499730905e-07
Position 135: 3.0588280886851413e-07
Position 1642: 3.0460189940494e-07
Position 917: 3.0210732269368745e-07
Position 969: 1.9759629850241162e-07
Position 32: 1.5616453327561493e-07
Position 908: 1.5032565578310654e-07
Position 1152: 1.4894840065371725e-07
Position 1317: 1.3604236551646497e-07
Position 1553: 9.908410521284469e-08
Position 1672: 3.398984031085631e-08
Position 1555: 1.4361525504884868e-08
Position 1134: 7.858957702413378e-09
Position 1562: 6.117749944082666e-09
Position 1082: 4.327422193538301e-09
Position 884: 3.761405471927405e-09
Position 1459: 3.7486423648474274e-09
Position 1503: 4.415895426038458e-11
Position 1496: 1.717279287817135e-11
Position 1505: 6.400661870801342e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1682: 0.9991640171728182
Position 1496: 0.9961885724689448
Position 1090: 0.9537548091753575
Position 1104: 0.03766392968303288
Position 1278: 0.02481448111492249
Position 867: 0.010577891727234527
Position 439: 0.006767652725050151
Position 1368: 0.005832036928529361
Position 531: 0.00569225197791996
Position 876: 0.002123118681101079
Position 1305: 0.0018361636623744765
Position 1076: 0.001349191123715434
Position 1128: 0.0008627662049421031
Position 1309: 0.0008490868513665666
Position 507: 0.0006202577926080678
Position 1510: 0.0005722007183929824
Position 1503: 0.000536348281931607
Position 1119: 0.0004177547286684601
Position 822: 0.0003503250671223718
Position 825: 0.0003297062287821906
Position 739: 0.00026452797267415923
Position 1001: 0.0002442600143903857
Position 1516: 0.00019917879829667746
Position 1721: 0.00018498173900474796
Position 74: 0.00017783625365716839
Position 894: 0.00016776253321337
Position 629: 0.00012669064721668706
Position 356: 0.00012458860525157227
Position 1528: 0.0001181984418374652
Position 881: 9.742115600979338e-05
Position 721: 8.789077111636346e-05
Position 668: 6.372917703638142e-05
Position 378: 6.36718731222974e-05
Position 83: 6.282381207258441e-05
Position 350: 6.072312196556427e-05
Position 1421: 5.947190536511224e-05
Position 641: 4.003886799374359e-05
Position 463: 3.598460368386035e-05
Position 1095: 3.485272761595552e-05
Position 275: 2.6053765918485647e-05
Position 1467: 2.5711115325952382e-05
Position 1732: 2.2333746145546808e-05
Position 1078: 2.088264021952387e-05
Position 542: 1.9365431443619107e-05
Position 716: 1.9308353598407508e-05
Position 369: 1.8487416145204384e-05
Position 1328: 1.2713996699083433e-05
Position 744: 9.508521214117081e-06
Position 125: 8.047274893414788e-06
Position 1231: 8.039908460365759e-06
