Gene = Hmgcl
index = 1213
Annotated 5SS: [111]
Annotated 3SS: [169]
SMsplice 5SS: [111]
SMsplice 3SS: [169]
Partition function (log Z): -6.597371132161502

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.9982549756694534
Position 41: 0.0025562341653164733
Position 332: 0.0015711506222360553
Position 1088: 0.0012511474437532939
Position 1055: 0.001065704220205083
Position 46: 0.0006109442236020828
Position 518: 0.00046795106772168116
Position 1093: 0.00044912100751775576
Position 402: 0.0003917116416621771
Position 1015: 0.00034275793853563854
Position 200: 0.0002568523039892261
Position 473: 0.00021093527526136553
Position 764: 0.00018211487823578914
Position 215: 0.00017859778102927802
Position 819: 0.00013210978256100573
Position 395: 0.00011973766017429127
Position 1007: 7.488282552206052e-05
Position 231: 5.230538109081737e-05
Position 73: 5.0807834939507205e-05
Position 665: 4.483098077876381e-05
Position 628: 3.970885142049781e-05
Position 347: 3.4906138472462034e-05
Position 502: 3.466144729631918e-05
Position 374: 2.39509352601472e-05
Position 585: 1.7218726858663953e-05
Position 947: 1.644370857678608e-05
Position 679: 1.571331280122313e-05
Position 668: 1.56648359036042e-05
Position 773: 1.5424023570203362e-05
Position 636: 1.1673631630123411e-05
Position 292: 1.028698959356432e-05
Position 479: 8.33381175719014e-06
Position 614: 7.246057505765664e-06
Position 723: 6.734695058836694e-06
Position 1149: 4.691242968477652e-06
Position 1194: 4.595352630899225e-06
Position 617: 4.566198588619034e-06
Position 1048: 3.6954508101903564e-06
Position 1199: 3.4382746443527262e-06
Position 866: 3.2817249857282986e-06
Position 944: 2.8506983997067354e-06
Position 983: 2.327633851891214e-06
Position 919: 2.045759994253829e-06
Position 1171: 1.9059095117794907e-06
Position 869: 1.5154692350139056e-06
Position 1066: 1.4382615948291092e-06
Position 10: 1.0887796915479248e-06
Position 881: 8.997894234852261e-07
Position 651: 7.543434644152175e-07
Position 725: 6.39551441638743e-07
Position 659: 5.193353734237899e-07
Position 447: 5.073506333632142e-07
Position 587: 4.934377553561558e-07
Position 1184: 3.966238009676435e-07
Position 209: 2.4824810939128056e-07
Position 605: 2.1749013683186792e-07
Position 179: 1.6084806237353383e-07
Position 593: 1.4417152495409153e-07
Position 641: 1.2148071937835047e-07
Position 797: 7.052407404248578e-08
Position 776: 6.875708129768303e-08
Position 560: 6.734945635346836e-08
Position 842: 6.373644964343424e-08
Position 416: 6.221536348989032e-08
Position 656: 4.701408970211167e-08
Position 900: 3.1860859182139964e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 169: 0.9970394738638607
Position 1184: 0.003627757955919345
Position 105: 0.0029490808535900972
Position 572: 0.0011011738474209737
Position 1247: 0.0009085110880135834
Position 302: 0.0007269121714900783
Position 199: 0.0005996842745286689
Position 395: 0.00043192795893150297
Position 436: 0.000320218527091291
Position 533: 0.0001396592314197011
Position 737: 0.00010929947906902714
Position 823: 9.700485682048858e-05
Position 263: 7.077681488838725e-05
Position 383: 4.5775899147441935e-05
Position 569: 4.4386102102344915e-05
Position 186: 3.592013182028492e-05
Position 514: 3.218932665507837e-05
Position 355: 2.4660732183709524e-05
Position 457: 2.4380796022127155e-05
Position 416: 2.4096776962305207e-05
Position 1149: 2.3772623235763936e-05
Position 700: 2.2273525708256537e-05
Position 317: 2.002565506528892e-05
Position 1143: 1.8963598056273454e-05
Position 1038: 1.7042961882029343e-05
Position 1132: 1.4693276920405997e-05
Position 992: 1.3249151816838497e-05
Position 788: 1.0085987172456532e-05
Position 327: 8.58754583810399e-06
Position 1189: 8.156623489515279e-06
Position 1007: 7.278837275875851e-06
Position 408: 5.723742412949838e-06
Position 913: 4.939380585653056e-06
Position 923: 4.869575021078967e-06
Position 445: 4.82914503285528e-06
Position 1046: 4.168130552276906e-06
Position 772: 3.969572089102062e-06
Position 110: 3.3132953273494013e-06
Position 320: 3.1580201419480054e-06
Position 665: 2.9435059328113582e-06
Position 1081: 2.891724950302822e-06
Position 214: 1.6076086185139173e-06
Position 580: 1.4367285771224714e-06
Position 1273: 1.149972194354419e-06
Position 932: 9.786789014734788e-07
Position 374: 7.017293917294271e-07
Position 63: 6.913651577917517e-07
Position 651: 3.1997112879182343e-07
Position 1192: 2.2073130502498659e-07
Position 634: 2.109311560371507e-07
Position 831: 1.4988067402406773e-07
Position 1072: 1.3117408758849084e-07
Position 763: 8.450270759910211e-08
Position 271: 7.581509519365288e-08
Position 1054: 5.295381191509337e-08
Position 244: 2.9604203086058157e-08
Position 1105: 2.2803381740383212e-08
Position 674: 2.2231348091813006e-08
Position 538: 1.8754369904627554e-08
Position 1199: 1.4812489379106845e-08
Position 447: 1.3607221954174568e-08
Position 1262: 1.1572934966947528e-08
Position 469: 5.9149274149832365e-09
Position 1064: 4.559903256241711e-09
Position 1093: 4.3913358140544394e-09
Position 472: 4.207946011666622e-09
Position 277: 1.8934191317663895e-09
Position 479: 7.95415648704648e-10
Position 488: 3.615265002787386e-10
Position 1088: 2.447659910608287e-10
Position 464: 1.4746605451041417e-10
Position 1048: 1.2972475063239018e-10
Position 73: 1.021289675883063e-10
Position 940: 7.864057067225413e-12
Position 336: 2.297629654817718e-12
Position 1267: 9.663834360718963e-14
