Gene = Gale
index = 1179
Annotated 5SS: [ 497  865 1969]
Annotated 3SS: [ 623 1677 2028]
SMsplice 5SS: [ 497  865 1969]
SMsplice 3SS: [ 623 1677 2028]
Partition function (log Z): 0.024619598675310994

Sorted 5' Splice Sites (High to Low Probability):
Position 1969: 0.9903631462801414
Position 497: 0.9566023000014365
Position 865: 0.7696522314032596
Position 844: 0.13093999778778775
Position 2618: 0.07830357338681221
Position 1620: 0.022033601302756833
Position 805: 0.021256643531099736
Position 2535: 0.013107753290344965
Position 1653: 0.010784632977923326
Position 557: 0.009878114652131178
Position 292: 0.007496430172912882
Position 1724: 0.0074247312199033424
Position 1216: 0.007314158907431911
Position 251: 0.006498140318357318
Position 1850: 0.004259333742016518
Position 2065: 0.0042338935485388566
Position 1303: 0.004199707471046301
Position 316: 0.003422419408084613
Position 86: 0.002891223030438163
Position 1510: 0.00236152102056653
Position 1132: 0.002309894634177797
Position 1539: 0.0015830493683429594
Position 781: 0.001446282070064162
Position 1094: 0.0014288445319025824
Position 911: 0.0010839876369256724
Position 33: 0.0010029661008673257
Position 2547: 0.0009630688916922288
Position 61: 0.0009225258587702162
Position 1151: 0.0007080370965682401
Position 875: 0.0006703233923741938
Position 1090: 0.0006695163082603634
Position 1148: 0.0006403019490606708
Position 1237: 0.0006161888721396558
Position 115: 0.0004298196108129841
Position 1251: 0.0004196458930767633
Position 562: 0.0004001427456110183
Position 1959: 0.0003950458845369042
Position 489: 0.0003191075384102493
Position 1693: 0.0002996063798480593
Position 2149: 0.00029622056281983824
Position 896: 0.00023643844062918857
Position 73: 0.00022777304289341656
Position 188: 0.000223681438254052
Position 378: 0.00022285259788146493
Position 1602: 0.00022047316434348956
Position 1170: 0.00019852908250075655
Position 412: 0.0001965420049854587
Position 1818: 0.00018237272922283702
Position 2585: 0.00018014354424426238
Position 2254: 0.0001524986897896707
Position 434: 0.00015048279545394041
Position 1079: 0.00015008442222755935
Position 925: 0.00013410194448903933
Position 1443: 0.000116111381339434
Position 1455: 0.00010517871053618282
Position 682: 9.320427206581323e-05
Position 903: 9.055628824520587e-05
Position 1172: 8.26303099143789e-05
Position 2593: 7.034336744240261e-05
Position 2641: 6.296579334814364e-05
Position 2493: 5.825939630162113e-05
Position 1327: 5.400357109507567e-05
Position 712: 5.347906962537445e-05
Position 2052: 5.329405673232714e-05
Position 1749: 5.2280371083807414e-05
Position 2084: 5.071257420335907e-05
Position 853: 4.8823793122849985e-05
Position 162: 4.650979572989483e-05
Position 1260: 4.53749443829444e-05
Position 425: 4.473838252661416e-05
Position 1580: 4.460705428120318e-05
Position 279: 4.370452389639191e-05
Position 1449: 4.2327121489619786e-05
Position 2646: 3.924043230226268e-05
Position 2555: 3.821309300773126e-05
Position 820: 3.6505591534612096e-05
Position 1452: 3.2432634332464374e-05
Position 2669: 3.167609943860496e-05
Position 216: 3.1142477521472614e-05
Position 2380: 3.0366759125602907e-05
Position 1720: 3.0207211554981108e-05
Position 2347: 2.7340653069894217e-05
Position 362: 2.733111633721811e-05
Position 1291: 2.7144546198515446e-05
Position 1843: 2.523187277306803e-05
Position 1514: 2.481112756259774e-05
Position 2143: 2.325311006452213e-05
Position 598: 1.6545528314244635e-05
Position 2406: 1.564386399380453e-05
Position 1824: 1.3102566822738102e-05
Position 2069: 1.2567978071157854e-05
Position 221: 1.1412074045214269e-05
Position 732: 9.800391516878912e-06
Position 1898: 9.314559208329615e-06
Position 2081: 8.376699793514845e-06
Position 1001: 6.689491775761378e-06
Position 1014: 6.470967467002615e-06
Position 986: 6.3256321864719775e-06
Position 381: 6.1079143194150635e-06
Position 1270: 6.072250793198539e-06
Position 2159: 5.797695875632712e-06
Position 1860: 4.785040075390764e-06
Position 1273: 4.629871328380462e-06
Position 2212: 3.7353503560597177e-06
Position 501: 2.907742667325875e-06
Position 1407: 2.571545836171915e-06
Position 721: 2.541429186290723e-06
Position 2567: 2.5196121960888455e-06
Position 996: 2.5152280672994515e-06
Position 77: 2.4963267301005444e-06
Position 1953: 2.4071889250249396e-06
Position 2173: 2.387055709437328e-06
Position 202: 1.994650882242213e-06
Position 2672: 1.98824235874215e-06
Position 2262: 1.8171818586720256e-06
Position 1979: 1.6569485579215632e-06
Position 2644: 1.052285652899256e-06
Position 1004: 1.0032957254847178e-06
Position 2355: 7.806028028642364e-07
Position 2667: 6.65488222500258e-07
Position 2395: 6.245556461157904e-07
Position 2477: 5.462961922681488e-07
Position 2505: 5.440483982138107e-07
Position 2335: 5.38404302393276e-07
Position 508: 5.32870667336144e-07
Position 640: 4.843183460633542e-07
Position 2323: 4.2208553774834773e-07
Position 2153: 3.742068563722203e-07
Position 2171: 3.671722311199707e-07
Position 2690: 3.652263073397651e-07
Position 1041: 3.634019484054458e-07
Position 583: 2.6855432349728496e-07
Position 1780: 2.211654756505398e-07
Position 168: 2.16904316728074e-07
Position 2233: 2.1240550624846458e-07
Position 1870: 2.0848929548652746e-07
Position 2442: 1.950566154174477e-07
Position 1822: 1.7617809639519856e-07
Position 2038: 1.3734103016811054e-07
Position 1810: 1.1194559081597892e-07
Position 2005: 5.433712518690201e-08
Position 2041: 3.7981864146634696e-08
Position 600: 3.462324465944649e-08
Position 1728: 3.403391345926189e-08
Position 2030: 2.5390844389356295e-08
Position 646: 1.9734473262536517e-08
Position 1330: 9.727170548621797e-09
Position 602: 8.069392505372181e-09
Position 2692: 5.227859197381842e-09
Position 2000: 4.7811525996638675e-09
Position 2416: 2.0167253248916452e-09
Position 1992: 9.707692737965102e-10
Position 585: 7.313172391243257e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2028: 0.9933527104336082
Position 623: 0.9629460574380271
Position 1677: 0.8376660812446255
Position 2672: 0.08349489097052254
Position 1652: 0.0626254927800923
Position 1749: 0.04694113590443396
Position 1716: 0.029300749845
Position 1402: 0.019120170513440515
Position 2142: 0.005500699430411773
Position 1829: 0.003861450255495092
Position 2641: 0.003848355043884957
Position 1014: 0.0036103563561537514
Position 2736: 0.003307098272405771
Position 1791: 0.002520030176795441
Position 2718: 0.002359449429975425
Position 388: 0.0014647534324117564
Position 1818: 0.0011929064481710266
Position 1629: 0.001034988561965082
Position 1342: 0.0009899239616536313
Position 1434: 0.000923798124885674
Position 1614: 0.000737715013297717
Position 1476: 0.0006908034194592586
Position 1120: 0.0006837744888366733
Position 861: 0.0005972522243102204
Position 1917: 0.0005704304664097348
Position 1359: 0.0004858676091810914
Position 2585: 0.00034956427224287393
Position 496: 0.00026172106105312997
Position 2038: 0.000251109870527776
Position 2081: 0.00022924278492383968
Position 375: 0.00022020624678732286
Position 975: 0.00020906075459032098
Position 1064: 0.00020762815570694537
Position 1588: 0.00020636653249995825
Position 1835: 0.00018862955606907148
Position 2617: 0.0001442005974391615
Position 746: 0.0001303785395037168
Position 1860: 0.00012665991208552662
Position 2698: 0.00012332366591308812
Position 373: 0.00011730615784482008
Position 1488: 0.00011282667245520009
Position 306: 0.00010075399778180367
Position 1215: 8.371321802182461e-05
Position 523: 7.46325570458626e-05
Position 2013: 7.418562191194123e-05
Position 903: 6.936556417284532e-05
Position 1443: 6.893206861747105e-05
Position 320: 6.061203898261659e-05
Position 121: 5.539865080974217e-05
Position 1938: 4.883311248756014e-05
Position 439: 4.7545004948237925e-05
Position 951: 4.10056960860174e-05
Position 570: 3.56244795904733e-05
Position 1498: 3.387121502619529e-05
Position 749: 3.2763990065015606e-05
Position 264: 3.121814815928839e-05
Position 864: 3.082861578139047e-05
Position 900: 3.0437729606321828e-05
Position 1289: 2.6821132943398287e-05
