Gene = Iyd
index = 1238
Annotated 5SS: [ 507 1698 2051]
Annotated 3SS: [ 602 1889 2105]
SMsplice 5SS: [2051]
SMsplice 3SS: [2105]
Partition function (log Z): -6.910698780311518

Sorted 5' Splice Sites (High to Low Probability):
Position 2051: 0.9846713907593624
Position 1622: 0.14372658135685054
Position 40: 0.09187852050088445
Position 1136: 0.043159706767535194
Position 296: 0.04005190197345237
Position 437: 0.036882365092832645
Position 1820: 0.020756491432790784
Position 69: 0.01745756810283642
Position 2443: 0.01580599160698596
Position 54: 0.00791078500414074
Position 545: 0.006897043773752631
Position 218: 0.006577196818722527
Position 1287: 0.0061664008948901766
Position 88: 0.003783979509474656
Position 300: 0.003439720222144057
Position 1978: 0.0033815668411974593
Position 1054: 0.0027980498480561816
Position 153: 0.002160009796071842
Position 1946: 0.0016821283139360579
Position 1438: 0.0016463753567656134
Position 13: 0.0016285042245232795
Position 583: 0.0010650041052407673
Position 690: 0.0008247634525859632
Position 1412: 0.0007360226556502612
Position 1537: 0.0006906700037138728
Position 1698: 0.0005438228660538207
Position 1803: 0.0005413716798943715
Position 1754: 0.00048720448577241755
Position 1074: 0.00043735252209222867
Position 1289: 0.00032893105217190815
Position 478: 0.0003133942939651444
Position 677: 0.0003071895852337034
Position 250: 0.00025895605357969826
Position 2038: 0.00020623029970596703
Position 849: 0.00015620158720662923
Position 1198: 0.00014354954142005829
Position 165: 9.963218450811538e-05
Position 1463: 9.160069654596781e-05
Position 1555: 8.001296190698477e-05
Position 1336: 7.778791118575478e-05
Position 2447: 7.264986279814463e-05
Position 861: 7.19435993999026e-05
Position 692: 6.407767531101162e-05
Position 2735: 5.7523269303276685e-05
Position 607: 4.464645525340039e-05
Position 2414: 4.004304931445469e-05
Position 2347: 3.8516938075121144e-05
Position 1234: 3.486513665357458e-05
Position 1048: 3.206161739926654e-05
Position 2739: 2.6043700510333034e-05
Position 1343: 2.4930143628672805e-05
Position 2480: 2.461582203646492e-05
Position 626: 2.202923834834855e-05
Position 2354: 2.0848991951444498e-05
Position 1033: 2.023031366416921e-05
Position 745: 1.791090459046026e-05
Position 494: 1.7661956297274776e-05
Position 2357: 1.6921143045642774e-05
Position 230: 1.6012714862202726e-05
Position 2282: 1.5071120751239035e-05
Position 2607: 1.3787356722749889e-05
Position 2762: 1.3602284004505839e-05
Position 2238: 1.3580537862756316e-05
Position 284: 1.1921882359535783e-05
Position 1509: 1.1317148540215711e-05
Position 2506: 1.0108260704933099e-05
Position 707: 8.976355635646258e-06
Position 893: 8.759696395763742e-06
Position 2488: 8.553701792465125e-06
Position 2055: 6.953838464463745e-06
Position 402: 6.793739290712994e-06
Position 2008: 6.499532496519333e-06
Position 1301: 6.032748375594705e-06
Position 2174: 4.997734553705198e-06
Position 2396: 4.715957029657693e-06
Position 1659: 4.7036948457146445e-06
Position 1670: 4.5736761795775215e-06
Position 141: 4.200582884280917e-06
Position 852: 4.12068800550413e-06
Position 2801: 3.955255509696369e-06
Position 242: 3.5738466771494533e-06
Position 1876: 2.7356605193484007e-06
Position 1299: 2.7211482158193767e-06
Position 1151: 2.624756169684789e-06
Position 1989: 2.602252907202349e-06
Position 1864: 2.1032647725927388e-06
Position 2165: 1.8959498957931504e-06
Position 788: 1.6386272847521508e-06
Position 2788: 1.4908486531118947e-06
Position 1255: 1.325949573167325e-06
Position 2617: 1.0302723000276152e-06
Position 2542: 9.443980138017638e-07
Position 1900: 5.78318781420846e-07
Position 2705: 5.001253643245889e-07
Position 2229: 4.1230735493849207e-07
Position 1176: 2.2998550898486233e-07
Position 2322: 1.7100278821445907e-07
Position 2673: 7.076492375375639e-08
Position 2073: 6.393793808561765e-08
Position 1217: 6.209786589900205e-08
Position 2619: 6.104285756676991e-08
Position 2651: 3.146842499074734e-08
Position 116: 3.983430309656045e-10
Position 2105: 2.661953825586494e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2105: 0.997802692459188
Position 128: 0.0922461451654942
Position 1873: 0.06032903539430094
Position 1683: 0.05304117274331619
Position 1667: 0.04067877513183421
Position 1692: 0.029836861886903734
Position 1778: 0.020484139234642852
Position 503: 0.020474853830434795
Position 1876: 0.017796235631889507
Position 2029: 0.017503581640856126
Position 1343: 0.012370801179310213
Position 2530: 0.010161161756185578
Position 278: 0.007624109373864637
Position 359: 0.006379272359255901
Position 1373: 0.005657884482873639
Position 1889: 0.005227331804090154
