Gene = NijB
index = 1319
Annotated 5SS: [256 513]
Annotated 3SS: [357 565]
SMsplice 5SS: [256]
SMsplice 3SS: [357]
Partition function (log Z): -2.0467937807319325

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9859996178768943
Position 513: 0.3413918054083244
Position 517: 0.3198153689873828
Position 700: 0.10536424210553685
Position 264: 0.008982767914475265
Position 728: 0.007127676290361333
Position 459: 0.0046648354204846245
Position 693: 0.003978149003467577
Position 114: 0.0022681198686021645
Position 437: 0.0020772273704615053
Position 287: 0.0014314054003974146
Position 474: 0.0013437127279136555
Position 246: 0.0007503106130314571
Position 302: 0.0006684048666004027
Position 644: 0.0006188601953353057
Position 521: 0.00038760396172739036
Position 620: 0.0003220409155693222
Position 489: 0.0001630820323979298
Position 15: 0.0001252366897563548
Position 594: 5.3447424465716365e-05
Position 163: 4.200886236623763e-05
Position 55: 2.9058676765859647e-05
Position 398: 1.0026086541387683e-05
Position 64: 8.184711755091287e-06
Position 570: 7.2901109916152505e-06
Position 88: 5.188299641307024e-06
Position 199: 4.761376245110425e-06
Position 803: 3.8129271910213385e-06
Position 750: 3.0666698485932688e-06
Position 629: 2.751202023442736e-06
Position 327: 2.3280978986632403e-06
Position 82: 1.4043829416097776e-06
Position 748: 7.669880601390831e-07
Position 354: 2.3587148679857837e-07
Position 143: 1.9347206531739373e-07
Position 73: 1.5356018916071855e-07
Position 536: 1.433742195902379e-07
Position 765: 3.6859164644588485e-08
Position 800: 2.3555743692766966e-08
Position 814: 1.8525253540453638e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 357: 0.990389631421439
Position 565: 0.5641601860931904
Position 789: 0.20626258886670554
Position 585: 0.018653126525825008
Position 594: 0.0026975658617469514
Position 577: 0.0022185132743624708
Position 163: 0.000753588446332887
Position 513: 0.00041308636700190576
Position 398: 0.00033232783042479457
Position 644: 0.0002539557428183715
Position 372: 0.00022888787057991945
Position 448: 0.0002095740735815251
Position 309: 0.00020766591959211773
Position 800: 0.00012972347318366704
Position 194: 9.893817891245181e-05
Position 524: 8.367957206572978e-05
Position 302: 7.692462212201201e-05
Position 205: 7.59860977964025e-05
Position 482: 6.821945836087408e-05
Position 428: 5.599800731554232e-05
Position 861: 5.561260015012727e-05
Position 603: 4.837648141662853e-05
Position 219: 3.95037321404195e-05
Position 629: 3.106288834812153e-05
Position 113: 2.3595165236037184e-05
Position 73: 1.89738915464567e-05
Position 97: 1.5367890771302274e-05
Position 174: 1.3152286558484512e-05
Position 154: 1.2500963192922208e-05
Position 536: 1.181208613476652e-05
Position 64: 6.904734546315036e-06
Position 226: 2.721110311438132e-06
Position 489: 2.067299717509976e-06
Position 249: 1.1835119065513928e-06
Position 135: 1.0003368170505044e-06
Position 827: 5.919105493201757e-07
Position 143: 5.078989452389154e-07
Position 526: 8.570447842614815e-08
Position 124: 6.423268822391832e-08
Position 287: 2.9986742617720025e-08
Position 221: 2.3872214093968997e-08
Position 700: 2.1480825005607324e-08
Position 255: 1.2119581095331918e-08
Position 521: 7.976786712216537e-09
Position 686: 3.5269535959407654e-09
Position 260: 4.0694125305555977e-10
Position 693: 2.1191938134749395e-10
Position 689: 7.340915183036925e-14
