Gene = Ripalpha
index = 1428
Annotated 5SS: [106 559 684]
Annotated 3SS: [307 617 737]
SMsplice 5SS: [106 559 684]
SMsplice 3SS: [307 617 737]
Partition function (log Z): -0.916259558937919

Sorted 5' Splice Sites (High to Low Probability):
Position 559: 0.9901259882831418
Position 684: 0.9556902167237433
Position 106: 0.5142460756696959
Position 194: 0.16756162230481395
Position 242: 0.038072778768812
Position 68: 0.02034323160960255
Position 842: 0.01820989675983941
Position 906: 0.013964322862902558
Position 239: 0.013236198528684708
Position 706: 0.00780234472220862
Position 381: 0.005596971750607602
Position 952: 0.0048718626287616385
Position 189: 0.002388323801014722
Position 1143: 0.0010398931921420166
Position 165: 0.0009853262787331769
Position 1186: 0.0009179842292908063
Position 229: 0.0007602523364303118
Position 1159: 0.0005627616240447481
Position 918: 0.0005293290233157824
Position 187: 0.000506593145733126
Position 1328: 0.0003741620662656566
Position 110: 0.0003527453934584374
Position 1413: 0.0003116560350581586
Position 114: 0.0002462728293115305
Position 123: 0.00020133617358140629
Position 11: 0.00018195123258835097
Position 1109: 0.00014993593575390228
Position 132: 0.0001477354704068566
Position 1309: 0.00011977461542415833
Position 772: 0.00011103130828232515
Position 1470: 9.75638049073003e-05
Position 839: 8.572362506920204e-05
Position 150: 8.309575853899175e-05
Position 573: 6.151047329288141e-05
Position 71: 5.5374294781108495e-05
Position 130: 3.7186207937209246e-05
Position 295: 3.376309477105185e-05
Position 1204: 2.0043488492686146e-05
Position 1196: 1.8523474208821233e-05
Position 1380: 1.792145369573931e-05
Position 922: 1.6575623455987814e-05
Position 174: 1.5645815055789638e-05
Position 73: 1.4528426306789056e-05
Position 585: 1.3420692721277643e-05
Position 968: 1.2617359794610642e-05
Position 1146: 1.1304063210747384e-05
Position 1137: 1.0637068055137136e-05
Position 1052: 8.591066671795827e-06
Position 571: 5.358988360694245e-06
Position 1243: 2.5836410249168597e-06
Position 831: 2.4237065603817623e-06
Position 1228: 2.381100797291865e-06
Position 1219: 2.32012391655927e-06
Position 789: 1.1147591842417104e-06
Position 1252: 9.204446648077127e-07
Position 614: 4.258335717641149e-07
Position 970: 4.0688473065323473e-07
Position 499: 3.408608234803076e-07
Position 737: 2.1474780459837133e-07
Position 457: 8.30452827485636e-08
Position 472: 6.229364642480143e-09
Position 1515: 2.723741841695681e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 617: 0.9830412975583328
Position 737: 0.9447958091366684
Position 307: 0.6757360115218453
Position 328: 0.04705752077221375
Position 452: 0.029072021966201796
Position 748: 0.015876071795249854
Position 1478: 0.009780126495842433
Position 772: 0.0073866991941788675
Position 381: 0.0068702608386033955
Position 1142: 0.004688570339410435
Position 1526: 0.004610170124643891
Position 1007: 0.004269049835322223
Position 951: 0.0037246491672164052
Position 1449: 0.0033840910077265834
Position 968: 0.0032375109846025153
Position 1239: 0.0022042111639408333
Position 130: 0.0021927410984991925
Position 150: 0.0016632407256968432
Position 918: 0.0014781449104830336
Position 926: 0.0013726067720110566
Position 393: 0.0011091812495247963
Position 1243: 0.0010771509208778911
Position 1039: 0.0006086646833282003
Position 1328: 0.0006044461044352706
Position 1369: 0.0005563673791893588
Position 1013: 0.0004317779688593287
Position 639: 0.00040964029034989274
Position 652: 0.00039200506054347145
Position 483: 0.00036272588286403757
Position 140: 0.0002597729471217503
Position 1458: 0.00024828671442068387
Position 1265: 0.0002324289578368353
Position 1061: 0.0002293416318201409
Position 1052: 0.0002249156354907229
Position 1390: 0.00016139582881659006
Position 1277: 0.00012052426538100771
Position 629: 0.0001048449569350368
Position 1544: 0.00010158962097080403
Position 687: 9.660095050865603e-05
Position 1252: 7.213182015421729e-05
Position 1117: 6.224737229386779e-05
Position 902: 4.279577072263214e-05
Position 1289: 3.9831368896668006e-05
Position 882: 3.602382734457853e-05
Position 1280: 3.138643495358567e-05
Position 499: 2.459103257227724e-05
Position 896: 2.2023909818135496e-05
Position 1297: 1.5437349884945382e-05
Position 105: 1.4435752822323553e-05
Position 706: 1.4293238343298464e-05
Position 1228: 1.203260111082144e-05
Position 1214: 1.000333794788866e-05
Position 1406: 9.197733239353805e-06
Position 1532: 8.02177765679074e-06
Position 1182: 7.296142759249964e-06
Position 780: 7.214140583327607e-06
Position 194: 4.923945306642857e-06
Position 1193: 4.210378821829928e-06
Position 496: 3.3650480338074173e-06
Position 986: 2.9619943853272444e-06
Position 1267: 2.5595312058471276e-06
Position 171: 2.305280084006439e-06
Position 785: 2.2525947723978843e-06
Position 905: 2.245055941996903e-06
Position 1557: 1.9563329693368793e-06
Position 1204: 1.831288970732212e-06
Position 60: 1.4129941718428503e-06
Position 710: 1.0634337647728163e-06
Position 860: 1.0228464818623769e-06
Position 239: 9.847122189793894e-07
Position 509: 8.6031946366435e-07
Position 782: 7.401785711161768e-07
Position 1219: 6.61603353446513e-07
Position 672: 5.583924212066257e-07
Position 585: 5.314041171518426e-07
Position 513: 5.113036468820586e-07
Position 1186: 4.6564153201897193e-07
Position 1380: 4.489759128389974e-07
Position 536: 4.375962698988259e-07
Position 815: 3.596614247139365e-07
Position 234: 3.0881254749593975e-07
Position 800: 2.0695911545711122e-07
Position 477: 1.8400494657625534e-07
Position 110: 1.0080725408835305e-07
Position 1196: 7.241917965229278e-08
Position 839: 6.778800554514137e-08
Position 794: 3.945675565724713e-08
Position 1397: 3.794421424669354e-08
Position 776: 2.7335137295524647e-08
Position 68: 1.4801298096554472e-08
Position 893: 1.0230318183548923e-08
Position 1155: 3.1387190610410205e-09
Position 564: 2.7905638045149266e-09
Position 803: 2.6395720978957783e-09
Position 1551: 6.223003134003682e-10
Position 556: 4.442292991024497e-10
Position 571: 3.944578737611485e-10
Position 884: 2.8033731278205526e-10
Position 558: 3.576974719772292e-11
Position 818: 3.055127510862739e-13
