Gene = Ilp8
index = 1229
Annotated 5SS: [ 195 1372]
Annotated 3SS: [1172 1795]
SMsplice 5SS: [ 195 1372]
SMsplice 3SS: [1172 1795]
Partition function (log Z): -0.34524828966370036

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.9932390175580573
Position 1372: 0.9891820519064881
Position 670: 0.2692414761707006
Position 1109: 0.06175486033421509
Position 1036: 0.04318710361102869
Position 894: 0.022286695642859435
Position 507: 0.012070251540763854
Position 964: 0.006294114914255508
Position 405: 0.0038421902943606653
Position 1114: 0.0027614323701205573
Position 511: 0.0021162340382247908
Position 2122: 0.001661434340712598
Position 17: 0.0016210866224094897
Position 961: 0.0012651217092949656
Position 1047: 0.0012357060275579384
Position 55: 0.001215570227179866
Position 1610: 0.001104215035660554
Position 2090: 0.0010964904243453309
Position 376: 0.0010242205881200834
Position 1050: 0.0009024042460982635
Position 2136: 0.0008910596357817291
Position 286: 0.0008504073254034277
Position 2076: 0.0007846339736144854
Position 1376: 0.000609359880868569
Position 1618: 0.0005054126366500128
Position 1676: 0.0004930930881441108
Position 1077: 0.0004555096392079346
Position 1864: 0.0004102028135548188
Position 1331: 0.00035461346937943017
Position 120: 0.00029258752069071377
Position 1027: 0.0002828554571727714
Position 2149: 0.0002643915738675361
Position 1977: 0.000228055513814774
Position 2116: 0.00022140414289918705
Position 758: 0.0002051687914449437
Position 778: 0.00019189534772251002
Position 39: 0.00018043533117511766
Position 398: 0.00013603478094525778
Position 1729: 0.00013244539819759282
Position 1116: 0.00012761123453220306
Position 1751: 0.00011402742861400443
Position 211: 9.615689882343406e-05
Position 94: 7.854185509997746e-05
Position 772: 7.403420232015072e-05
Position 100: 6.904290471416461e-05
Position 2169: 6.16393180773154e-05
Position 1312: 4.464371657250726e-05
Position 199: 3.793796142979791e-05
Position 898: 3.467531926474117e-05
Position 873: 3.275094570520608e-05
Position 282: 2.8993873020161915e-05
Position 2080: 2.724031589900632e-05
Position 2013: 2.4735542575934203e-05
Position 640: 1.6931296295242994e-05
Position 161: 1.30607525316714e-05
Position 763: 1.2380906760310828e-05
Position 1340: 1.1735930404813135e-05
Position 531: 1.1186966101932665e-05
Position 205: 1.0749658854648949e-05
Position 71: 9.293339126336519e-06
Position 451: 8.8180117982415e-06
Position 1410: 7.685952482970114e-06
Position 1283: 6.816283109657671e-06
Position 1850: 6.398323019665131e-06
Position 424: 5.831567064296628e-06
Position 1680: 4.949006762373449e-06
Position 657: 4.922810344307528e-06
Position 1664: 4.353500325803348e-06
Position 951: 4.285606655721118e-06
Position 187: 4.258838955021887e-06
Position 513: 3.8162780451432545e-06
Position 6: 3.686006788911689e-06
Position 839: 3.488566893988712e-06
Position 1268: 3.266018707504721e-06
Position 1432: 3.234216767932012e-06
Position 948: 3.0491533410204868e-06
Position 904: 2.8584177675054828e-06
Position 1678: 2.438384385399709e-06
Position 976: 2.2878515970931467e-06
Position 845: 2.149527820881051e-06
Position 22: 1.932442459830115e-06
Position 263: 1.9123677010159286e-06
Position 817: 1.8328502326909641e-06
Position 913: 1.7237973912383895e-06
Position 2003: 1.415395131585209e-06
Position 978: 1.377484311101019e-06
Position 1232: 1.3508595052007153e-06
Position 129: 1.2571760791776535e-06
Position 2050: 8.994561197766092e-07
Position 515: 7.991884704283834e-07
Position 290: 7.794250654094977e-07
Position 1715: 7.592024542135921e-07
Position 2025: 7.088196459053047e-07
Position 659: 6.394415943515721e-07
Position 1622: 5.859756841523589e-07
Position 327: 5.852663846003532e-07
Position 1530: 4.7217601915598127e-07
Position 228: 3.86934596755196e-07
Position 105: 3.5667017555539434e-07
Position 261: 3.037216872432403e-07
Position 2048: 2.8520095029401455e-07
Position 1412: 2.8417053607402737e-07
Position 1209: 2.755543667455105e-07
Position 2180: 2.7135891868687104e-07
Position 103: 2.4370238741190214e-07
Position 1616: 1.651945032476071e-07
Position 575: 1.437710018442267e-07
Position 2109: 1.044191787501883e-07
Position 1779: 9.410630221986759e-08
Position 1146: 6.32756014718177e-08
Position 1482: 3.8649660092590365e-08
Position 1509: 2.5734878323113016e-08
Position 1181: 8.643666413898592e-09
Position 1200: 7.840215248749246e-09
Position 1172: 7.391422427631808e-09
Position 1149: 2.7710688841659243e-09
Position 1213: 1.0030105297965938e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1795: 0.9707968653106195
Position 1172: 0.8767326873081263
Position 527: 0.11626031371140527
Position 398: 0.09585847614891142
Position 266: 0.0755786687110818
Position 745: 0.0723856910209351
Position 248: 0.056638238833675275
Position 327: 0.0522753245119742
Position 274: 0.021800770767775226
Position 334: 0.011577486642358279
Position 488: 0.010626530901463248
Position 873: 0.0073792750126511816
Position 1676: 0.004889058584809919
Position 1460: 0.004836633882260987
Position 1228: 0.0048210396132446565
Position 2193: 0.0035965326977185747
Position 1750: 0.0031406287963445857
Position 282: 0.0026112709874070747
Position 839: 0.002533765355655508
Position 2228: 0.0024567681842436765
Position 751: 0.0022733132273351883
Position 404: 0.0021125712865234696
Position 1683: 0.0020614079203119225
Position 1579: 0.0019020316428780095
Position 111: 0.0017900853189094647
Position 1744: 0.0012002239178436974
Position 1573: 0.0010679956284894336
Position 290: 0.0010477255797014353
Position 429: 0.0010460843817352813
Position 460: 0.0010022312862097498
Position 1301: 0.0009899810706076124
Position 1715: 0.0009427513337702624
Position 298: 0.0009369963561629115
Position 1597: 0.0009195486082171241
Position 590: 0.0009149993072379624
Position 1020: 0.0007346174011203205
Position 2167: 0.0006890757143217721
Position 1920: 0.0006820759236053216
Position 1712: 0.0005445559501719468
Position 1829: 0.000533819090580526
Position 2116: 0.0005305697146130801
Position 1892: 0.0004561789759357633
Position 2213: 0.00044554816820410595
Position 103: 0.00042226845080004264
Position 507: 0.00038540212182877864
Position 1863: 0.00033142984245314083
Position 2149: 0.00030945520812243865
Position 2013: 0.0002751667670713842
Position 973: 0.00023604370656645868
Position 788: 0.00022306792418102324
Position 535: 0.00021558560229711907
Position 1240: 0.0001625650364221631
Position 1815: 0.00015897622298438184
Position 921: 0.00012945119155838197
Position 1017: 0.0001255413932693382
Position 86: 0.00012098288306316833
Position 1729: 9.564288385644012e-05
Position 650: 9.434773296982123e-05
Position 1095: 7.875789381062101e-05
Position 2122: 4.70695372551329e-05
Position 67: 4.6446415339554574e-05
Position 170: 4.613924262679451e-05
Position 1421: 4.583404104465345e-05
Position 306: 4.300620980925618e-05
Position 669: 4.033905312362644e-05
Position 983: 3.421297684834145e-05
Position 640: 3.3299408868197045e-05
Position 1838: 2.8959888091705825e-05
Position 2201: 2.8958596981770322e-05
Position 1835: 2.797834249572319e-05
Position 1081: 2.5534717075942702e-05
Position 115: 2.255222227155347e-05
Position 2076: 2.1313395903537297e-05
Position 2126: 1.901987033543477e-05
Position 961: 1.617130969833221e-05
Position 1104: 1.3939923213798861e-05
Position 1976: 1.219775523608352e-05
Position 71: 1.2150909602614388e-05
Position 1098: 1.091557457841018e-05
Position 1944: 7.782814907435888e-06
Position 996: 7.534104204203935e-06
Position 1947: 7.091279405647198e-06
Position 1609: 6.71383175361785e-06
Position 59: 6.398217386974539e-06
Position 1929: 5.137370146506564e-06
Position 1959: 4.435640846202037e-06
Position 592: 3.2908807644009085e-06
Position 1268: 3.2350514897881102e-06
Position 2019: 3.0879581889611883e-06
Position 772: 2.9637944028410018e-06
Position 2025: 2.7415289518716753e-06
Position 1601: 2.3350336566666465e-06
Position 1256: 2.2813447220242886e-06
Position 2048: 1.5948767663144474e-06
Position 2022: 1.4607664417893064e-06
Position 1757: 1.257995064607683e-06
Position 1622: 9.488314683765042e-07
Position 1032: 8.473926625133161e-07
Position 1265: 8.004726401677878e-07
Position 1614: 7.455119931222354e-07
Position 2038: 6.418112909449091e-07
Position 1327: 6.16301704237574e-07
Position 51: 5.600757234352342e-07
Position 1025: 5.484624667636722e-07
Position 194: 4.510269878001872e-07
Position 657: 4.4444887028473305e-07
Position 55: 3.674105722457277e-07
Position 1403: 3.033365182344389e-07
Position 2094: 2.9708838052622025e-07
Position 1973: 2.723186185613314e-07
Position 119: 1.6457253905875788e-07
Position 1280: 1.505306029812222e-07
Position 1396: 1.1498512555616949e-07
Position 1389: 1.0459851584088989e-07
Position 1040: 8.408326308239767e-08
Position 1330: 7.161458306448597e-08
Position 1616: 6.56002475560919e-08
Position 2169: 3.947162209427429e-08
