Gene = Cpr64Ad
index = 1097
Annotated 5SS: [86]
Annotated 3SS: [160]
SMsplice 5SS: [86]
SMsplice 3SS: [160]
Partition function (log Z): -3.645300385698367

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.966943548293801
Position 6: 0.07228454622218064
Position 92: 0.0018503700952079492
Position 108: 0.0013924481682760996
Position 96: 0.0008409149919778301
Position 651: 0.0005881624826997563
Position 659: 0.0001638582425974592
Position 35: 0.00014654666060465773
Position 10: 0.0001456685631880637
Position 618: 8.841072328843007e-05
Position 905: 6.930945524940893e-05
Position 957: 5.623311506601373e-05
Position 90: 3.813685045820387e-05
Position 645: 3.6521803911846555e-05
Position 121: 3.342061930386094e-05
Position 350: 2.0501144094264484e-05
Position 693: 1.3120382175730298e-05
Position 580: 1.3094597233099793e-05
Position 512: 1.2623441844706018e-05
Position 923: 8.79229092618351e-06
Position 116: 7.23588700278813e-06
Position 209: 6.459626618584497e-06
Position 240: 6.4127104906252435e-06
Position 914: 5.667271340816043e-06
Position 204: 5.418654579387606e-06
Position 586: 5.094687223570478e-06
Position 298: 4.498383151063141e-06
Position 663: 3.6176324073689716e-06
Position 431: 3.1040615377249422e-06
Position 536: 2.9668468345498315e-06
Position 373: 2.9553590516573555e-06
Position 699: 2.7248925478373007e-06
Position 563: 2.242096380366227e-06
Position 479: 2.2072647515362394e-06
Position 890: 1.8604642628336951e-06
Position 14: 1.3415885670470875e-06
Position 371: 1.305746024396424e-06
Position 161: 1.2389400305856081e-06
Position 735: 1.1267393418818069e-06
Position 488: 8.78624967015851e-07
Position 702: 7.160558690496526e-07
Position 707: 5.016652266862356e-07
Position 911: 4.348279637499878e-07
Position 749: 4.2274225768186535e-07
Position 656: 3.6567059008882786e-07
Position 422: 1.6637182698987032e-07
Position 455: 4.74333600852467e-08
Position 827: 4.5538063992475496e-08
Position 978: 4.11882155309177e-08
Position 761: 3.797429140599613e-08
Position 746: 3.000831722600695e-08
Position 599: 2.4523389566314753e-08
Position 782: 2.1713916441886065e-08
Position 791: 1.9477640587676493e-08
Position 806: 1.349449671256718e-08
Position 767: 1.0460932893673706e-08
Position 881: 9.57864423077291e-09
Position 818: 4.119690409766814e-09
Position 170: 2.5685060564519557e-09
Position 851: 1.3752865065937216e-09
Position 830: 9.583034590426118e-10
Position 164: 3.425569383188494e-10
Position 773: 2.5548922336168185e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9980372988565206
Position 63: 0.04454006984235121
Position 711: 0.00072366536908754
Position 170: 0.000503349236440171
Position 746: 0.00025693990824739074
Position 580: 0.0002084010676681172
Position 1022: 0.000150609763033018
Position 120: 0.00012120632833591029
Position 199: 8.338722377354331e-05
Position 90: 7.458951329968887e-05
Position 422: 3.9670545995833524e-05
Position 479: 2.1862320507543992e-05
Position 604: 1.5048682853142228e-05
Position 754: 5.844296299085633e-06
Position 536: 4.083098332322305e-06
Position 512: 3.853883699790199e-06
Position 782: 3.679381970571387e-06
Position 791: 3.4861125341147098e-06
Position 628: 3.189390241551487e-06
Position 851: 2.466255777915986e-06
Position 818: 2.4168215991665605e-06
Position 586: 2.062637134054303e-06
Position 491: 2.0556575070786413e-06
Position 945: 1.2831839389637e-06
Position 431: 1.2668324492811025e-06
Position 757: 1.1078925097918412e-06
Position 379: 9.985458397143753e-07
Position 634: 6.087446511942617e-07
Position 455: 5.502503788484858e-07
Position 827: 5.055610500243802e-07
Position 125: 3.750717058020327e-07
Position 685: 3.2410066203716136e-07
Position 559: 2.6968865713325795e-07
Position 488: 2.487037618456068e-07
Position 802: 1.9954383247353332e-07
Position 893: 1.918452845342737e-07
Position 637: 1.247136623751227e-07
Position 862: 1.0673776998907612e-07
Position 890: 5.501344196118765e-08
Position 128: 2.4244751311131957e-08
Position 640: 1.3289291252392377e-08
Position 896: 5.91130978330852e-09
Position 983: 5.222677259729521e-09
Position 905: 9.738166105719894e-10
Position 899: 8.0285490106242e-10
Position 919: 4.2977570058527347e-10
Position 923: 1.4891017141034353e-10
Position 908: 5.1358049915877085e-11
Position 902: 2.537975609270168e-11
Position 911: 1.3162074309377058e-11
