Gene = Pomp
index = 1386
Annotated 5SS: [130 460]
Annotated 3SS: [193 746]
SMsplice 5SS: [130 460]
SMsplice 3SS: [193 746]
Partition function (log Z): -1.2992379404901144

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9470744265039206
Position 460: 0.790160275175862
Position 431: 0.1902261946879352
Position 986: 0.06147544749337659
Position 657: 0.0037170889120029466
Position 630: 0.0026151826579490127
Position 1198: 0.000707153105322639
Position 665: 0.000619107501725647
Position 1129: 0.0005528646673278182
Position 476: 0.0005328455904631343
Position 970: 0.0005240442297752369
Position 426: 0.0003964772342656367
Position 1351: 0.0003754799530932628
Position 23: 0.00036737136644463713
Position 677: 0.0003659452853482983
Position 1219: 0.00036166765868846237
Position 1276: 0.000254940050636962
Position 66: 0.0002406727936157641
Position 853: 0.0002166745357001547
Position 648: 0.00020081847478840525
Position 39: 0.00019587481728934456
Position 134: 0.0001839817454565196
Position 646: 0.00011781955756982716
Position 1065: 0.00011769384510925878
Position 343: 0.00010696293655810032
Position 389: 8.274553546539558e-05
Position 898: 7.279039533376793e-05
Position 850: 7.063303421017507e-05
Position 836: 6.961414045952433e-05
Position 1032: 6.317436420205397e-05
Position 1369: 5.3885887753967e-05
Position 492: 3.804331041513928e-05
Position 883: 3.161443875207089e-05
Position 254: 2.508403835726628e-05
Position 1025: 2.1587418562264003e-05
Position 229: 1.6757803440716683e-05
Position 1241: 1.379275657349506e-05
Position 299: 1.1853887196305928e-05
Position 1135: 7.473436231712729e-06
Position 12: 5.733842711518815e-06
Position 227: 5.077002987183478e-06
Position 539: 4.919204454585429e-06
Position 1178: 4.209395864218614e-06
Position 1150: 3.3546029815983053e-06
Position 1069: 3.020236581056221e-06
Position 155: 2.6378357443801654e-06
Position 212: 2.561508471518291e-06
Position 252: 2.108335317519092e-06
Position 1036: 1.958133282503922e-06
Position 146: 1.7489977218229872e-06
Position 454: 1.4198973918863602e-06
Position 70: 1.1558962036523123e-06
Position 779: 9.023749280886716e-07
Position 1132: 4.2996262619792324e-07
Position 193: 3.129885768624466e-07
Position 233: 7.994703315633066e-08
Position 1236: 1.1670965959148994e-08
Position 763: 4.599894486525024e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.9901240894426921
Position 193: 0.9220722337841359
Position 1065: 0.04669812851673259
Position 199: 0.01634172653834381
Position 1250: 0.010060272074244736
Position 677: 0.006023467918483087
Position 1396: 0.0030212324112085624
Position 1125: 0.0020663178253678386
Position 1338: 0.0014697699953640775
Position 1436: 0.0009307598945113426
Position 212: 0.000607864809876694
Position 700: 0.0004896060960369608
Position 1263: 0.00043609245508086813
Position 361: 0.0003449120843211683
Position 1128: 0.00027999311848287913
Position 79: 0.0001940906065310264
Position 217: 0.00018591711664676003
Position 115: 0.00013662549718596373
Position 554: 0.0001247258348129302
Position 1340: 0.00010085108546085805
Position 920: 6.496656145911584e-05
Position 589: 6.351315620145147e-05
Position 492: 5.520794040023573e-05
Position 1169: 4.1267209964541863e-05
Position 226: 3.692177806640544e-05
Position 1369: 3.496811128182335e-05
Position 657: 3.464624834960201e-05
Position 322: 3.09750521892857e-05
Position 1285: 2.6975979787754695e-05
Position 501: 2.6108962694605685e-05
Position 946: 2.4603313002512155e-05
Position 514: 2.440944982921826e-05
Position 1145: 2.196814378059598e-05
Position 459: 2.1514096670377203e-05
Position 1213: 1.728071209853023e-05
Position 158: 1.5872439412831875e-05
Position 979: 1.0776113102190033e-05
Position 343: 8.16690584204828e-06
Position 400: 7.747490760732054e-06
Position 824: 7.697208536783137e-06
Position 155: 6.3093585931318205e-06
Position 1215: 6.190870412517768e-06
Position 271: 5.931136892113168e-06
Position 522: 5.108738387085971e-06
Position 430: 5.017541467496942e-06
Position 935: 4.8531047627809215e-06
Position 1351: 2.610279556374314e-06
Position 951: 1.93917236309318e-06
Position 819: 1.3723420607236078e-06
Position 898: 1.2266687876325992e-06
Position 883: 1.0582843494349018e-06
Position 798: 8.196502073451329e-07
Position 134: 3.312611871685136e-07
Position 529: 2.190652535862185e-07
Position 840: 1.1454297788241169e-07
Position 983: 8.428411290258363e-08
Position 1012: 7.204860904004235e-08
Position 337: 4.643926126869204e-08
Position 412: 3.97327022955085e-08
Position 146: 2.858950505247982e-08
Position 985: 2.8304988047268214e-08
Position 1359: 1.8685497592696172e-08
Position 379: 1.3352391108995654e-08
Position 471: 2.1851791567239914e-09
Position 573: 1.7916870777921034e-09
Position 564: 9.276400692836864e-10
Position 484: 5.508476149076681e-10
Position 1171: 5.252403503225572e-10
Position 1142: 6.38735482242774e-11
Position 160: 3.5535330791589415e-11
Position 828: 7.643759665327881e-12
Position 858: 8.532903779232754e-14
Position 464: 2.868942482472335e-15
